motif_field_family,field_count,ordinary_allowed,diagnostic_allowed,risk_defense_allowed,forbidden,contract_missing,timing_policy_hold,weak_or_unclassified
liquidity,4,0,2,0,0,0,0,2
funding,1,0,0,0,0,0,0,1
positioning,6,0,3,3,0,0,0,0
basis,4,1,3,0,0,0,0,0
open_interest,4,0,2,2,0,0,0,0
volatility,4,0,4,0,0,0,0,0
return,2,0,2,0,0,0,0,0
taker_ratio,2,0,2,0,0,0,0,0
price,1,0,1,0,0,0,0,0
