status_file,shard_id,status,exit_code,started_at,ended_at,runtime,manifest_exists,status_manifest_conflict
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s001,failed,,2026-06-13T04:21:50Z,2026-06-13T04:38:30Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s001\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s000,failed,,2026-06-13T04:21:50Z,2026-06-13T04:40:30Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s000\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s002,failed,,2026-06-13T04:38:30Z,2026-06-13T04:56:11Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s002\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s003,failed,,2026-06-13T04:40:30Z,2026-06-13T04:58:11Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s003\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s004,failed,,2026-06-13T04:56:11Z,2026-06-13T05:15:11Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s004\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s005,failed,,2026-06-13T04:58:11Z,2026-06-13T05:15:51Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s005\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s006,failed,,2026-06-13T05:15:11Z,2026-06-13T05:32:12Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s006\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s007,failed,,2026-06-13T05:15:51Z,2026-06-13T05:33:32Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s007\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s008,failed,,2026-06-13T05:32:12Z,2026-06-13T05:50:12Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s008\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s009,failed,,2026-06-13T05:33:32Z,2026-06-13T05:51:32Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s009\reward_runtime,True,True
