semantic_pairs,motifs,subgraphs,blueprint_refs,reusable_subgraphs
liquidity_like;liquidity_like|volatility_like;open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like;volatility_like,delta_x_divergence;flow_x_leverage;gated_sign;liquidity_shock;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,3,15980,0
taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,10,8044,10
open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,10,7864,10
taker_flow_like|basis_premium_like,gated_sign;relative_shock;safe_div_abs;smooth_mul,50,4095,50
liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,10,4074,10
open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,40,3960,40
open_interest_like|price_like,delta_x_divergence;mean_reversion_gate;smooth_mul;spread_rank,30,3960,30
liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;smooth_mul;spread_rank,30,3390,30
open_interest_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;single;smooth_mul;spread_rank,10,2504,10
open_interest_like|positioning_like,delta_x_divergence;signed_spread;spread_rank,400,2160,400
open_interest_like|price_like,delta_x_divergence;spread_rank,490,2100,490
open_interest_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,20,1872,20
open_interest_like|positioning_like;open_interest_like|price_like,delta_x_divergence;signed_spread;spread_rank,10,1680,10
open_interest_like|price_like,mean_reversion_gate,500,1350,500
liquidity_like|volatility_like,mean_reversion_gate,417,1330,417
liquidity_like|volatility_like,liquidity_shock,425,1184,425
liquidity_like|volatility_like,spread_rank,410,1080,410
taker_flow_like|basis_premium_like,safe_div_abs,500,900,500
open_interest_like|price_like,smooth_mul,900,900,900
taker_flow_like|basis_premium_like,gated_sign,500,900,500
taker_flow_like|basis_premium_like,smooth_mul,885,885,885
taker_flow_like|basis_premium_like,relative_shock,470,750,470
taker_flow_like|open_interest_like,flow_x_leverage,375,744,375
liquidity_like|volatility_like,smooth_mul,720,720,720
taker_flow_like|open_interest_like,safe_div_abs,400,720,400
taker_flow_like|open_interest_like,gated_sign,400,720,400
open_interest_like|positioning_like,smooth_mul,720,720,720
taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,relative_shock,9,720,9
open_interest_like|positioning_like,signed_spread,400,720,400
open_interest_like|positioning_like,safe_div_abs,400,720,400
liquidity_like|volatility_like;volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,10,702,10
taker_flow_like|open_interest_like,smooth_mul,698,698,698
open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage,9,680,9
liquidity_like|volatility_like,safe_div_abs,388,612,388
open_interest_like|price_like;taker_flow_like|open_interest_like,mean_reversion_gate;relative_shock,14,460,14
taker_flow_like|open_interest_like,relative_shock,362,460,362
open_interest_like|price_like,delta_x_divergence,450,450,450
open_interest_like|positioning_like,delta_x_divergence,360,360,360
open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage,9,220,9
liquidity_like|volatility_like,liquidity_shock;safe_div_abs,12,216,12
liquidity_like,single,98,210,98
taker_flow_like,single,38,80,38
liquidity_like;open_interest_like;taker_flow_like;volatility_like,single,1,40,0
open_interest_like,single,20,34,20
taker_flow_like|basis_premium_like,relative_shock;smooth_mul,15,30,15
volatility_like,single,14,28,14
taker_flow_like|open_interest_like,relative_shock;smooth_mul,12,24,12
taker_flow_like|open_interest_like,flow_x_leverage;smooth_mul,10,20,10
