blueprint_id,parent_subgraph_id,child_subgraph_id,arg_index,parent_expression,child_expression
a7ff55r3_ecd01d6f21278257,sg_c2f22fb1b3ddcaed,sg_84e9d513e91e0776,0,,open_interest_mean
a7ff55r3_ecd01d6f21278257,sg_c2f22fb1b3ddcaed,sg_1b6453892473a467,1,,4
a7ff55r3_7b59b15010ae9a3b,sg_5777153b7ca711b2,sg_c2f22fb1b3ddcaed,0,,"Mean(open_interest_mean,4)"
a7ff55r3_7b59b15010ae9a3b,sg_c2f22fb1b3ddcaed,sg_84e9d513e91e0776,0,,open_interest_mean
a7ff55r3_7b59b15010ae9a3b,sg_c2f22fb1b3ddcaed,sg_1b6453892473a467,1,,4
a7ff55r3_948ad19e998498a3,sg_677617067abd1520,sg_84e9d513e91e0776,0,,open_interest_mean
a7ff55r3_948ad19e998498a3,sg_677617067abd1520,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_842cef66e3e7a1b8,sg_5bee1092db44b6dc,sg_84e9d513e91e0776,0,,open_interest_mean
a7ff55r3_842cef66e3e7a1b8,sg_5bee1092db44b6dc,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_9e63fe3bd75e0bb9,sg_57ad8f06f9036ee6,sg_5bee1092db44b6dc,0,,"Mean(open_interest_mean,8)"
a7ff55r3_9e63fe3bd75e0bb9,sg_5bee1092db44b6dc,sg_84e9d513e91e0776,0,,open_interest_mean
a7ff55r3_9e63fe3bd75e0bb9,sg_5bee1092db44b6dc,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_5140d6cd7f030778,sg_2243ba0624ad441f,sg_84e9d513e91e0776,0,,open_interest_mean
a7ff55r3_5140d6cd7f030778,sg_2243ba0624ad441f,sg_4d134bc072212ace,1,,24
a7ff55r3_7800852c5b72d5db,sg_bac71b1837f08b7e,sg_84e9d513e91e0776,0,,open_interest_mean
a7ff55r3_7800852c5b72d5db,sg_bac71b1837f08b7e,sg_4d134bc072212ace,1,,24
a7ff55r3_9b80a93586e6ce86,sg_20650fe9062a371a,sg_bac71b1837f08b7e,0,,"Mean(open_interest_mean,24)"
a7ff55r3_9b80a93586e6ce86,sg_bac71b1837f08b7e,sg_84e9d513e91e0776,0,,open_interest_mean
a7ff55r3_9b80a93586e6ce86,sg_bac71b1837f08b7e,sg_4d134bc072212ace,1,,24
a7ff55r3_bde93492328da2d9,sg_575321e7abde509c,sg_84e9d513e91e0776,0,,open_interest_mean
a7ff55r3_bde93492328da2d9,sg_575321e7abde509c,sg_c097638f92de80ba,1,,72
a7ff55r3_1fd0524c8abf4ff7,sg_91983e069261be7d,sg_84e9d513e91e0776,0,,open_interest_mean
a7ff55r3_1fd0524c8abf4ff7,sg_91983e069261be7d,sg_c097638f92de80ba,1,,72
a7ff55r3_35cb616bcda1bc84,sg_d599a2eb7b5c128d,sg_3fc5a7c5fc0eb75e,0,,open_interest_value_last
a7ff55r3_35cb616bcda1bc84,sg_d599a2eb7b5c128d,sg_1b6453892473a467,1,,4
a7ff55r3_ae1fd3daa6ae4135,sg_2c0fc5457f56cb8f,sg_3fc5a7c5fc0eb75e,0,,open_interest_value_last
a7ff55r3_ae1fd3daa6ae4135,sg_2c0fc5457f56cb8f,sg_1b6453892473a467,1,,4
a7ff55r3_678d34d0b55e09ff,sg_269db36b51fe6855,sg_2c0fc5457f56cb8f,0,,"Mean(open_interest_value_last,4)"
a7ff55r3_678d34d0b55e09ff,sg_2c0fc5457f56cb8f,sg_3fc5a7c5fc0eb75e,0,,open_interest_value_last
a7ff55r3_678d34d0b55e09ff,sg_2c0fc5457f56cb8f,sg_1b6453892473a467,1,,4
a7ff55r3_708a901a7d2f2e1f,sg_c0377ee87c4cd04a,sg_3fc5a7c5fc0eb75e,0,,open_interest_value_last
a7ff55r3_708a901a7d2f2e1f,sg_c0377ee87c4cd04a,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_539ec0a7a3a4cf5b,sg_d73d742a4ed98413,sg_3fc5a7c5fc0eb75e,0,,open_interest_value_last
a7ff55r3_539ec0a7a3a4cf5b,sg_d73d742a4ed98413,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_56959b82f9048f83,sg_4ecd1a93a3a01641,sg_d73d742a4ed98413,0,,"Mean(open_interest_value_last,8)"
a7ff55r3_56959b82f9048f83,sg_d73d742a4ed98413,sg_3fc5a7c5fc0eb75e,0,,open_interest_value_last
a7ff55r3_56959b82f9048f83,sg_d73d742a4ed98413,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_c3af47ca65fffe08,sg_3e1675ce9cec6e88,sg_3fc5a7c5fc0eb75e,0,,open_interest_value_last
a7ff55r3_c3af47ca65fffe08,sg_3e1675ce9cec6e88,sg_4d134bc072212ace,1,,24
a7ff55r3_dc34ece992c1849c,sg_c7a268066cc8ba4d,sg_3fc5a7c5fc0eb75e,0,,open_interest_value_last
a7ff55r3_dc34ece992c1849c,sg_c7a268066cc8ba4d,sg_4d134bc072212ace,1,,24
a7ff55r3_898fdb95d4298728,sg_70c0006c1636ab51,sg_c7a268066cc8ba4d,0,,"Mean(open_interest_value_last,24)"
a7ff55r3_898fdb95d4298728,sg_c7a268066cc8ba4d,sg_3fc5a7c5fc0eb75e,0,,open_interest_value_last
a7ff55r3_898fdb95d4298728,sg_c7a268066cc8ba4d,sg_4d134bc072212ace,1,,24
a7ff55r3_05396f9438c05592,sg_c375ff1122ddf448,sg_3fc5a7c5fc0eb75e,0,,open_interest_value_last
a7ff55r3_05396f9438c05592,sg_c375ff1122ddf448,sg_c097638f92de80ba,1,,72
a7ff55r3_efd43213cb817d27,sg_f4a3917e98c807f1,sg_3fc5a7c5fc0eb75e,0,,open_interest_value_last
a7ff55r3_efd43213cb817d27,sg_f4a3917e98c807f1,sg_c097638f92de80ba,1,,72
