subgraph_id,expression,subgraph_kind,node_type,operator,blueprint_ref_count,node_occurrence_count,root_ref_count,nonroot_ref_count,raw_inputs,raw_input_count,operator_path,operator_count_max,max_subgraph_depth,levels,candidate_roles,semantic_pairs,motifs,primary_semantics,secondary_semantics,formula_gen_gate,feature_factory_allowed,ordinary_alpha_eligible,requires_response_promotion,pit_policy,role_policy,kind_counts
sg_256738bffd9506f1,taker_buy_quote_volume,factor_candidate_root,Field,,3612,3612,1,3611,taker_buy_quote_volume,1,,0,1,L1_repaired_single_field_transform;L2_repaired_typed_interaction,exploratory_signal_probe;role_mixed_allowed,taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,taker_flow_like,basis_premium_like;open_interest_like,diagnostic_or_repair_root_only,True,False,True,inherit_from_field_contract,role_enforced_no_label_feature,"{""factor_candidate_root"": 1, ""field_node"": 3611}"
sg_78d6f5b9acd92892,open_interest_last,factor_candidate_root,Field,,3512,4172,1,4171,open_interest_last,1,,0,1,L1_repaired_single_field_transform;L2_repaired_typed_interaction,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,open_interest_like;taker_flow_like,open_interest_like;positioning_like;price_like,diagnostic_or_repair_root_only,True,False,True,inherit_from_field_contract,role_enforced_no_label_feature,"{""factor_candidate_root"": 1, ""field_node"": 4171}"
sg_74cf2751de3b75b6,trade_count,factor_candidate_root,Field,,1812,1812,1,1811,trade_count,1,,0,1,L1_repaired_single_field_transform;L2_repaired_typed_interaction,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,liquidity_like,volatility_like,diagnostic_or_repair_root_only,True,False,True,inherit_from_field_contract,role_enforced_no_label_feature,"{""factor_candidate_root"": 1, ""field_node"": 1811}"
sg_84e9d513e91e0776,open_interest_mean,factor_candidate_root,Field,,1112,1262,1,1261,open_interest_mean,1,,0,1,L1_repaired_single_field_transform;L2_repaired_typed_interaction,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;single;smooth_mul;spread_rank,open_interest_like;taker_flow_like,open_interest_like;price_like,diagnostic_or_repair_root_only,True,False,True,inherit_from_field_contract,role_enforced_no_label_feature,"{""factor_candidate_root"": 1, ""field_node"": 1261}"
sg_938d63877a3bfa80,"Mean(taker_buy_quote_volume,4)",factor_candidate_root,Transform,Mean,802,802,1,801,taker_buy_quote_volume,1,Mean,1,2,L1_repaired_single_field_transform;L2_repaired_typed_interaction,exploratory_signal_probe;role_mixed_allowed,taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,taker_flow_like,basis_premium_like;open_interest_like,diagnostic_or_repair_root_only,True,False,True,inherit_from_field_contract,role_enforced_no_label_feature,"{""factor_candidate_root"": 1, ""typed_transform_subgraph"": 801}"
sg_9882c7f0f588c6a0,"Mean(open_interest_last,4)",factor_candidate_root,Transform,Mean,742,882,1,881,open_interest_last,1,Mean,1,2,L1_repaired_single_field_transform;L2_repaired_typed_interaction,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,open_interest_like;taker_flow_like,open_interest_like;positioning_like;price_like,diagnostic_or_repair_root_only,True,False,True,inherit_from_field_contract,role_enforced_no_label_feature,"{""factor_candidate_root"": 1, ""typed_transform_subgraph"": 881}"
sg_d8873141d3a6c570,"Mean(open_interest_last,8)",factor_candidate_root,Transform,Mean,692,822,1,821,open_interest_last,1,Mean,1,2,L1_repaired_single_field_transform;L2_repaired_typed_interaction,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,open_interest_like;taker_flow_like,open_interest_like;positioning_like;price_like,diagnostic_or_repair_root_only,True,False,True,inherit_from_field_contract,role_enforced_no_label_feature,"{""factor_candidate_root"": 1, ""typed_transform_subgraph"": 821}"
sg_8aec27686cac5c3d,"Mean(taker_buy_quote_volume,8)",factor_candidate_root,Transform,Mean,672,672,1,671,taker_buy_quote_volume,1,Mean,1,2,L1_repaired_single_field_transform;L2_repaired_typed_interaction,exploratory_signal_probe;role_mixed_allowed,taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,taker_flow_like,basis_premium_like;open_interest_like,diagnostic_or_repair_root_only,True,False,True,inherit_from_field_contract,role_enforced_no_label_feature,"{""factor_candidate_root"": 1, ""typed_transform_subgraph"": 671}"
sg_92ac72023cd18b98,"Mean(open_interest_last,24)",factor_candidate_root,Transform,Mean,642,762,1,761,open_interest_last,1,Mean,1,2,L1_repaired_single_field_transform;L2_repaired_typed_interaction,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,open_interest_like;taker_flow_like,open_interest_like;positioning_like;price_like,diagnostic_or_repair_root_only,True,False,True,inherit_from_field_contract,role_enforced_no_label_feature,"{""factor_candidate_root"": 1, ""typed_transform_subgraph"": 761}"
sg_bb0e8ae4b97453a7,"Mean(taker_buy_quote_volume,24)",factor_candidate_root,Transform,Mean,622,622,1,621,taker_buy_quote_volume,1,Mean,1,2,L1_repaired_single_field_transform;L2_repaired_typed_interaction,exploratory_signal_probe;role_mixed_allowed,taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,taker_flow_like,basis_premium_like;open_interest_like,diagnostic_or_repair_root_only,True,False,True,inherit_from_field_contract,role_enforced_no_label_feature,"{""factor_candidate_root"": 1, ""typed_transform_subgraph"": 621}"
