candidate_id,cell,family,expression,fields,field_families,operators,windows,feature_role,diagnostic_only,static_valid,static_reject_reasons,expression_key,skeleton_key,production_key,label_or_future_field_count,lineage_allowed_fields,base_field_count,overlay_field_count,selected_for_a7al2l_replay_preflight,selector_reason
a7al2k_250b397a4da09698,J0_oi_derived_state,derived_oi_price_state,"Rank(Delta(open_interest_last,168))",open_interest_last,open_interest,Delta|Rank,168,derived_interaction,False,True,,expr-7f278280190747df,skeleton-377d45dadd905908,a7al2k_derived_generator::derived_oi_price_state::open_interest::168,0,1,1,1,True,selected_diversity_capped
a7al2k_11938c9e6201ab36,J0_oi_derived_state,derived_oi_price_state,"Rank(Delta(open_interest_mean,720))",open_interest_mean,open_interest,Delta|Rank,720,derived_interaction,False,True,,expr-79b447b8cea170f5,skeleton-377d45dadd905908,a7al2k_derived_generator::derived_oi_price_state::open_interest::720,0,1,1,0,True,selected_diversity_capped
a7al2k_08d03d2b865ba194,J0_oi_derived_state,derived_oi_price_state,"Sub(Abs(ZScore(Mean(open_interest_value_mean,720))),Abs(ZScore(Mean(mark_close,168))))",mark_close|open_interest_value_mean,open_interest|price,Abs|Mean|Sub|ZScore,168|720,derived_interaction,False,True,,expr-6adb97153adee89d,skeleton-746e1c41665c2005,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::168|720,0,2,2,0,True,selected_diversity_capped
a7al2k_07486e2a15a16b6d,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Delta(open_interest_value_last,48)),Neg(ZScore(Delta(mark_close,4))))",mark_close|open_interest_value_last,open_interest|price,Add|Delta|Neg|ZScore,4|48,derived_interaction,False,True,,expr-67432be476d33389,skeleton-ce90f730823c326b,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::4|48,0,2,2,1,True,selected_diversity_capped
a7al2k_03b936b9e727a8e7,J0_oi_derived_state,derived_oi_price_state,"Mul(Rank(Mean(Delta(open_interest_last,72),96)),Sign(Delta(index_close,72)))",index_close|open_interest_last,open_interest|price,Delta|Mean|Mul|Rank|Sign,72|96,derived_interaction,False,True,,expr-b9629305b5c463f5,skeleton-ca868057ab9bb5ea,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::72|96,0,2,2,1,True,selected_diversity_capped
a7al2k_10d26ef9ef6068ab,J0_oi_derived_state,derived_oi_price_state,"Rank(Delta(open_interest_value_last,24))",open_interest_value_last,open_interest,Delta|Rank,24,derived_interaction,False,True,,expr-47f00aa16889b21b,skeleton-377d45dadd905908,a7al2k_derived_generator::derived_oi_price_state::open_interest::24,0,1,1,1,True,selected_diversity_capped
a7al2k_0209eabd2c55a950,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Delta(open_interest_mean,12)),Neg(ZScore(Delta(index_close,504))))",index_close|open_interest_mean,open_interest|price,Add|Delta|Neg|ZScore,12|504,derived_interaction,False,True,,expr-6955eae8aba23a1b,skeleton-ce90f730823c326b,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::12|504,0,2,2,0,True,selected_diversity_capped
a7al2k_00d565c9060b8206,J0_oi_derived_state,derived_oi_price_state,"Sub(Rank(Delta(open_interest_value_mean,720)),Rank(Delta(open_interest_value_mean,8)))",open_interest_value_mean,open_interest,Delta|Rank|Sub,8|720,derived_interaction,False,True,,expr-e59598028dad71fa,skeleton-8ad46b9059e6381f,a7al2k_derived_generator::derived_oi_price_state::open_interest::8|720,0,1,1,0,True,selected_diversity_capped
a7al2k_0916c579445e087f,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Mean(open_interest_mean,24)),Neg(ZScore(Mean(open_interest_mean,48))))",open_interest_mean,open_interest,Add|Mean|Neg|ZScore,24|48,derived_interaction,False,True,,expr-657a0b5cb007444c,skeleton-a352efeb5ebfebd6,a7al2k_derived_generator::derived_oi_price_state::open_interest::24|48,0,1,1,0,True,selected_diversity_capped
a7al2k_09c2892eea71d093,J0_oi_derived_state,derived_oi_price_state,"ZScore(Mean(Delta(open_interest_value_last,48),336))",open_interest_value_last,open_interest,Delta|Mean|ZScore,48|336,derived_interaction,False,True,,expr-17889ef6dfb6fba1,skeleton-8136d338878cf964,a7al2k_derived_generator::derived_oi_price_state::open_interest::48|336,0,1,1,1,True,selected_diversity_capped
a7al2k_02094c576bebcc16,J0_oi_derived_state,derived_oi_price_state,"Sub(ZScore(Delta(open_interest_last,72)),Rank(Delta(trade_close,96)))",open_interest_last|trade_close,open_interest|price,Delta|Rank|Sub|ZScore,72|96,derived_interaction,False,True,,expr-cbf55c4db30b1d2f,skeleton-e3c6dc2a999ed3be,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::72|96,0,2,2,1,True,selected_diversity_capped
a7al2k_0b9d8b6d77178322,J0_oi_derived_state,derived_oi_price_state,"Mul(Sign(Delta(open_interest_value_mean,96)),Abs(ZScore(Delta(index_close,12))))",index_close|open_interest_value_mean,open_interest|price,Abs|Delta|Mul|Sign|ZScore,12|96,derived_interaction,False,True,,expr-5a0f02be27de9e5a,skeleton-2d041ee3f5fce6d3,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::12|96,0,2,2,0,True,selected_diversity_capped
a7al2k_01caf6a1f5e95cb5,J0_oi_derived_state,derived_oi_price_state,"Mul(ZScore(Delta(open_interest_last,504)),ZScore(Delta(trade_close,4)))",open_interest_last|trade_close,open_interest|price,Delta|Mul|ZScore,4|504,derived_interaction,False,True,,expr-0f1886d3d8d17c35,skeleton-c14ad246aa64fd6e,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::4|504,0,2,2,1,True,selected_diversity_capped
a7al2k_00a996ae217b0ade,J0_oi_derived_state,derived_oi_price_state,"Mul(Rank(Mean(open_interest_value_mean,96)),Sign(Delta(open_interest_value_mean,96)))",open_interest_value_mean,open_interest,Delta|Mean|Mul|Rank|Sign,96,derived_interaction,False,True,,expr-510f880612b140eb,skeleton-4c1e1eff7eb11f45,a7al2k_derived_generator::derived_oi_price_state::open_interest::96,0,1,1,0,True,selected_diversity_capped
a7al2k_065afe98b0a4365b,J0_oi_derived_state,derived_oi_price_state,"ZScore(Mean(Delta(open_interest_mean,96),48))",open_interest_mean,open_interest,Delta|Mean|ZScore,48|96,derived_interaction,False,True,,expr-af8347ba45f04e17,skeleton-8136d338878cf964,a7al2k_derived_generator::derived_oi_price_state::open_interest::48|96,0,1,1,0,True,selected_diversity_capped
a7al2k_06b2128076731511,J0_oi_derived_state,derived_oi_price_state,"Mul(Rank(Mean(Delta(open_interest_last,12),48)),Sign(Delta(index_close,96)))",index_close|open_interest_last,open_interest|price,Delta|Mean|Mul|Rank|Sign,12|48|96,derived_interaction,False,True,,expr-8ace552c35d998b9,skeleton-ca868057ab9bb5ea,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::12|48|96,0,2,2,1,True,selected_diversity_capped
a7al2k_012b0e992121750e,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Mean(open_interest_value_mean,72)),Neg(ZScore(Mean(open_interest_value_mean,96))))",open_interest_value_mean,open_interest,Add|Mean|Neg|ZScore,72|96,derived_interaction,False,True,,expr-f47573ceb6525401,skeleton-a352efeb5ebfebd6,a7al2k_derived_generator::derived_oi_price_state::open_interest::72|96,0,1,1,0,True,selected_diversity_capped
a7al2k_0d183c93611d3ea2,J0_oi_derived_state,derived_oi_price_state,"Rank(Delta(open_interest_mean,12))",open_interest_mean,open_interest,Delta|Rank,12,derived_interaction,False,True,,expr-f75fe9d784f112e6,skeleton-377d45dadd905908,a7al2k_derived_generator::derived_oi_price_state::open_interest::12,0,1,1,0,True,selected_diversity_capped
a7al2k_0c4ad2ed66ac08ea,J0_oi_derived_state,derived_oi_price_state,"Mul(Rank(Mean(open_interest_last,24)),Sign(Delta(open_interest_last,8)))",open_interest_last,open_interest,Delta|Mean|Mul|Rank|Sign,8|24,derived_interaction,False,True,,expr-c1719f43e4c76d00,skeleton-4c1e1eff7eb11f45,a7al2k_derived_generator::derived_oi_price_state::open_interest::8|24,0,1,1,1,True,selected_diversity_capped
a7al2k_010e50dfe3fe4570,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Mean(open_interest_mean,72)),Neg(ZScore(Mean(open_interest_mean,336))))",open_interest_mean,open_interest,Add|Mean|Neg|ZScore,72|336,derived_interaction,False,True,,expr-bfe27bee6ce5d173,skeleton-a352efeb5ebfebd6,a7al2k_derived_generator::derived_oi_price_state::open_interest::72|336,0,1,1,0,True,selected_diversity_capped
a7al2k_03c8a24a8aa83376,J0_oi_derived_state,derived_oi_price_state,"Sub(Rank(Delta(open_interest_value_last,48)),Rank(Delta(open_interest_value_last,504)))",open_interest_value_last,open_interest,Delta|Rank|Sub,48|504,derived_interaction,False,True,,expr-b6d77492c15b586a,skeleton-8ad46b9059e6381f,a7al2k_derived_generator::derived_oi_price_state::open_interest::48|504,0,1,1,1,True,selected_diversity_capped
a7al2k_17635eea33e1e1be,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Mean(open_interest_value_last,24)),Neg(ZScore(Mean(open_interest_value_last,720))))",open_interest_value_last,open_interest,Add|Mean|Neg|ZScore,24|720,derived_interaction,False,True,,expr-3b8b730e537cb57f,skeleton-a352efeb5ebfebd6,a7al2k_derived_generator::derived_oi_price_state::open_interest::24|720,0,1,1,1,True,selected_diversity_capped
a7al2k_005ea931395b1d44,J0_oi_derived_state,derived_oi_price_state,"Add(Rank(Mean(open_interest_value_mean,168)),Neg(Rank(Mean(index_close,96))))",index_close|open_interest_value_mean,open_interest|price,Add|Mean|Neg|Rank,96|168,derived_interaction,False,True,,expr-13e9e1007d12ec73,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::96|168,0,2,2,0,True,selected_diversity_capped
a7al2k_29b78ebbb9c7a5cb,J0_oi_derived_state,derived_oi_price_state,"Rank(Delta(open_interest_mean,96))",open_interest_mean,open_interest,Delta|Rank,96,derived_interaction,False,True,,expr-9e672b7232fd314a,skeleton-377d45dadd905908,a7al2k_derived_generator::derived_oi_price_state::open_interest::96,0,1,1,0,True,selected_diversity_capped
a7al2k_0c1264da0ea9563c,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Delta(open_interest_last,96)),Neg(ZScore(Delta(mark_close,4))))",mark_close|open_interest_last,open_interest|price,Add|Delta|Neg|ZScore,4|96,derived_interaction,False,True,,expr-84390947e3a05d60,skeleton-ce90f730823c326b,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::4|96,0,2,2,1,True,selected_diversity_capped
a7al2k_093d8531cc5da0f5,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Mean(open_interest_value_last,96)),Neg(ZScore(Mean(open_interest_value_last,72))))",open_interest_value_last,open_interest,Add|Mean|Neg|ZScore,72|96,derived_interaction,False,True,,expr-6f2afa7d01d10bbf,skeleton-a352efeb5ebfebd6,a7al2k_derived_generator::derived_oi_price_state::open_interest::72|96,0,1,1,1,True,selected_diversity_capped
a7al2k_0610a2e95e867ea2,J0_oi_derived_state,derived_oi_price_state,"ZScore(Mean(Delta(open_interest_value_last,720),504))",open_interest_value_last,open_interest,Delta|Mean|ZScore,504|720,derived_interaction,False,True,,expr-2fc45956b9facd01,skeleton-8136d338878cf964,a7al2k_derived_generator::derived_oi_price_state::open_interest::504|720,0,1,1,1,True,selected_diversity_capped
a7al2k_1ab944c08952baa7,J0_oi_derived_state,derived_oi_price_state,"Rank(Delta(open_interest_mean,48))",open_interest_mean,open_interest,Delta|Rank,48,derived_interaction,False,True,,expr-3d300da6cb430aae,skeleton-377d45dadd905908,a7al2k_derived_generator::derived_oi_price_state::open_interest::48,0,1,1,0,True,selected_diversity_capped
a7al2k_00e9f87d8993aab8,J0_oi_derived_state,derived_oi_price_state,"Mul(Rank(Mean(Delta(open_interest_value_last,8),720)),Sign(Delta(trade_close,12)))",open_interest_value_last|trade_close,open_interest|price,Delta|Mean|Mul|Rank|Sign,8|12|720,derived_interaction,False,True,,expr-49a576c5d97e9705,skeleton-ca868057ab9bb5ea,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::8|12|720,0,2,2,1,True,selected_diversity_capped
a7al2k_0deac5d3673eefc9,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Mean(open_interest_value_last,72)),Neg(ZScore(Mean(open_interest_value_last,720))))",open_interest_value_last,open_interest,Add|Mean|Neg|ZScore,72|720,derived_interaction,False,True,,expr-a18ceac6e8f603e9,skeleton-a352efeb5ebfebd6,a7al2k_derived_generator::derived_oi_price_state::open_interest::72|720,0,1,1,1,True,selected_diversity_capped
a7al2k_17ee4cd60e39ade7,J0_oi_derived_state,derived_oi_price_state,"Rank(Delta(open_interest_value_mean,96))",open_interest_value_mean,open_interest,Delta|Rank,96,derived_interaction,False,True,,expr-a35f80cac3af6ae2,skeleton-377d45dadd905908,a7al2k_derived_generator::derived_oi_price_state::open_interest::96,0,1,1,0,True,selected_diversity_capped
