candidate_id,control_id,control_mode,matched_cell,matched_family,required_for_replay_preflight
a7al2k_250b397a4da09698,a7al2k_250b397a4da09698__one_bar_lag,one_bar_lag,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_250b397a4da09698,a7al2k_250b397a4da09698__wrong_lag_future_24h,wrong_lag_future_24h,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_250b397a4da09698,a7al2k_250b397a4da09698__wrong_lag_stale_168h,wrong_lag_stale_168h,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_250b397a4da09698,a7al2k_250b397a4da09698__time_shuffle,time_shuffle,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_250b397a4da09698,a7al2k_250b397a4da09698__symbol_shuffle,symbol_shuffle,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_250b397a4da09698,a7al2k_250b397a4da09698__same_family_random,same_family_random,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_11938c9e6201ab36,a7al2k_11938c9e6201ab36__one_bar_lag,one_bar_lag,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_11938c9e6201ab36,a7al2k_11938c9e6201ab36__wrong_lag_future_24h,wrong_lag_future_24h,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_11938c9e6201ab36,a7al2k_11938c9e6201ab36__wrong_lag_stale_168h,wrong_lag_stale_168h,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_11938c9e6201ab36,a7al2k_11938c9e6201ab36__time_shuffle,time_shuffle,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_11938c9e6201ab36,a7al2k_11938c9e6201ab36__symbol_shuffle,symbol_shuffle,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_11938c9e6201ab36,a7al2k_11938c9e6201ab36__same_family_random,same_family_random,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_08d03d2b865ba194,a7al2k_08d03d2b865ba194__one_bar_lag,one_bar_lag,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_08d03d2b865ba194,a7al2k_08d03d2b865ba194__wrong_lag_future_24h,wrong_lag_future_24h,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_08d03d2b865ba194,a7al2k_08d03d2b865ba194__wrong_lag_stale_168h,wrong_lag_stale_168h,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_08d03d2b865ba194,a7al2k_08d03d2b865ba194__time_shuffle,time_shuffle,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_08d03d2b865ba194,a7al2k_08d03d2b865ba194__symbol_shuffle,symbol_shuffle,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_08d03d2b865ba194,a7al2k_08d03d2b865ba194__same_family_random,same_family_random,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_07486e2a15a16b6d,a7al2k_07486e2a15a16b6d__one_bar_lag,one_bar_lag,J0_oi_derived_state,derived_oi_price_state,True
a7al2k_07486e2a15a16b6d,a7al2k_07486e2a15a16b6d__wrong_lag_future_24h,wrong_lag_future_24h,J0_oi_derived_state,derived_oi_price_state,True
