candidate_id,cell,family,expression,fields,field_families,operators,windows,feature_role,diagnostic_only,static_valid,static_reject_reasons,expression_key,skeleton_key,production_key,label_or_future_field_count,lineage_allowed_fields,base_field_count,overlay_field_count,selected_for_a7al2l_replay_preflight,selector_reason
a7al2k_f44f54eb4d426529,J0_oi_derived_state,derived_oi_price_state,"Mul(Sign(Delta(open_interest_last,336)),Abs(ZScore(Delta(trade_close,168))))",open_interest_last|trade_close,open_interest|price,Abs|Delta|Mul|Sign|ZScore,168|336,derived_interaction,False,True,,expr-bce3a7d21d497aba,skeleton-2d041ee3f5fce6d3,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::168|336,0,2,2,1,False,eligible_not_selected_by_budget_or_caps
a7al2k_9a06b048a2c17d4e,J0_oi_derived_state,derived_oi_price_state,"Add(Rank(Mean(open_interest_last,336)),Neg(Rank(Mean(mark_close,504))))",mark_close|open_interest_last,open_interest|price,Add|Mean|Neg|Rank,336|504,derived_interaction,False,True,,expr-956655bd91eaeec4,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::336|504,0,2,2,1,False,eligible_not_selected_by_budget_or_caps
a7al2k_fbc654f4e9b51154,J0_oi_derived_state,derived_oi_price_state,"Sub(ZScore(Mean(open_interest_value_mean,168)),ZScore(Mean(open_interest_value_mean,72)))",open_interest_value_mean,open_interest,Mean|Sub|ZScore,72|168,derived_interaction,False,True,,expr-77e5464fc0af45fe,skeleton-7762e3f46e546cc2,a7al2k_derived_generator::derived_oi_price_state::open_interest::72|168,0,1,1,0,False,eligible_not_selected_by_budget_or_caps
a7al2k_9d92f93d41938194,J0_oi_derived_state,derived_oi_price_state,"Add(Rank(Mean(open_interest_value_last,504)),Neg(Rank(Mean(trade_close,4))))",open_interest_value_last|trade_close,open_interest|price,Add|Mean|Neg|Rank,4|504,derived_interaction,False,True,,expr-2ed539b776cb8ef8,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::4|504,0,2,2,1,False,eligible_not_selected_by_budget_or_caps
a7al2k_6dcfffcaf3e57fb0,J0_oi_derived_state,derived_oi_price_state,"Sub(ZScore(Mean(open_interest_value_last,168)),ZScore(Mean(open_interest_value_last,504)))",open_interest_value_last,open_interest,Mean|Sub|ZScore,168|504,derived_interaction,False,True,,expr-f7461830687c0e57,skeleton-7762e3f46e546cc2,a7al2k_derived_generator::derived_oi_price_state::open_interest::168|504,0,1,1,1,False,eligible_not_selected_by_budget_or_caps
a7al2k_e24c578c6d66b9ef,J0_oi_derived_state,derived_oi_price_state,"Add(Rank(Mean(open_interest_last,720)),Neg(Rank(Mean(trade_close,4))))",open_interest_last|trade_close,open_interest|price,Add|Mean|Neg|Rank,4|720,derived_interaction,False,True,,expr-63271d2976f0f865,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::4|720,0,2,2,1,False,eligible_not_selected_by_budget_or_caps
a7al2k_de4d0caba7f6655a,J0_oi_derived_state,derived_oi_price_state,"Mul(Sign(Delta(open_interest_value_mean,504)),Abs(ZScore(Delta(trade_close,72))))",open_interest_value_mean|trade_close,open_interest|price,Abs|Delta|Mul|Sign|ZScore,72|504,derived_interaction,False,True,,expr-ad2ca17213c881c9,skeleton-2d041ee3f5fce6d3,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::72|504,0,2,2,0,False,eligible_not_selected_by_budget_or_caps
a7al2k_d0e4b3a89ad9c148,J0_oi_derived_state,derived_oi_price_state,"Sub(ZScore(Delta(open_interest_value_last,168)),Rank(Delta(index_close,72)))",index_close|open_interest_value_last,open_interest|price,Delta|Rank|Sub|ZScore,72|168,derived_interaction,False,True,,expr-c9b6ad5d62b3c691,skeleton-e3c6dc2a999ed3be,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::72|168,0,2,2,1,False,eligible_not_selected_by_budget_or_caps
a7al2k_c35a152cdc0d298a,J0_oi_derived_state,derived_oi_price_state,"Mul(Rank(Mean(open_interest_value_mean,24)),Sign(Delta(open_interest_value_mean,72)))",open_interest_value_mean,open_interest,Delta|Mean|Mul|Rank|Sign,24|72,derived_interaction,False,True,,expr-df4d9b08fc45b951,skeleton-4c1e1eff7eb11f45,a7al2k_derived_generator::derived_oi_price_state::open_interest::24|72,0,1,1,0,False,eligible_not_selected_by_budget_or_caps
a7al2k_119d622661521988,J0_oi_derived_state,derived_oi_price_state,"Mul(Rank(Mean(Delta(open_interest_mean,8),168)),Sign(Delta(index_close,12)))",index_close|open_interest_mean,open_interest|price,Delta|Mean|Mul|Rank|Sign,8|12|168,derived_interaction,False,True,,expr-0d347732e2ebfc98,skeleton-ca868057ab9bb5ea,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::8|12|168,0,2,2,0,False,eligible_not_selected_by_budget_or_caps
