field_name,feature_class,pit_lag_required,plus2h_required,same_bar_allowed,status
symbol,metadata,+1h primary,True,False,PASS_PIT_CONTRACTED
timestamp,metadata,+1h primary,True,False,PASS_PIT_CONTRACTED
trade_open,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
trade_high,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
trade_low,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
trade_close,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
trade_volume,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
trade_quote_volume,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
trade_count,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
taker_buy_volume,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
taker_buy_quote_volume,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
metrics_n_5m,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
open_interest_last,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
open_interest_mean,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
open_interest_value_last,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
open_interest_value_mean,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
top_long_short_account_ratio_last,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
top_long_short_account_ratio_mean,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
top_long_short_position_ratio_last,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
top_long_short_position_ratio_mean,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
global_long_short_account_ratio_last,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
global_long_short_account_ratio_mean,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
taker_buy_sell_volume_ratio_last,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
taker_buy_sell_volume_ratio_mean,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
funding_interval_hours,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
funding_rate,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
mark_open,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
mark_high,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
mark_low,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
mark_close,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
mark_count,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
index_open,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
index_high,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
index_low,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
index_close,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
index_count,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
premium_open,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
premium_high,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
premium_low,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
premium_close,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
premium_count,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
source_trade_klines,metadata,+1h primary,True,False,PASS_PIT_CONTRACTED
source_metrics,metadata,+1h primary,True,False,PASS_PIT_CONTRACTED
source_market_funding,metadata,+1h primary,True,False,PASS_PIT_CONTRACTED
feature_available_time,metadata,+1h primary,True,False,PASS_PIT_CONTRACTED
execution_time,metadata,+1h primary,True,False,PASS_PIT_CONTRACTED
is_historical_backfill,metadata,+1h primary,True,False,PASS_PIT_CONTRACTED
is_forward_only,metadata,+1h primary,True,False,PASS_PIT_CONTRACTED
trade_return_1h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
mark_index_basis_bps,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
mark_trade_basis_bps,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
premium_close_bps,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
kline_taker_buy_quote_share,raw_source,+1h primary,True,False,PASS_PIT_CONTRACTED
listing_age_hours,derived_latent_state,+1h primary,True,False,PASS_PIT_CONTRACTED
listing_age_days,derived_latent_state,+1h primary,True,False,PASS_PIT_CONTRACTED
log1p_listing_age_days,derived_latent_state,+1h primary,True,False,PASS_PIT_CONTRACTED
sqrt_listing_age_days,derived_latent_state,+1h primary,True,False,PASS_PIT_CONTRACTED
age_percentile_active_universe,derived_cross_section,+1h primary,True,False,PASS_PIT_CONTRACTED
history_length_hours,derived_latent_state,+1h primary,True,False,PASS_PIT_CONTRACTED
rolling_coverage_168h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
gap_hours_recent_168h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
median_quote_volume_168h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
log_quote_volume_168h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
liquidity_rank_active_universe,derived_cross_section,+1h primary,True,False,PASS_PIT_CONTRACTED
trade_count_168h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
realized_vol_24h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
realized_vol_72h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
realized_vol_168h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
volume_volatility_ratio_168h,derived_interaction,+1h primary,True,False,PASS_PIT_CONTRACTED
funding_rate_abs_168h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
funding_rate_mean_168h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
basis_abs_168h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
premium_abs_168h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
open_interest_change_24h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
trade_return_24h,derived_rolling,+1h primary,True,False,PASS_PIT_CONTRACTED
oi_x_price_move_24h,derived_interaction,+1h primary,True,False,PASS_PIT_CONTRACTED
age_x_liquidity,derived_interaction,+1h primary,True,False,PASS_PIT_CONTRACTED
age_x_volatility,derived_interaction,+1h primary,True,False,PASS_PIT_CONTRACTED
age_x_funding_abs,derived_interaction,+1h primary,True,False,PASS_PIT_CONTRACTED
raw_latent_state_id,derived_latent_state,+1h primary,True,False,PASS_PIT_CONTRACTED
