stage,decision
A7PM-0,PASS_A7PM0_SOURCE_OF_TRUTH_REGISTRY_BUILT
A7AI-F2,PASS_A7AIF2_END_TO_END_ENFORCEMENT_CONNECTED
A7AI-F3,PASS_A7AIF3_REPLAY_MATERIALIZATION_PARITY_READY
A7AA-4,PASS_A7AA4_RESPONSE_LABEL_READINESS_HANDOFF_FOR_A7SEL0
