family_id,in_a7al2x_contract,has_generated_candidates,has_historical_generated_candidates,has_a7al2l_replay,has_shared_pool_candidates,has_x1_eligible_candidates,primary_gap,required_action
F0_OI_delta_price_interaction,True,True,True,False,True,False,a7al2l_target_replay_mode_excluded,run_family_balanced_preflight_instead_of_two_target_replay
F1_OI_basis_premium_interaction,True,True,True,False,False,False,a7al2l_target_replay_mode_excluded,run_family_balanced_preflight_instead_of_two_target_replay
F2_OI_funding_crowding_interaction,True,True,True,False,False,False,a7al2l_target_replay_mode_excluded,run_family_balanced_preflight_instead_of_two_target_replay
F3_positioning_divergence,True,True,False,False,False,False,generated_only_as_overlay_or_nonhistorical,replace_overlay_only_fields_with_historical_binance_fields_or_contract_source
F4_OI_taker_flow_interaction,True,True,True,False,False,False,a7al2l_target_replay_mode_excluded,run_family_balanced_preflight_instead_of_two_target_replay
F5_OI_upper_regime_interaction,True,True,True,False,False,False,a7al2l_target_replay_mode_excluded,run_family_balanced_preflight_instead_of_two_target_replay
F6_OI_latent_state_interaction,True,False,False,False,False,False,not_generated,add_family_to_generator_templates
