blueprint_id,expression,a7input_queue,semantic_pair,motif,skeleton_key,production_key,row_count,label_family_count,horizon_count,dominant_decision,dominant_decision_share,median_control_ratio,min_control_ratio,median_positive_split_count,max_positive_split_count,max_recent_spread,max_cost5_recent,best_label_family,best_label_horizon_h,best_decision
a7ff24r_168885405125bba0,"Mul(Delta(mark_index_basis_bps,2),Sign(premium_close_bps))",ordinary_alpha,basis_premium_like|basis_premium_like,gated_sign,skel_136259b72205469f,prod_d07844f9a60a42f7,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.75,1.0438505614372229,1.0031990888657747,3.0,3,0.0742063440163957,0.0732063440163957,L5_vol_adjusted,24,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_0e8cf4f2d2d653c7,"Sub(CSRank(mark_trade_basis_bps),CSRank(open_interest_mean))",ordinary_alpha,basis_premium_like|positioning_like,spread_rank,skel_293cae94cfd91548,prod_ea39c4066eb4790a,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.5,1.210244025028993,0.9995448162663296,3.0,3,0.0732223550271409,0.0722223550271409,L5_vol_adjusted,1,HOLD_CORE56_STALE_LAG_FRAGILE
a7ff24r_eab92902c63036e3,"Delta(mark_index_basis_bps,2)",ordinary_alpha,basis_premium_like,single,skel_1d39996e97d5ace0,prod_cc89c303d0cefe7f,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.75,1.0,1.0,3.0,3,0.0719592402529598,0.0709592402529598,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_503edc81504e964a,"Sub(Delta(mark_index_basis_bps,2),trade_return_1h)",ordinary_alpha,basis_premium_like|price_like,sub,skel_0994b3a36a4d53ba,prod_f668a3e4d50a2b87,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.75,1.0,1.0,3.0,3,0.071597001508635,0.070597001508635,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_2896b670ebf3967c,"Mul(realized_vol_24h,Mean(trade_return_1h,2))",interaction_alpha,price_like|volatility_like,mul,skel_f8484b844efd270f,prod_5af89ad77b5484b1,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.5625,2.60839444354089,1.0004044079532368,2.0,3,0.0660758235855176,0.0650758235855176,L5_vol_adjusted,24,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_46dbca9c53956336,"SafeDiv(mark_high,Abs(trade_close))",ordinary_alpha,basis_premium_like|price_like,safe_div_abs,skel_d9d4f69744bac825,prod_6962f3324fc81d0a,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.6875,2.080425134897617,1.0008080896466796,2.0,3,0.0582247776651298,0.0572247776651298,L5_vol_adjusted,24,HOLD_CORE56_PREMAY_UNSTABLE
a7ff24r_0ba14c1c756fb529,"SafeDiv(Delta(mark_index_basis_bps,8),Abs(premium_close_bps))",ordinary_alpha,basis_premium_like|basis_premium_like,safe_div_abs,skel_136259b72205469f,prod_a69e459f6162b766,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.625,1.0,1.0,3.0,3,0.0571822889094666,0.0561822889094665,L5_vol_adjusted,24,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_106659470940e2eb,"Sub(Delta(mark_index_basis_bps,4),trade_return_1h)",ordinary_alpha,basis_premium_like|price_like,sub,skel_0994b3a36a4d53ba,prod_d690db9adbb51f19,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.625,1.0,1.0,3.0,3,0.0563357713029312,0.0553357713029312,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_6b9e4107d4ce11d4,"Delta(mark_index_basis_bps,4)",ordinary_alpha,basis_premium_like,single,skel_1d39996e97d5ace0,prod_2e65a589d9d12580,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.625,1.0,1.0,3.0,3,0.0563144747757169,0.0553144747757168,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_842341fb2d786d51,"Mul(Delta(mark_index_basis_bps,4),Sign(realized_vol_168h))",interaction_alpha,basis_premium_like|volatility_like,gated_sign,skel_136259b72205469f,prod_af7c53af3294eef9,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.625,1.0,1.0,3.0,3,0.0562917356383252,0.0552917356383252,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
