decision,row_count,candidate_count,median_control_ratio,median_positive_split_count,max_recent_spread,median_cost5_recent
HOLD_CORE56_PREMAY_UNSTABLE,1189,114,1.7267958729098158,0.0,0.1940201605225453,-0.0019838179863817
HOLD_CORE56_CONTROL_DOMINATED,612,107,1.0040075690007302,3.0,0.2917690857451862,-0.00035613250245075
HOLD_CORE56_STALE_LAG_FRAGILE,9,7,0.9971883895079112,3.0,0.0732223550271409,0.0142807298957053
HOLD_CORE56_COST5_FRAGILE,14,5,0.999458814667656,3.0,0.0008767125159472,-0.0002578106308362
