motif,row_count,candidate_count,median_control_ratio,median_positive_split_count,max_recent_spread,median_cost5_recent
safe_div_abs,608,38,1.4391388982034774,1.0,0.0979444642224116,-0.0021383843927859497
mul,272,17,1.7846737309012402,2.0,0.1940201605225453,-0.000601298547375
single,240,15,1.1024760150089565,2.0,0.079471758146865,-0.0007271344103505
gated_sign,224,14,1.0771009749483993,2.0,0.0862278162492613,-0.00062122004786505
sub,192,12,1.0061543215137365,2.0,0.2917690857451862,-0.0007359403050075
spread_rank,176,11,1.0093439523805867,3.0,0.2837573929711332,-0.00025781063212425
smooth_mul,96,6,1.643025647816731,2.0,0.1176433597956052,-0.0010246560565435499
signed_spread,16,1,1.7662527549968539,1.0,0.0397993159791747,-0.0004252745397192
