failure_reason_detail,decision,row_count
control_dominated,HOLD_CORE56_PREMAY_UNSTABLE,1189
premay_sign_unstable,HOLD_CORE56_PREMAY_UNSTABLE,1189
cost5_fragile,HOLD_CORE56_PREMAY_UNSTABLE,1122
stale_lag_fragile,HOLD_CORE56_PREMAY_UNSTABLE,1024
control_dominated,HOLD_CORE56_CONTROL_DOMINATED,612
cost5_fragile,HOLD_CORE56_CONTROL_DOMINATED,351
stale_lag_fragile,HOLD_CORE56_CONTROL_DOMINATED,191
cost5_fragile,HOLD_CORE56_COST5_FRAGILE,14
none,HOLD_CORE56_STALE_LAG_FRAGILE,6
stale_lag_fragile,HOLD_CORE56_STALE_LAG_FRAGILE,3
cost5_fragile,HOLD_CORE56_STALE_LAG_FRAGILE,2
