left,right,intersection_hours,jaccard,left_covered_by_right,right_covered_by_left
extreme_drawdown_30d_p05,session=asia_utc_00_07,660,0.07972940323749698,0.3421461897356143,0.0941646454558425
oi_expansion_24h_p90,volume_burst,293,0.07933929054968861,0.1514994829369183,0.14278752436647174
session=europe_utc_08_13,volume_burst,537,0.07930881701373504,0.1021689497716895,0.26169590643274854
oi_contraction_24h_p10,session=asia_utc_00_07,641,0.07677566175589891,0.32357395254921756,0.09145384505635612
oi_expansion_24h_p90,session=us_utc_14_21,623,0.0748888087510518,0.32213029989658737,0.08889840182648402
liquidity_shock_low_volume,pre_funding_1h_proxy,334,0.07467024368432819,0.15328132170720515,0.12709284627092846
extreme_drawdown_30d_p05,session=us_utc_14_21,619,0.07441692714594854,0.32089165370658373,0.08832762557077625
extreme_drawdown_30d_p05,session=europe_utc_08_13,493,0.07367005379557681,0.25557283566614825,0.09379756468797565
basis_dislocation_p90,oi_contraction_24h_p10,567,0.07323688969258589,0.08960176991150443,0.2862190812720848
basis_dislocation_p95,volume_burst,445,0.07228719948018193,0.09782369751593757,0.2168615984405458
perp_pressure_proxy,session=late_utc_22_23,327,0.07204230006609386,0.10500963391136801,0.18664383561643835
basis_dislocation_p95,liquidity_shock_low_volume,450,0.07167887862376553,0.09892284018465597,0.2065167508031207
oi_contraction_24h_p10,session=europe_utc_08_13,479,0.070878958271678,0.24179707218576477,0.09113394216133942
perp_pressure_proxy,pre_funding_1h_proxy,378,0.07046979865771812,0.12138728323699421,0.14383561643835616
pre_funding_1h_proxy,volume_burst,307,0.0702035216098788,0.11681887366818873,0.14961013645224172
basis_dislocation_p95,pre_funding_1h_proxy,465,0.06927890345649583,0.10222026819081116,0.1769406392694064
perp_pressure_proxy,post_funding_1h_proxy,369,0.06867671691792294,0.11849710982658959,0.1404109589041096
basis_dislocation_p90,session=late_utc_22_23,517,0.0683591167526114,0.08170037926675094,0.2950913242009132
oi_expansion_24h_p90,session=europe_utc_08_13,460,0.06835066864784546,0.2378490175801448,0.08751902587519025
market_crash_like,volume_burst,154,0.06832298136645963,0.43258426966292135,0.07504873294346978
basis_dislocation_p95,oi_contraction_24h_p10,394,0.06421121251629726,0.08661244229500989,0.198889449772842
basis_dislocation_p90,oi_expansion_24h_p90,488,0.06277334705428352,0.07711757269279393,0.25232678386763185
funding_negative_extreme,session=late_utc_22_23,719,0.06210053549835896,0.06818397344713134,0.4103881278538813
extreme_drawdown_30d_p05,market_crash_like,133,0.061802973977695165,0.06894764126490409,0.37359550561797755
forced_deleveraging_proxy,volume_burst,136,0.06151062867480778,0.4610169491525424,0.06627680311890838
funding_boundary_8h_proxy,perp_pressure_proxy,322,0.059398634938203285,0.12248003042982122,0.10340398201669879
extreme_drawdown_30d_p05,volume_burst,221,0.05877659574468085,0.11456713322965267,0.10769980506822611
oi_expansion_24h_p90,post_funding_1h_proxy,253,0.05871431886748665,0.13081695966907964,0.09627092846270928
oi_expansion_24h_p90,pre_funding_1h_proxy,253,0.05871431886748665,0.13081695966907964,0.09627092846270928
oi_contraction_24h_p10,post_funding_1h_proxy,254,0.058323765786452354,0.12821807168096921,0.09665144596651445
basis_dislocation_p95,session=late_utc_22_23,342,0.0573921798959557,0.07518135854033854,0.1952054794520548
funding_boundary_8h_proxy,oi_expansion_24h_p90,247,0.0572289156626506,0.09395207303157094,0.12771458117890383
post_funding_1h_proxy,volume_burst,253,0.05714931104585498,0.09627092846270928,0.1232943469785575
extreme_drawdown_30d_p05,post_funding_1h_proxy,244,0.056573150939021564,0.12649040953862103,0.0928462709284627
oi_contraction_24h_p10,pre_funding_1h_proxy,246,0.05638322255328902,0.12417970721857648,0.09360730593607305
extreme_drawdown_30d_p05,funding_boundary_8h_proxy,243,0.056315179606025494,0.12597200622083982,0.09243058197033092
funding_boundary_8h_proxy,oi_contraction_24h_p10,245,0.056128293241695305,0.09319132750095094,0.12367491166077739
basis_dislocation_p95,oi_expansion_24h_p90,340,0.05534755005697542,0.07474170147285118,0.17580144777662876
extreme_drawdown_30d_p05,pre_funding_1h_proxy,236,0.054616986808609116,0.12234318299637117,0.0898021308980213
extreme_drawdown_30d_p05,liquidity_shock_low_volume,205,0.05252369971816551,0.10627268014515293,0.09407985314364388
session=asia_utc_00_07,volume_burst,442,0.05128205128205128,0.06306177771436725,0.21539961013645223
extreme_vol_168h_p95,oi_contraction_24h_p10,128,0.048669201520912544,0.16473616473616473,0.0646138313982837
extreme_drawdown_30d_p05,forced_deleveraging_proxy,101,0.047574187470560525,0.052358735095904614,0.3423728813559322
oi_contraction_24h_p10,session=late_utc_22_23,167,0.04683118339876612,0.08430085815244825,0.09531963470319635
oi_expansion_24h_p90,session=late_utc_22_23,163,0.046267385750780585,0.08428128231644261,0.0930365296803653
oi_expansion_24h_p90,perp_pressure_proxy,218,0.045134575569358175,0.11271975180972078,0.07000642260757868
extreme_drawdown_30d_p05,session=late_utc_22_23,157,0.0445516458569807,0.08138932089165371,0.08961187214611872
funding_boundary_8h_proxy,funding_positive_extreme,122,0.04405922715781871,0.04640547736782046,0.46564885496183206
extreme_drawdown_30d_p05,perp_pressure_proxy,204,0.04215747055176689,0.1057542768273717,0.06551059730250482
funding_abs_extreme_p90,funding_boundary_8h_proxy,122,0.041953232462173314,0.30423940149625933,0.04640547736782046
basis_dislocation_p95,derivative_dislocation_proxy,174,0.037793223284100785,0.03825016487140031,0.759825327510917
perp_pressure_proxy,volume_burst,184,0.03693295865114412,0.05908798972382787,0.08966861598440545
basis_dislocation_p95,funding_abs_extreme_p90,174,0.0364321608040201,0.03825016487140031,0.4339152119700748
basis_dislocation_p90,derivative_dislocation_proxy,229,0.036188369152970926,0.036188369152970926,1.0
oi_contraction_24h_p10,perp_pressure_proxy,175,0.03556910569105691,0.08833922261484099,0.05619781631342325
basis_dislocation_p90,funding_abs_extreme_p90,229,0.03523076923076923,0.036188369152970926,0.571072319201995
extreme_vol_168h_p95,session=us_utc_14_21,263,0.03496410529114597,0.3384813384813385,0.03752853881278539
extreme_vol_168h_p95,session=europe_utc_08_13,197,0.03375599725839616,0.25353925353925355,0.03748097412480974
extreme_vol_168h_p95,session=asia_utc_00_07,253,0.03358555688304792,0.3256113256113256,0.03609644742473962
extreme_vol_168h_p95,liquidity_shock_low_volume,94,0.03284416491963662,0.12097812097812098,0.043139054612207434
derivative_dislocation_proxy,funding_boundary_8h_proxy,87,0.031396607722843736,0.3799126637554585,0.03309243058197033
extreme_vol_168h_p95,pre_funding_1h_proxy,97,0.029322853688029022,0.12483912483912483,0.03691019786910198
extreme_vol_168h_p95,post_funding_1h_proxy,96,0.02901178603807797,0.12355212355212356,0.0365296803652968
extreme_vol_168h_p95,oi_expansion_24h_p90,76,0.028842504743833017,0.0978120978120978,0.03929679420889348
extreme_vol_168h_p95,funding_boundary_8h_proxy,95,0.028692237994563576,0.12226512226512226,0.036135412704450365
liquidity_shock_low_volume,post_funding_1h_proxy,132,0.02823529411764706,0.060578246902248736,0.0502283105022831
extreme_vol_168h_p95,market_crash_like,30,0.027198549410698096,0.03861003861003861,0.08426966292134831
extreme_vol_168h_p95,funding_negative_extreme,297,0.026938775510204082,0.38223938223938225,0.028165007112375535
liquidity_shock_low_volume,oi_contraction_24h_p10,109,0.026906936558874352,0.05002294630564479,0.05502271580010096
extreme_vol_168h_p95,forced_deleveraging_proxy,28,0.02681992337164751,0.036036036036036036,0.09491525423728814
extreme_vol_168h_p95,session=late_utc_22_23,64,0.025963488843813387,0.08236808236808237,0.0365296803652968
liquidity_shock_low_volume,session=europe_utc_08_13,185,0.025517241379310347,0.08490133088572739,0.03519786910197869
basis_dislocation_p90,funding_positive_extreme,160,0.024883359253499222,0.025284450063211124,0.6106870229007634
basis_dislocation_p95,funding_positive_extreme,113,0.02405278842060451,0.024840624313035832,0.4312977099236641
funding_abs_extreme_p90,volume_burst,50,0.020807324178110695,0.12468827930174564,0.024366471734892786
