family_id,label_family,horizon_h,split,positive_rate,median_control_ratio,median_net_spread,row_count
F1a_aggtrades_flow_microstructure,L0,4,recent_2026JanApr,0.0,0.6944351342446841,-0.0002217696036562,7
F1a_aggtrades_flow_microstructure,L0,4,test_2025H2,0.0,10.941856311664177,-0.000205282831042,7
F1a_aggtrades_flow_microstructure,L0,4,train_2024,0.0,2.711502386518274,-0.0001731043807507,7
F1a_aggtrades_flow_microstructure,L0,4,validation_2025H1,0.0,1.034684541167136,-0.0001719761636004,7
F1a_aggtrades_flow_microstructure,L0,8,recent_2026JanApr,0.0,0.5294698017997476,-0.0002509558838127,7
F1a_aggtrades_flow_microstructure,L0,8,test_2025H2,0.0,2.4713073143648674,-0.000225084978851,7
F1a_aggtrades_flow_microstructure,L0,8,train_2024,0.0,1.5246769244170233,-0.00011384178809,7
F1a_aggtrades_flow_microstructure,L0,8,validation_2025H1,0.0,1.5886963033689887,-0.0001942496671695,7
F1a_aggtrades_flow_microstructure,L0,24,recent_2026JanApr,0.0,1.0571644585660231,-0.0003725045410297,7
F1a_aggtrades_flow_microstructure,L0,24,test_2025H2,0.0,1.7819660141304496,-0.0002290617497245,7
F1a_aggtrades_flow_microstructure,L0,24,train_2024,0.8571428571428571,1.137374158805562,3.717374508417629e-05,7
F1a_aggtrades_flow_microstructure,L0,24,validation_2025H1,0.0,0.686304861844203,-0.0002100948937263,7
F1a_aggtrades_flow_microstructure,L1,4,recent_2026JanApr,0.0,2.104706018038758,-0.0001963222206167,7
F1a_aggtrades_flow_microstructure,L1,4,test_2025H2,0.0,4.071124526606429,-0.0001844615938559,7
F1a_aggtrades_flow_microstructure,L1,4,train_2024,0.0,13.070612339182189,-0.0002012357335908,7
F1a_aggtrades_flow_microstructure,L1,4,validation_2025H1,0.0,0.6245312876800366,-0.0001473360604828,7
F1a_aggtrades_flow_microstructure,L1,8,recent_2026JanApr,0.0,2.844222071528368,-0.0002011866980621,7
F1a_aggtrades_flow_microstructure,L1,8,test_2025H2,0.0,2.85362491349589,-0.0001781747045063,7
F1a_aggtrades_flow_microstructure,L1,8,train_2024,0.0,5.516755960877145,-0.0001656108903254,7
F1a_aggtrades_flow_microstructure,L1,8,validation_2025H1,0.0,0.9234174461908864,-0.0001443639761594,7
F1a_aggtrades_flow_microstructure,L1,24,recent_2026JanApr,0.0,13.05473163270228,-0.0002125466778929,7
F1a_aggtrades_flow_microstructure,L1,24,test_2025H2,0.0,0.9609794113243916,-0.0001135011725247,7
F1a_aggtrades_flow_microstructure,L1,24,train_2024,0.14285714285714285,2.93410374165024,-0.0001139706243641,7
F1a_aggtrades_flow_microstructure,L1,24,validation_2025H1,0.42857142857142855,0.2678167701060395,-4.689118833315151e-05,7
F1a_aggtrades_flow_microstructure,L5,4,recent_2026JanApr,0.0,0.0035082542724086,-0.0057779132364059,7
F1a_aggtrades_flow_microstructure,L5,4,test_2025H2,0.42857142857142855,0.0286309828191759,-0.0003984589165834,7
F1a_aggtrades_flow_microstructure,L5,4,train_2024,1.0,0.0305702209086937,0.0024267217809546,7
F1a_aggtrades_flow_microstructure,L5,4,validation_2025H1,0.42857142857142855,0.029316460400482,-0.0001000250266693,7
F1a_aggtrades_flow_microstructure,L5,8,recent_2026JanApr,0.0,0.0037429623207006,-0.0099596561387992,7
F1a_aggtrades_flow_microstructure,L5,8,test_2025H2,0.7142857142857143,0.0649179976358482,0.0011316730576899,7
F1a_aggtrades_flow_microstructure,L5,8,train_2024,0.8571428571428571,0.0424755339410108,0.0033175719612889,7
F1a_aggtrades_flow_microstructure,L5,8,validation_2025H1,0.42857142857142855,0.0229936315603682,-0.0013534669374691,7
F1a_aggtrades_flow_microstructure,L5,24,recent_2026JanApr,0.0,0.0104880486896372,-0.0170279717637825,7
F1a_aggtrades_flow_microstructure,L5,24,test_2025H2,0.0,0.0187305387792111,-0.0046751695956734,7
F1a_aggtrades_flow_microstructure,L5,24,train_2024,1.0,0.0325389260516053,0.0087469876641646,7
