cluster_id,interval,representative_candidate_id,representative_expression,representative_motif,representative_horizon,representative_score_proxy,member_count,max_member_corr_to_rep
crypto_a3_1h_001,1h,crypto_a1_1h_6_price_funding_state_9a00b8ca89fa,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",price_funding_state,6,0.2585929106677976,10,1.0
crypto_a3_1h_002,1h,crypto_a1_1h_6_basis_funding_state_1713bf7671e4,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))",basis_funding_state,6,0.2475678224275567,7,1.0
crypto_a3_1h_003,1h,crypto_a1_1h_1_price_funding_state_23dc0eed885a,"Mul(Rank(ret_6),ZScore(funding_rate_persistence_3))",price_funding_state,1,0.24440534779816284,9,1.0
crypto_a3_1h_004,1h,crypto_a1_1h_1_price_basis_confirmation_cd03f009af21,"Mul(Rank(ret_24),Rank(mark_minus_index))",price_basis_confirmation,1,0.23163125969835027,2,1.0
crypto_a3_1h_005,1h,crypto_a1_1h_1_basis_funding_state_bcb9a54219dd,"Mul(Rank(mark_minus_index),ZScore(funding_rate_persistence_3))",basis_funding_state,1,0.2269696400619056,3,1.0
crypto_a3_1h_006,1h,crypto_a1_1h_1_price_basis_confirmation_bdae62c87774,"Mul(Rank(ret_6),Rank(mark_minus_index))",price_basis_confirmation,1,0.2184912204674903,1,1.0
crypto_a3_1h_007,1h,crypto_a1_1h_1_price_momentum_continuation_cd58bdfa34b6,Rank(ret_3),price_momentum_continuation,1,0.21381008027868628,1,1.0
crypto_a3_1h_008,1h,crypto_a1_1h_3_price_basis_confirmation_38918c5ce65c,"Mul(Rank(ret_24),Rank(mark_index_ratio))",price_basis_confirmation,3,0.21307427173240645,5,1.0
crypto_a3_1h_009,1h,crypto_a1_1h_1_price_momentum_continuation_fd4cc71299e6,Rank(ret_24),price_momentum_continuation,1,0.20836636179516704,2,1.0
crypto_a3_1h_010,1h,crypto_a1_1h_3_basis_funding_state_31416b6f7871,"Mul(Rank(mark_index_ratio),ZScore(funding_rate_persistence_3))",basis_funding_state,3,0.2068538152964314,5,1.0
