"stage","shard","offset","limit","process_id","runtime","report","out_log","err_log","script","launched_at"
"A7FF-16S00","00","0","48","19896","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff16_company_numeric_followup_shard_00","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\reports\CRYPTO_A7FF16S00_COMPANY_NUMERIC_FOLLOWUP_20260530.md","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff16_company_parallel\a7ff16s00.out.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff16_company_parallel\a7ff16s00.err.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff16_company_parallel\run_a7ff16s00.ps1","2026-05-30T12:41:11.7175231+08:00"
"A7FF-16S01","01","48","48","3100","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff16_company_numeric_followup_shard_01","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\reports\CRYPTO_A7FF16S01_COMPANY_NUMERIC_FOLLOWUP_20260530.md","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff16_company_parallel\a7ff16s01.out.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff16_company_parallel\a7ff16s01.err.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff16_company_parallel\run_a7ff16s01.ps1","2026-05-30T12:41:11.7322238+08:00"
