candidate_id,queue_index,root_subgraph_id,expression,raw_inputs,candidate_roles,semantic_pairs,motifs,semantic_bucket,motif_bucket,formula_gen_gate,gate_mode,gate_allowed,gate_reason,ordinary_alpha_allowed,ordinary_alpha_reject_reason,uses_raw_expression_construction,uses_may,authorizes_numeric,authorizes_replay,authorizes_search
a7ffcore5_c84732657e9ffe68d5,0,sg_74cf2751de3b75b6,trade_count,trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,liquidity_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,approved_diagnostic_root_id,False,subgraph_id_not_allowed_for_mode,False,False,False,False,False
a7ffcore5_0b51b6e49becbdcfdd,1,sg_505dd7322878ec95,"Mean(trade_count,4)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,liquidity_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,approved_diagnostic_root_id,False,subgraph_id_not_allowed_for_mode,False,False,False,False,False
a7ffcore5_61617784d0a4a33b19,2,sg_58770d2c8446e487,"Mean(trade_count,8)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,liquidity_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,approved_diagnostic_root_id,False,subgraph_id_not_allowed_for_mode,False,False,False,False,False
a7ffcore5_548e4c9f811a38d9c7,3,sg_1d81b3d17579bfd1,"Delta(trade_count,4)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,liquidity_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,approved_diagnostic_root_id,False,subgraph_id_not_allowed_for_mode,False,False,False,False,False
a7ffcore5_5f7bebf67aa171ebdf,4,sg_2ea7bb7cddb7dd7d,"Mean(trade_count,24)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,liquidity_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,approved_diagnostic_root_id,False,subgraph_id_not_allowed_for_mode,False,False,False,False,False
a7ffcore5_d81518b22f49cf7be9,5,sg_3e40148d309cb6f8,"Delta(trade_count,8)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,liquidity_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,approved_diagnostic_root_id,False,subgraph_id_not_allowed_for_mode,False,False,False,False,False
a7ffcore5_de743a183ba30f7d8d,6,sg_a15719f9fa742d1b,"Delta(trade_count,24)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,liquidity_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,approved_diagnostic_root_id,False,subgraph_id_not_allowed_for_mode,False,False,False,False,False
a7ffcore5_ee43a19c2f8fbe6984,7,sg_1e43b3b279160e11,"ZScore(Mean(trade_count,4))",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,liquidity_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,approved_diagnostic_root_id,False,subgraph_id_not_allowed_for_mode,False,False,False,False,False
a7ffcore5_1b8b8fa56b62264f79,8,sg_bd8184370e264f1f,"ZScore(Mean(trade_count,8))",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,liquidity_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,approved_diagnostic_root_id,False,subgraph_id_not_allowed_for_mode,False,False,False,False,False
a7ffcore5_cb841494b3af15d5f3,9,sg_3e2bb8e2fd6d452e,"ZScore(Mean(trade_count,24))",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,liquidity_like,liquidity_shock,diagnostic_or_repair_root_only,diagnostic_repair,True,approved_diagnostic_root_id,False,subgraph_id_not_allowed_for_mode,False,False,False,False,False
