subgraph_id,expression,raw_inputs,candidate_roles,semantic_pairs,motifs,formula_gen_gate,semantic_bucket,motif_bucket,raw_input_count,expr_len
sg_74cf2751de3b75b6,trade_count,trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like,liquidity_shock,1,11
sg_505dd7322878ec95,"Mean(trade_count,4)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like,liquidity_shock,1,19
sg_58770d2c8446e487,"Mean(trade_count,8)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like,liquidity_shock,1,19
sg_1d81b3d17579bfd1,"Delta(trade_count,4)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like,liquidity_shock,1,20
sg_2ea7bb7cddb7dd7d,"Mean(trade_count,24)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like,liquidity_shock,1,20
sg_3e40148d309cb6f8,"Delta(trade_count,8)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like,liquidity_shock,1,20
sg_a15719f9fa742d1b,"Delta(trade_count,24)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like,liquidity_shock,1,21
sg_1e43b3b279160e11,"ZScore(Mean(trade_count,4))",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like,liquidity_shock,1,27
sg_bd8184370e264f1f,"ZScore(Mean(trade_count,8))",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like,liquidity_shock,1,27
sg_3e2bb8e2fd6d452e,"ZScore(Mean(trade_count,24))",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like,liquidity_shock,1,28
sg_728d6502609169e0,trade_volume,trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,12
sg_86a939f32e60305d,age_x_liquidity,age_x_liquidity,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,15
sg_312b6a1bff2e6ab7,trade_count_168h,trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,16
sg_eb8a24b1083f7b7a,trade_quote_volume,trade_quote_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,18
sg_b7545d2a9a08d265,"Mean(trade_volume,8)",trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,20
sg_dd07b47ae2562131,"Mean(trade_count,72)",trade_count,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,20
sg_eecb865fab2bc504,"Mean(trade_volume,4)",trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,20
sg_1095ba1e4e30c6a7,"Delta(trade_count,72)",trade_count,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,21
sg_72e4ae25c0ae58c6,log_quote_volume_168h,log_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,21
sg_abb414efb0a02c0b,"Delta(trade_volume,4)",trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,21
sg_ac7cc5746158c3fd,"Mean(trade_volume,72)",trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,21
sg_cfa251a58b13c77a,"Delta(trade_volume,8)",trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,21
sg_f7f545c7952eba5a,"Mean(trade_volume,24)",trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,21
sg_3f488dcf48baef71,"Delta(trade_volume,24)",trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,22
sg_785dde49c7d4c9f8,"Delta(trade_volume,72)",trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,22
