decision,label_family,response_rows
HOLD_A7LS29a7ls29_num_s008_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,2023
HOLD_A7LS29a7ls29_num_s005_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,2010
HOLD_A7LS29a7ls29_num_s007_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,2004
HOLD_A7LS29a7ls29_num_s009_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1997
HOLD_A7LS29a7ls29_num_s006_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1988
HOLD_A7LS29a7ls29_num_s010_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1987
HOLD_A7LS29a7ls29_num_s006_PRE_MAY_UNSTABLE,L0_raw_forward_return,1671
HOLD_A7LS29a7ls29_num_s006_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1671
A7LS29a7ls29_num_s010_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,1565
HOLD_A7LS29a7ls29_num_s005_CONTROL_DOMINATED,L7_ranked_future_return,1434
HOLD_A7LS29a7ls29_num_s005_PRE_MAY_UNSTABLE,L0_raw_forward_return,1412
HOLD_A7LS29a7ls29_num_s005_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1412
HOLD_A7LS29a7ls29_num_s004_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1401
HOLD_A7LS29a7ls29_num_s003_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,1344
A7LS29a7ls29_num_s008_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,1340
A7LS29a7ls29_num_s009_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,1298
HOLD_A7LS29a7ls29_num_s006_CONTROL_DOMINATED,L7_ranked_future_return,1190
HOLD_A7LS29a7ls29_num_s011_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1164
HOLD_A7LS29a7ls29_num_s000_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1147
HOLD_A7LS29a7ls29_num_s001_PRE_MAY_UNSTABLE,L0_raw_forward_return,1126
HOLD_A7LS29a7ls29_num_s001_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1126
HOLD_A7LS29a7ls29_num_s011_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1119
HOLD_A7LS29a7ls29_num_s001_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1112
HOLD_A7LS29a7ls29_num_s011_CONTROL_DOMINATED,L0_raw_forward_return,1100
HOLD_A7LS29a7ls29_num_s011_CONTROL_DOMINATED,L1_cross_sectional_relative_return,1088
HOLD_A7LS29a7ls29_num_s009_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,1081
HOLD_A7LS29a7ls29_num_s000_PRE_MAY_UNSTABLE,L0_raw_forward_return,1079
HOLD_A7LS29a7ls29_num_s000_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1079
HOLD_A7LS29a7ls29_num_s010_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,1073
HOLD_A7LS29a7ls29_num_s004_CONTROL_DOMINATED,L7_ranked_future_return,1046
HOLD_A7LS29a7ls29_num_s007_PRE_MAY_UNSTABLE,L0_raw_forward_return,1031
HOLD_A7LS29a7ls29_num_s007_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1031
HOLD_A7LS29a7ls29_num_s010_CONTROL_DOMINATED,L1_cross_sectional_relative_return,1024
HOLD_A7LS29a7ls29_num_s008_CONTROL_DOMINATED,L0_raw_forward_return,1023
HOLD_A7LS29a7ls29_num_s010_CONTROL_DOMINATED,L0_raw_forward_return,1016
HOLD_A7LS29a7ls29_num_s008_CONTROL_DOMINATED,L1_cross_sectional_relative_return,1007
HOLD_A7LS29a7ls29_num_s002_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,1005
HOLD_A7LS29a7ls29_num_s009_CONTROL_DOMINATED,L1_cross_sectional_relative_return,998
HOLD_A7LS29a7ls29_num_s009_CONTROL_DOMINATED,L0_raw_forward_return,992
HOLD_A7LS29a7ls29_num_s002_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,973
HOLD_A7LS29a7ls29_num_s008_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,970
