semantic_pair,motif,label_family,portfolio_rows
open_interest_like|positioning_like|regime_state,seed_gated_sign,L3_liquidity_tier_relative_return,788
open_interest_like|positioning_like|listing_age_like,seed_sub,L7_ranked_future_return,747
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L7_ranked_future_return,357
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,351
basis_premium_like|positioning_like,spread_rank,L7_ranked_future_return,209
open_interest_like|positioning_like,safe_div_abs,L7_ranked_future_return,189
basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,186
basis_premium_like|positioning_like,signed_spread,L7_ranked_future_return,158
basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,132
basis_premium_like|positioning_like,signed_spread,L5_vol_adjusted_return,128
basis_premium_like|positioning_like,mean_reversion_gate,L5_vol_adjusted_return,127
open_interest_like|positioning_like,smooth_mul,L5_vol_adjusted_return,96
basis_premium_like|positioning_like,sub,L5_vol_adjusted_return,48
open_interest_like|positioning_like|listing_age_like,seed_sub,L3_liquidity_tier_relative_return,41
basis_premium_like|positioning_like,safe_div_abs,L0_raw_forward_return,37
basis_premium_like|positioning_like,spread_rank,L3_liquidity_tier_relative_return,32
basis_premium_like|positioning_like,signed_spread,L3_liquidity_tier_relative_return,29
basis_premium_like|positioning_like,signed_spread,L0_raw_forward_return,25
basis_premium_like|positioning_like,safe_div_abs,L3_liquidity_tier_relative_return,25
basis_premium_like|positioning_like,safe_div_abs,L7_ranked_future_return,25
basis_premium_like|positioning_like,spread_rank,L0_raw_forward_return,18
basis_premium_like|positioning_like,safe_div_abs,L1_cross_sectional_relative_return,17
basis_premium_like|positioning_like,signed_spread,L1_cross_sectional_relative_return,15
open_interest_like|positioning_like|regime_state,seed_gated_sign,L7_ranked_future_return,14
basis_premium_like|positioning_like,mean_reversion_gate,L7_ranked_future_return,13
open_interest_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,7
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L0_raw_forward_return,6
basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,6
open_interest_like|positioning_like|listing_age_like,seed_sub,L1_cross_sectional_relative_return,5
basis_premium_like|positioning_like,mean_reversion_gate,L3_liquidity_tier_relative_return,5
open_interest_like|positioning_like,smooth_mul,L7_ranked_future_return,5
basis_premium_like|positioning_like,mean_reversion_gate,L0_raw_forward_return,4
open_interest_like|positioning_like,safe_div_abs,L1_cross_sectional_relative_return,4
open_interest_like|positioning_like|regime_state,seed_gated_sign,L1_cross_sectional_relative_return,4
basis_premium_like|positioning_like,mean_reversion_gate,L1_cross_sectional_relative_return,4
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L1_cross_sectional_relative_return,3
open_interest_like|positioning_like,smooth_mul,L1_cross_sectional_relative_return,3
open_interest_like|positioning_like,smooth_mul,L0_raw_forward_return,3
open_interest_like|positioning_like,safe_div_abs,L0_raw_forward_return,3
open_interest_like|positioning_like,smooth_mul,L3_liquidity_tier_relative_return,2
open_interest_like|positioning_like|regime_state,seed_gated_sign,L0_raw_forward_return,2
basis_premium_like|positioning_like,sub,L7_ranked_future_return,2
basis_premium_like|positioning_like,sub,L0_raw_forward_return,2
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L1_cross_sectional_relative_return,1
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L3_liquidity_tier_relative_return,1
basis_premium_like|positioning_like,sub,L1_cross_sectional_relative_return,1
basis_premium_like|positioning_like,sub,L3_liquidity_tier_relative_return,1
open_interest_like|positioning_like|listing_age_like,seed_sub,L0_raw_forward_return,1
