blueprint_id,semantic_pair,motif,label_family,label_horizon_h,score_no_may,control_ratio_premay_max,cost10_recent_oriented,robust_median_tstat_floor,skeleton_key,expression
a7ls29_bd8fd88ac34e12e1,basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,4,129.7896911778195,0.7141593941379436,0.1225038505719574,0.7369544261985002,basis_premium_like|positioning_like|safe_div_abs|a3e7e8059994,"CSRank(SafeDiv(TSRank(mark_index_basis_bps,24),Abs(ZScore(Mean(global_long_short_account_ratio_last,240)))))"
a7ls29_319cc30cec123997,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,127.7241682819176,0.8302289339710917,0.1205543972158886,0.8553049634120949,basis_premium_like|positioning_like|spread_rank|db89712891c9,"Neg(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,12)))))"
a7ls29_2324dcc8dee6b711,basis_premium_like|positioning_like,signed_spread,L5_vol_adjusted_return,4,126.6547253264082,0.5688320838463473,0.1192235574102545,1.8954672038772955,basis_premium_like|positioning_like|signed_spread|99b9175eaaf2,"Neg(Mul(Sub(CSRank(Delta(mark_index_basis_bps,36)),CSRank(Decay(global_long_short_account_ratio_mean,6))),Sign(Decay(global_long_short_account_ratio_mean,6))))"
a7ls29_31664ce5263a6853,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,125.8071057356068,0.8936723300012266,0.118700778065608,1.1137423076676676,basis_premium_like|positioning_like|spread_rank|17f98957d3b6,"Clip(Sub(CSRank(Delta(mark_index_basis_bps,96)),CSRank(top_long_short_account_ratio_mean)),-3,3)"
a7ls29_5ab7a2d998cfcfd2,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,125.8071057356068,0.8936723300012266,0.118700778065608,1.1137423076676676,basis_premium_like|positioning_like|spread_rank|47d4aec0d9a7,"CSRank(Sub(CSRank(Delta(mark_index_basis_bps,96)),CSRank(top_long_short_account_ratio_mean)))"
a7ls29_b0ec3fa56c009474,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,125.77619794878126,0.8658285206876087,0.1186420264694688,0.778539664438035,basis_premium_like|positioning_like|spread_rank|a4c293e0c818,"Neg(Sub(CSRank(Delta(mark_index_basis_bps,96)),CSRank(Decay(top_long_short_account_ratio_last,6))))"
a7ls29_c8d75d423808a213,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,124.49973928239558,0.5943218891334691,0.117094061171529,1.0624825496945376,basis_premium_like|positioning_like|spread_rank|1d2176b8455d,"Neg(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(global_long_short_account_ratio_mean)))"
a7ls29_13858d28b97b062d,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,124.45211690350725,0.6929025581687425,0.1171450194616759,0.9227407705309588,basis_premium_like|positioning_like|spread_rank|97621f21b878,"Clip(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,12)))),-3,3)"
a7ls29_b4b94af8b76ccd15,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,124.12115407948956,0.6819558959998429,0.1168031099754894,0.9210525643464942,basis_premium_like|positioning_like|spread_rank|6ae61991d3dc,"ZScore(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,12)))))"
a7ls29_ceb0bc2e8ffabb06,basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,1,123.24033391063271,0.8078942284076981,0.1160482281390404,1.5354490681821706,basis_premium_like|positioning_like|safe_div_abs|b7d16ef32f39,"Clip(SafeDiv(SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,3),Abs(CSRank(top_global_account_divergence))),Abs(ZScore(SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,3),Abs(CSRank(top_global_account_divergence)))))),-3,3)"
