second_pass_family,left_field,left_family,right_field,right_family,left_transform,right_transform,operator,blueprint_id
H3_cross_family_bridge,trade_quote_volume,liquidity,trade_return_24h,price_return,zscore_168h,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_Mul_trade_return_24h_delta_24h
H3_cross_family_bridge,trade_quote_volume,liquidity,premium_close_bps,basis_premium,spread_short_long,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_quote_volume_spread_short_long_Mul_premium_close_bps_delta_24h
H3_cross_family_bridge,trade_quote_volume,liquidity,mark_trade_basis_bps,basis_premium,zscore_168h,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_Mul_mark_trade_basis_bps_delta_24h
H3_cross_family_bridge,trade_quote_volume,liquidity,basis_abs_168h,basis_premium,spread_short_long,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_quote_volume_spread_short_long_Mul_basis_abs_168h_delta_24h
H3_cross_family_bridge,trade_quote_volume,liquidity,open_interest_last,open_interest,zscore_168h,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_Mul_open_interest_last_delta_24h
H3_cross_family_bridge,trade_quote_volume,liquidity,open_interest_value_last,open_interest,spread_short_long,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_quote_volume_spread_short_long_Mul_open_interest_value_last_delta_24h
H3_cross_family_bridge,trade_count,liquidity,trade_return_1h,price_return,zscore_168h,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_count_zscore_168h_Mul_trade_return_1h_delta_24h
H3_cross_family_bridge,trade_count,liquidity,trade_return_24h,price_return,spread_short_long,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_count_spread_short_long_Mul_trade_return_24h_delta_24h
H3_cross_family_bridge,trade_count,liquidity,mark_index_basis_bps,basis_premium,zscore_168h,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_count_zscore_168h_Mul_mark_index_basis_bps_delta_24h
H3_cross_family_bridge,trade_count,liquidity,mark_trade_basis_bps,basis_premium,spread_short_long,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_count_spread_short_long_Mul_mark_trade_basis_bps_delta_24h
H3_cross_family_bridge,trade_count,liquidity,premium_abs_168h,basis_premium,zscore_168h,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_count_zscore_168h_Mul_premium_abs_168h_delta_24h
H3_cross_family_bridge,trade_count,liquidity,open_interest_last,open_interest,spread_short_long,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_count_spread_short_long_Mul_open_interest_last_delta_24h
H3_cross_family_bridge,trade_count,liquidity,open_interest_change_24h,open_interest,zscore_168h,delta_24h,Mul,core16he_H3_cross_family_bridge_trade_count_zscore_168h_Mul_open_interest_change_24h_delta_24h
H3_cross_family_bridge,liquidity_rank_active_universe,liquidity,trade_return_1h,price_return,spread_short_long,delta_24h,Mul,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_trade_return_1h_delta_24h
H3_cross_family_bridge,liquidity_rank_active_universe,liquidity,premium_close_bps,basis_premium,zscore_168h,delta_24h,Mul,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_zscore_168h_Mul_premium_close_bps_delta_24h
