symbol,search_eligibility,history_tier,liquidity_rank,liquidity_tier,median_hourly_quote_volume,is_core12,is_major,contract_format,meme_contract_group,is_meme_token,is_multiplier_contract,contract_unit_multiplier,btc_beta_train,btc_corr_train,btc_beta_obs_train,eth_beta_train,eth_corr_train,eth_beta_obs_train,major_beta_proxy_abs_corr,requires_beta_residual_audit
BTCUSDT,strict_full_history,full_2024_2026apr,1,top20,462167007.9013,True,True,plain_contract,non_meme_plain_contract,False,False,1,1.0,1.0,8783,0.6630606802552792,0.8094991190431223,8783,1.0,True
ETHUSDT,strict_full_history,full_2024_2026apr,2,top20,327473852.24046004,True,True,plain_contract,non_meme_plain_contract,False,False,1,0.9882788155667808,0.8094991190431223,8783,1.0000000000000004,1.0,8783,1.0,True
SOLUSDT,strict_full_history,full_2024_2026apr,3,top20,102498740.9185,True,True,plain_contract,non_meme_plain_contract,False,False,1,1.2984534400150805,0.7426697449519728,8783,1.0541227894970284,0.7360776968561933,8783,0.7426697449519728,True
XRPUSDT,strict_full_history,full_2024_2026apr,4,top20,35522012.627215,True,True,plain_contract,non_meme_plain_contract,False,False,1,0.9180652117656433,0.534447469536539,8783,0.7876766386028754,0.5598124655752295,8783,0.5598124655752295,True
DOGEUSDT,strict_full_history,full_2024_2026apr,5,top20,30965032.687955,True,False,plain_contract,meme_plain_contract,True,False,1,1.446453885194376,0.6886840590003934,8783,1.179754991716344,0.6857571861224254,8783,0.6886840590003934,True
1000PEPEUSDT,strict_full_history,full_2024_2026apr,6,top20,26037550.50918,False,False,multiplier_contract,meme_multiplier_contract,True,True,1000,1.846266974071626,0.6041058710933122,8783,1.6248557211887333,0.6490773657148288,8783,0.6490773657148288,True
SUIUSDT,strict_full_history,full_2024_2026apr,7,top20,16604798.86859,True,False,plain_contract,non_meme_plain_contract,False,False,1,1.2869857881398357,0.5442298489803399,8783,1.1227846299921707,0.5796531107475079,8783,0.5796531107475079,True
BNBUSDT,strict_full_history,full_2024_2026apr,8,top20,15758919.18225,True,True,plain_contract,non_meme_plain_contract,False,False,1,0.8243446991927756,0.6951221363132063,8783,0.7099250777770227,0.7308493963804625,8783,0.7308493963804625,True
HYPEUSDT,listing_aware,recent_only,9,top20,12502070.63059,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
WIFUSDT,strict_full_history,full_2024_2026apr,10,top20,12086847.617509998,False,False,plain_contract,meme_plain_contract,True,False,1,2.1024623510153932,0.5578775806811209,8361,1.6921510712847396,0.5536831428945631,8361,0.5578775806811209,True
ADAUSDT,strict_full_history,full_2024_2026apr,11,top20,10795698.578249998,True,False,plain_contract,non_meme_plain_contract,False,False,1,1.2084764338800502,0.6798346925532528,8783,1.0394839902102704,0.7139142453768385,8783,0.7139142453768385,True
FARTCOINUSDT,listing_aware,listed_by_2025H1,12,top20,9796013.97231,False,False,plain_contract,meme_plain_contract,True,False,1,3.1970029793525088,0.42234217550533426,269,2.812562419613598,0.48349084919969415,269,0.48349084919969415,True
AVAXUSDT,strict_full_history,full_2024_2026apr,13,top20,9520662.47,True,False,plain_contract,non_meme_plain_contract,False,False,1,1.329137227572381,0.6992579652939358,8783,1.1432986170569013,0.7343284995691103,8783,0.7343284995691103,True
ENAUSDT,listing_aware,listed_by_2025H1,14,top20,9480076.84515,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.5630993133781657,0.5138639818607782,6563,1.4112095760005339,0.5816046161567457,6563,0.5816046161567457,True
LINKUSDT,strict_full_history,full_2024_2026apr,15,top20,9015910.776645,True,False,plain_contract,non_meme_plain_contract,False,False,1,1.1712779461604532,0.6637229444754539,8783,1.080616902564519,0.7475869764315088,8783,0.7475869764315088,True
WLDUSDT,strict_full_history,full_2024_2026apr,16,top20,7002302.05815,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.477507098573725,0.546020318323625,8783,1.3337309009079157,0.6017423069585247,8783,0.6017423069585247,True
TRUMPUSDT,listing_aware,recent_only,17,top20,6821205.94739,False,False,plain_contract,meme_plain_contract,True,False,1,,,0,,,0,0.0,True
PUMPUSDT,hold_quality_or_short_history,recent_only,18,top20,6670073.673663,False,False,plain_contract,meme_plain_contract,True,False,1,,,0,,,0,0.0,True
ASTERUSDT,listing_aware,short_history,19,top20,6561659.7926,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
LTCUSDT,strict_full_history,full_2024_2026apr,20,top20,6423928.5956,True,False,plain_contract,non_meme_plain_contract,False,False,1,0.9458866943309655,0.6156052873347201,8783,0.8270342314341951,0.6571277630912179,8783,0.6571277630912179,True
RIVERUSDT,listing_aware,short_history,21,top50,6378103.8463,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
BCHUSDT,strict_full_history,full_2024_2026apr,22,top50,5190550.75025,True,False,plain_contract,non_meme_plain_contract,False,False,1,1.1432147441381166,0.6441130504390558,8783,0.9304640481099464,0.6400250679888325,8783,0.6441130504390558,True
NEARUSDT,strict_full_history,full_2024_2026apr,23,top50,5182960.1495,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.3944105455735094,0.6268614711322501,8783,1.219080346760272,0.6690773906151368,8783,0.6690773906151368,True
FILUSDT,strict_full_history,full_2024_2026apr,24,top50,5084373.908,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.2632477892433664,0.6535760310549398,8783,1.1261698815991996,0.7113356647546353,8783,0.7113356647546353,True
DOTUSDT,strict_full_history,full_2024_2026apr,25,top50,4785066.6719,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.152485960407716,0.6611569100294415,8783,1.0230810312924754,0.7165426341969339,8783,0.7165426341969339,True
AAVEUSDT,strict_full_history,full_2024_2026apr,26,top50,4714573.4885,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.1769979050736443,0.6036386514727995,8783,1.145321991660526,0.7171203648220879,8783,0.7171203648220879,True
1000SHIBUSDT,strict_full_history,full_2024_2026apr,27,top50,4612492.547191,False,False,multiplier_contract,meme_multiplier_contract,True,True,1000,1.4268727161815098,0.6347111757083561,8783,1.1899540216950475,0.646225659255626,8783,0.646225659255626,True
TIAUSDT,strict_full_history,full_2024_2026apr,28,top50,4345167.1862,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.3217885069438329,0.5410465596352796,8783,1.1933955879881468,0.5963760607366008,8783,0.5963760607366008,True
1000BONKUSDT,strict_full_history,full_2024_2026apr,29,top50,4284986.754673,False,False,multiplier_contract,meme_multiplier_contract,True,True,1000,1.8100187756693602,0.5918668639884356,8783,1.5001474029350175,0.5988774859003473,8783,0.5988774859003473,True
ORDIUSDT,strict_full_history,full_2024_2026apr,30,top50,4160073.5047,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.5843678750396306,0.654081954373277,8783,1.3264069632724191,0.6685225147984346,8783,0.6685225147984346,True
TAOUSDT,listing_aware,listed_by_2025H1,31,top50,4118175.78494,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.5059234398200378,0.6072622146660244,6345,1.278158597035946,0.6459478779460276,6345,0.6459478779460276,True
ARBUSDT,strict_full_history,full_2024_2026apr,32,top50,4106192.473755,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.2671113955791014,0.6542812428574724,8783,1.2825172878355127,0.808492521073969,8783,0.808492521073969,True
PENGUUSDT,listing_aware,listed_by_2025H1,33,top50,4005402.9006325,False,False,plain_contract,meme_plain_contract,True,False,1,1.7274121031050451,0.3824525009223276,343,1.4190513468193038,0.4463228601120114,343,0.4463228601120114,True
OPUSDT,strict_full_history,full_2024_2026apr,34,top50,3798113.489015,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.2643205827449766,0.6063498348076867,8783,1.3026720101824583,0.7627184338489594,8783,0.7627184338489594,True
UNIUSDT,strict_full_history,full_2024_2026apr,35,top50,3736057.066,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.1947657489549015,0.5352012727997303,8783,1.1610254588123907,0.634949553674605,8783,0.634949553674605,True
ONDOUSDT,strict_full_history,full_2024_2026apr,36,top50,3654209.87191,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.562198800708575,0.5446280060692957,8314,1.3443912678795518,0.5787295571735092,8314,0.5787295571735092,True
APTUSDT,strict_full_history,full_2024_2026apr,37,top50,3646803.23972,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.1527547089432024,0.5588989108702871,8783,1.0631883673318634,0.6293173136857829,8783,0.6293173136857829,True
CRVUSDT,strict_full_history,full_2024_2026apr,38,top50,3461137.20845,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.1832907494547291,0.5057704315628682,8783,1.123803303990005,0.5864289162124301,8783,0.5864289162124301,True
FETUSDT,strict_full_history,full_2024_2026apr,39,top50,3294161.37295,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.4542326863354462,0.5753290781396747,8783,1.2681191632223525,0.6124992958039949,8783,0.6124992958039949,True
XPLUSDT,listing_aware,short_history,40,top50,3182437.6086,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
VIRTUALUSDT,listing_aware,listed_by_2025H1,41,top50,3058668.985775,False,False,plain_contract,non_meme_plain_contract,False,False,1,2.043402618171189,0.5484493164449196,515,1.5125459161687926,0.5662161832413757,515,0.5662161832413757,True
WLFIUSDT,listing_aware,short_history,42,top50,3023305.66435,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
INJUSDT,strict_full_history,full_2024_2026apr,43,top50,3000052.60545,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.43154855014663,0.633099174641198,8783,1.243691843947595,0.6714931052050481,8783,0.6714931052050481,True
ETCUSDT,strict_full_history,full_2024_2026apr,44,top50,2931621.310985,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.127074566284291,0.6778525849475949,8783,1.0803607462005134,0.7932580878786749,8783,0.7932580878786749,True
TRXUSDT,strict_full_history,full_2024_2026apr,45,top50,2877017.515065,False,False,plain_contract,non_meme_plain_contract,False,False,1,0.3800229174740711,0.35353447720370673,8783,0.3325376534486998,0.37768167973813804,8783,0.37768167973813804,True
