blueprint_id,label_rows,clue_rows,l5_clue_rows,l7_clue_rows,non_l5_non_l7_clue_rows,non_l5_non_l7_label_families,non_l5_non_l7_horizons,worst_control_ratio,best_control_ratio,best_cost10
a7ls15_04d0fe57519a6e45,20,2,1,0,1,1,1,119.08222811671304,0.6466220440763166,0.0642100933627317
a7ls15_42dc6539d51aca8b,20,1,1,0,0,0,0,10.037759563085377,0.1079680341531996,0.4875059907860676
a7ls15_6b338a109f660b8c,20,2,2,0,0,0,0,70.70298842213731,0.6678077210487531,0.3561387925878742
a7ls15_7355ef8aa37d5217,20,1,1,0,0,0,0,3.6797715853575386,0.0751875782148505,0.3573140029547492
a7ls15_78478a819e0cd255,20,4,1,2,1,1,1,6.129280161150917,0.5497113370309218,0.1074825646379599
a7ls15_83b2ec53c58ee01a,20,1,1,0,0,0,0,8.365585751839042,0.1717256967292881,0.141773970634782
a7ls15_982c459fa90224ed,20,5,1,1,3,3,1,45.5171025341748,0.2084420360368272,0.4626159168701736
