factor_blueprint_id,layer,primary_field,secondary_field,factor_family,marginal_proxy_no_may,cluster_novelty_proxy,requires_numeric_replay,selected_for_future_numeric_probe
a7ff5_0459bb72908046d2,F2_typed_two_field_interaction,mark_index_basis_bps,global_long_short_account_ratio_last,basis_premium_like|positioning_like,3.0,1.0,True,True
a7ff5_45b37ccd842aa212,F2_typed_two_field_interaction,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like|basis_premium_like,3.0,1.0,True,True
a7ff5_ca01cf453210eced,F2_typed_two_field_interaction,mark_index_basis_bps,realized_vol_168h,basis_premium_like|volatility_like,3.0,1.0,True,True
a7ff5_449ce14bfd93ebc1,F1_single_field_transform,mark_index_basis_bps,,basis_premium_like,2.25,0.25,True,True
