skeleton_key,count,share
skel_3afee12eb6a9078f,8,0.06504065040650407
skel_8727d93aac220fc6,8,0.06504065040650407
skel_bcb165b7818f5d85,8,0.06504065040650407
skel_d2c2cd29eb5fbfcd,7,0.056910569105691054
skel_2674b9b28339672e,7,0.056910569105691054
skel_437d739eeb4ca960,6,0.04878048780487805
skel_b1251d7d11b756bc,6,0.04878048780487805
skel_effc632350c0cac6,6,0.04878048780487805
skel_156d0fafafecde17,5,0.04065040650406504
skel_069f2015163fa7ef,5,0.04065040650406504
skel_977fab637a7d4823,4,0.032520325203252036
skel_eaa129218e1e1a2f,4,0.032520325203252036
skel_9022329aa351176d,3,0.024390243902439025
skel_43237bd24e4079e9,2,0.016260162601626018
skel_1d39996e97d5ace0,2,0.016260162601626018
skel_4b7f5aabd80a7296,2,0.016260162601626018
skel_f4061a64df347a31,2,0.016260162601626018
skel_c614d64ff6a8da31,2,0.016260162601626018
skel_9da5f904b499ace3,2,0.016260162601626018
skel_f89a6e67ef647a58,2,0.016260162601626018
skel_de24d62b59cd8e14,2,0.016260162601626018
skel_8a80c8785bbf365b,2,0.016260162601626018
skel_293cae94cfd91548,1,0.008130081300813009
skel_2e8b8619337ca522,1,0.008130081300813009
skel_22748723bb8d2dfb,1,0.008130081300813009
skel_2462e8a79b04eae3,1,0.008130081300813009
skel_0994b3a36a4d53ba,1,0.008130081300813009
skel_0502920317c04faa,1,0.008130081300813009
skel_3363cfb4025bd87d,1,0.008130081300813009
skel_3a90084955c27d13,1,0.008130081300813009
skel_1a1b3fb29dff7328,1,0.008130081300813009
skel_1926552988410ac0,1,0.008130081300813009
skel_5aa3c6bd7cbc604b,1,0.008130081300813009
skel_4c01c5f178414693,1,0.008130081300813009
skel_9429765ca9b3805e,1,0.008130081300813009
skel_9505754fb4b5368b,1,0.008130081300813009
skel_834ae9e41baf8417,1,0.008130081300813009
skel_68afc754cbb8a9d9,1,0.008130081300813009
skel_6ddb02cd3af23fe2,1,0.008130081300813009
skel_77f16279f08ff4ad,1,0.008130081300813009
skel_7ced7a1852c7e2ed,1,0.008130081300813009
skel_7dd09b9431bdefe2,1,0.008130081300813009
skel_50fabfec06d9bf09,1,0.008130081300813009
skel_c017fb36d8da95ae,1,0.008130081300813009
skel_af8c1327eb17d836,1,0.008130081300813009
skel_a923757a8885923c,1,0.008130081300813009
skel_bd3c50a4e2306348,1,0.008130081300813009
skel_ea3ce7738ec5fb30,1,0.008130081300813009
skel_f5b37d2264eba0bd,1,0.008130081300813009
skel_f5c01f6f6c088fd7,1,0.008130081300813009
