blueprint_id,expression,semantic_pair,skeleton_key,label_family,arbitration_score,decision,reason
a7ls15_ba709eb90404e6b6,"Mul(Sub(CSRank(Decay(premium_abs_state,12)),CSRank(CSRank(mark_index_basis_bps))),Sign(CSRank(mark_index_basis_bps)))",basis_premium_like,skel_50fabfec06d9bf09,L5_vol_adjusted_return,227.2951525322979,CAP_REJECT,basis_premium_cap
a7ls15_6d110b504b8507d5,"Mul(Delta(trade_return_1h,1),Sign(CSRank(premium_close_bps)))",price_like|basis_premium_like,skel_069f2015163fa7ef,L5_vol_adjusted_return,225.99133327706494,CAP_REJECT,basis_premium_cap
a7ls15_70f7497266ddfddb,"Sub(Abs(ZScore(Mean(funding_rate_delta_state_24h,2))),Delta(mark_index_basis_bps,504))",funding_state_like|basis_premium_like,skel_977fab637a7d4823,L5_vol_adjusted_return,223.92934976816363,CAP_REJECT,basis_premium_cap
a7ls15_60b629ca91a80838,"Mul(Sub(CSRank(Abs(ZScore(Mean(trade_return_1h,36)))),CSRank(TSRank(mark_index_basis_bps,48))),Sign(TSRank(mark_index_basis_bps,48)))",price_like|basis_premium_like,skel_77f16279f08ff4ad,L5_vol_adjusted_return,223.41548326211654,CAP_REJECT,basis_premium_cap
a7ls15_c7b9874622a40e39,"Sub(CSRank(Delta(mark_index_basis_bps,6)),CSRank(Abs(ZScore(Mean(account_position_divergence,24)))))",basis_premium_like|positioning_like,skel_f5b37d2264eba0bd,L5_vol_adjusted_return,223.34697540454707,CAP_REJECT,basis_premium_cap
a7ls15_fda70f63f5edfaf6,"Mean(Mul(TSRank(mark_index_basis_bps,48),ZScore(Mean(sqrt_listing_age_days,336))),4)",basis_premium_like|listing_age_like,skel_bb02868db9f6b779,L5_vol_adjusted_return,219.39627993661696,CAP_REJECT,basis_premium_cap
a7ls15_9011408a51a2cf71,"Mul(Sub(CSRank(TSRank(premium_close_bps,72)),CSRank(ZScore(Mean(sqrt_listing_age_days,336)))),Sign(ZScore(Mean(sqrt_listing_age_days,336))))",basis_premium_like|listing_age_like,skel_7ced7a1852c7e2ed,L5_vol_adjusted_return,219.08328075335297,CAP_REJECT,basis_premium_cap
a7ls15_f5e77b65a419cea1,"Mean(Mul(Decay(sqrt_listing_age_days,8),Delta(mark_index_basis_bps,12)),4)",listing_age_like|basis_premium_like,skel_8a80c8785bbf365b,L5_vol_adjusted_return,218.31186893108185,CAP_REJECT,basis_premium_cap
a7ls15_cad8069ee9c12fdb,"Mul(Delta(mark_index_basis_bps,72),Abs(ZScore(Mean(taker_buy_sell_volume_ratio_last,72))))",basis_premium_like|taker_flow_like,skel_156d0fafafecde17,L5_vol_adjusted_return,217.51839590118547,CAP_REJECT,basis_premium_cap
a7ls15_1391fb4c253d639f,"Mean(Mul(Delta(mark_index_basis_bps,12),liquidity_rank_active_universe),4)",basis_premium_like|liquidity_like,skel_8184698cb7b24c02,L5_vol_adjusted_return,216.02830477612443,CAP_REJECT,basis_premium_cap
a7ls15_81cf9e690b7baf7e,"Mean(Mul(Delta(mark_index_basis_bps,12),top_long_short_position_ratio_mean),4)",basis_premium_like|positioning_like,skel_8184698cb7b24c02,L5_vol_adjusted_return,214.72190689000814,CAP_REJECT,basis_premium_cap
a7ls15_63ae68ca926a3949,"Mul(Sub(CSRank(TSRank(premium_close_bps,120)),CSRank(TSRank(sqrt_listing_age_days,24))),Sign(TSRank(sqrt_listing_age_days,24)))",basis_premium_like|listing_age_like,skel_d2c2cd29eb5fbfcd,L5_vol_adjusted_return,214.31918620046162,CAP_REJECT,basis_premium_cap
a7ls15_e1da7b95634c588b,"Mul(TSRank(premium_close_bps,120),Sign(Mean(CSRank(log1p_listing_age_days),24)))",basis_premium_like|listing_age_like,skel_2fbcae8e77605694,L5_vol_adjusted_return,214.31918620046162,CAP_REJECT,basis_premium_cap
a7ls15_fe25a57b56026598,"Mul(Delta(Mean(mark_index_basis_bps,12),4),ZScore(Mean(trade_close,8)))",basis_premium_like|price_like,skel_effc632350c0cac6,L5_vol_adjusted_return,214.14630928554544,CAP_REJECT,basis_premium_cap
a7ls15_05e28de365df0d2f,"Mul(ZScore(Mean(open_interest_change_24h,120)),ZScore(Mean(funding_rate_update_age_hours,8)))",open_interest_like|funding_state_like,skel_bcb165b7818f5d85,L3_liquidity_tier_relative_return,214.03974217470298,CAP_REJECT,skeleton_cap
a7ls15_19e913f657c7019c,"Mean(Mul(TSRank(mark_index_basis_bps,72),TSRank(sqrt_listing_age_days,168)),4)",basis_premium_like|listing_age_like,skel_8a80c8785bbf365b,L5_vol_adjusted_return,213.50444618665722,CAP_REJECT,basis_premium_cap
a7ls15_48b05348b23e445b,"SafeDiv(Abs(ZScore(Mean(top_long_short_position_ratio_mean,336))),Abs(TSRank(mark_index_basis_bps,504)))",positioning_like|basis_premium_like,skel_2674b9b28339672e,L5_vol_adjusted_return,213.49860938265365,CAP_REJECT,basis_premium_cap
a7ls15_43e3cb27c3e1eb33,"Mul(Sub(CSRank(Delta(premium_close_bps,24)),CSRank(ZScore(Mean(sqrt_listing_age_days,4)))),Sign(ZScore(Mean(sqrt_listing_age_days,4))))",basis_premium_like|listing_age_like,skel_7ced7a1852c7e2ed,L5_vol_adjusted_return,213.3321096448793,CAP_REJECT,basis_premium_cap
a7ls15_1db95606c9ed4c53,"Mean(Mul(Delta(mark_index_basis_bps,12),ZScore(Mean(sqrt_listing_age_days,24))),4)",basis_premium_like|listing_age_like,skel_bb02868db9f6b779,L5_vol_adjusted_return,212.91884546913462,CAP_REJECT,basis_premium_cap
a7ls15_5017f83a9fd900c6,"Sub(CSRank(Abs(ZScore(Mean(funding_rate_delta_state_24h,12)))),CSRank(Delta(mark_index_basis_bps,24)))",funding_state_like|basis_premium_like,skel_857699c27821c9ad,L5_vol_adjusted_return,210.8197910156453,CAP_REJECT,basis_premium_cap
a7ls15_5f3e86765a7db4da,"Mul(Delta(mark_index_basis_bps,168),TSRank(realized_vol_168h,96))",basis_premium_like|volatility_like,skel_8727d93aac220fc6,L5_vol_adjusted_return,209.77168257438026,CAP_REJECT,basis_premium_cap
a7ls15_e2db9657490dcdc0,"SafeDiv(Abs(ZScore(Mean(premium_abs_168h,3))),Abs(TSRank(mark_index_basis_bps,72)))",basis_premium_like,skel_2674b9b28339672e,L5_vol_adjusted_return,208.58111222866867,CAP_REJECT,basis_premium_cap
a7ls15_c22e819b5885fcf9,"Sub(TSRank(mark_index_basis_bps,240),Abs(ZScore(Mean(mark_trade_basis_bps,12))))",basis_premium_like,skel_156d0fafafecde17,L5_vol_adjusted_return,208.42975771897028,CAP_REJECT,basis_premium_cap
a7ls15_e5ba812415b7ab24,"Mean(Mul(Abs(ZScore(Mean(mark_close,36))),TSRank(mark_index_basis_bps,48)),4)",price_like|basis_premium_like,skel_9da5f904b499ace3,L5_vol_adjusted_return,208.3790067319111,CAP_REJECT,basis_premium_cap
a7ls15_44cc4f4c65afc0d8,"Mul(Decay(mark_index_basis_bps,6),Abs(ZScore(Mean(global_long_short_account_ratio_last,6))))",basis_premium_like|positioning_like,skel_156d0fafafecde17,L5_vol_adjusted_return,207.58781070722256,CAP_REJECT,basis_premium_cap
a7ls15_24167e151f73403d,"Sub(TSRank(mark_index_basis_bps,240),Abs(ZScore(Mean(global_long_short_account_ratio_mean,12))))",basis_premium_like|positioning_like,skel_156d0fafafecde17,L5_vol_adjusted_return,207.14173116497182,CAP_REJECT,basis_premium_cap
a7ls15_c02089637901c09f,"Mean(Mul(Delta(mark_trade_basis_bps,96),TSRank(premium_abs_168h,6)),4)",basis_premium_like,skel_8a80c8785bbf365b,L5_vol_adjusted_return,206.3138760023027,CAP_REJECT,basis_premium_cap
a7ls15_bcdce77eee4c3974,"Mul(Sub(CSRank(TSRank(mark_index_basis_bps,36)),CSRank(Abs(ZScore(Mean(realized_vol_24h,36))))),Sign(Abs(ZScore(Mean(realized_vol_24h,36)))))",basis_premium_like|volatility_like,skel_2e8b8619337ca522,L5_vol_adjusted_return,205.84280905586377,CAP_REJECT,basis_premium_cap
a7ls15_dbbc346a0b42c9fc,"Mul(TSRank(premium_close_bps,48),Sign(Mean(CSRank(log1p_listing_age_days),24)))",basis_premium_like|listing_age_like,skel_2fbcae8e77605694,L5_vol_adjusted_return,203.80299197756736,CAP_REJECT,basis_premium_cap
a7ls15_4da1952e04ae348e,"SafeDiv(mark_index_basis_bps,Abs(mark_trade_basis_bps))",basis_premium_like,skel_d9d4f69744bac825,L5_vol_adjusted_return,201.98964599963477,CAP_REJECT,basis_premium_cap
a7ls15_89af0055286edb3e,"Mean(Mul(Decay(basis_abs_168h,36),Delta(mark_index_basis_bps,2)),4)",basis_premium_like,skel_8a80c8785bbf365b,L5_vol_adjusted_return,201.50242834409758,CAP_REJECT,basis_premium_cap
a7ls15_9145ad2ac8d14e76,"Mul(Delta(premium_close_bps,12),top_long_short_position_ratio_last)",basis_premium_like|positioning_like,skel_0994b3a36a4d53ba,L5_vol_adjusted_return,201.40142334740642,CAP_REJECT,basis_premium_cap
a7ls15_54e77ea919e61498,"Mul(Sub(CSRank(TSRank(premium_close_bps,504)),CSRank(Abs(ZScore(Mean(trade_close,720))))),Sign(Abs(ZScore(Mean(trade_close,720)))))",basis_premium_like|price_like,skel_2e8b8619337ca522,L5_vol_adjusted_return,200.7567585753765,CAP_REJECT,basis_premium_cap
a7ls15_712c718572c53d62,"Sub(CSRank(ZScore(Mean(mark_index_basis_bps,2))),CSRank(Delta(global_long_short_account_ratio_last,504)))",basis_premium_like|positioning_like,skel_2674b9b28339672e,L5_vol_adjusted_return,200.15401720649837,CAP_REJECT,basis_premium_cap
a7ls15_df88029d36fa6cc0,"Mean(Mul(Delta(mark_index_basis_bps,12),realized_vol_24h),4)",basis_premium_like|volatility_like,skel_8184698cb7b24c02,L5_vol_adjusted_return,199.84929365545952,CAP_REJECT,basis_premium_cap
a7ls15_635f281ec6b4a75d,"Mul(Delta(premium_close_bps,12),realized_vol_24h)",basis_premium_like|volatility_like,skel_0994b3a36a4d53ba,L5_vol_adjusted_return,199.1948611407237,CAP_REJECT,basis_premium_cap
a7ls15_7f0a4c45d2ff6dc4,"Sub(CSRank(Delta(mark_index_basis_bps,24)),CSRank(Mean(open_interest_mean,4)))",basis_premium_like|open_interest_like,skel_bcb165b7818f5d85,L5_vol_adjusted_return,199.08327495500498,CAP_REJECT,skeleton_cap;basis_premium_cap
a7ls15_31e790e03dfc7d0b,"Mul(Delta(premium_close_bps,12),Sign(Mean(trade_volume,336)))",basis_premium_like|liquidity_like,skel_3afee12eb6a9078f,L5_vol_adjusted_return,198.94332512758734,CAP_REJECT,skeleton_cap;basis_premium_cap
a7ls15_810378cdab2016f5,"SafeDiv(mark_index_basis_bps,Abs(quote_volume_z_168h))",basis_premium_like|liquidity_like,skel_d9d4f69744bac825,L5_vol_adjusted_return,198.93978402412733,CAP_REJECT,basis_premium_cap
a7ls15_d1ef0d39e4db09ab,"Mul(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(ZScore(Mean(open_interest_value_mean,3)))),Sign(ZScore(Mean(open_interest_value_mean,3))))",basis_premium_like|open_interest_like,skel_7ced7a1852c7e2ed,L5_vol_adjusted_return,198.48074312274608,CAP_REJECT,basis_premium_cap
a7ls15_e0076469bde703d3,"Mul(Delta(trade_return_1h,1),Sign(Decay(premium_abs_state,12)))",price_like|basis_premium_like,skel_3afee12eb6a9078f,L5_vol_adjusted_return,198.09766367808697,CAP_REJECT,skeleton_cap;basis_premium_cap
a7ls15_bf5dc43af989e0d0,"Mean(Mul(TSRank(mark_index_basis_bps,12),Decay(log_quote_volume_168h,3)),4)",basis_premium_like|liquidity_like,skel_8a80c8785bbf365b,L5_vol_adjusted_return,197.95020010250232,CAP_REJECT,basis_premium_cap
a7ls15_3a499e9f163a0fad,"Sub(CSRank(Delta(mark_index_basis_bps,36)),CSRank(Abs(ZScore(Mean(mark_trade_basis_bps,504)))))",basis_premium_like,skel_f5b37d2264eba0bd,L5_vol_adjusted_return,197.75623789932658,CAP_REJECT,basis_premium_cap
a7ls15_2930f29af30b9043,"Sub(Mul(Delta(realized_vol_72h,168),ZScore(Mean(liquidity_rank_active_universe,168))),CSRank(premium_close_bps))",volatility_like|liquidity_rank_active_universe|basis_premium_like,skel_f4a4768f52f6024b,L5_vol_adjusted_return,197.18906348395024,CAP_REJECT,basis_premium_cap
a7ls15_386e0271d9f24206,"Sub(CSRank(TSRank(premium_close_bps,24)),CSRank(Abs(ZScore(Mean(open_interest_value_mean,4)))))",basis_premium_like|open_interest_like,skel_f5b37d2264eba0bd,L5_vol_adjusted_return,197.09441343460756,CAP_REJECT,basis_premium_cap
a7ls15_181c4ede9c8134a6,"Mul(TSRank(mark_index_basis_bps,48),Abs(ZScore(Mean(realized_vol_24h,240))))",basis_premium_like|volatility_like,skel_156d0fafafecde17,L5_vol_adjusted_return,197.07481678768264,CAP_REJECT,basis_premium_cap
a7ls15_cb5aef6d2a162f05,"Sub(CSRank(Decay(global_long_short_account_ratio_last,240)),CSRank(Delta(mark_index_basis_bps,96)))",positioning_like|basis_premium_like,skel_bcb165b7818f5d85,L5_vol_adjusted_return,194.97603147378152,CAP_REJECT,skeleton_cap;basis_premium_cap
a7ls15_6807189355e0cfca,"Mul(TSRank(basis_abs_168h,12),Clip(ZScore(trade_return_1h),-3,3))",basis_premium_like|price_like,skel_fb9325ceddb1ac6f,L5_vol_adjusted_return,193.33074299571453,CAP_REJECT,basis_premium_cap
a7ls15_020e06a69de43cc9,"Sub(CSRank(ZScore(Mean(basis_abs_168h,8))),CSRank(Delta(mark_trade_basis_bps,36)))",basis_premium_like,skel_2674b9b28339672e,L5_vol_adjusted_return,193.1998749267638,CAP_REJECT,basis_premium_cap
a7ls15_3789613f52e27419,"Sub(CSRank(Clip(ZScore(mark_index_basis_bps),-3,3)),CSRank(TSRank(account_position_divergence,48)))",basis_premium_like|positioning_like,skel_84e879d607e2750d,L5_vol_adjusted_return,192.1806845483494,CAP_REJECT,basis_premium_cap
a7ls15_bd2f082acbd11312,"Sub(CSRank(TSRank(premium_abs_state,96)),CSRank(ZScore(Mean(liquidity_rank_active_universe,3))))",basis_premium_like|liquidity_like,skel_af8c1327eb17d836,L5_vol_adjusted_return,191.08994592990388,CAP_REJECT,basis_premium_cap
a7ls15_59831829edfd9603,"Mul(Delta(TSRank(mark_trade_basis_bps,16),4),ZScore(Decay(age_x_liquidity,72)))",basis_premium_like|listing_age_like,skel_effc632350c0cac6,L5_vol_adjusted_return,189.78626875747906,CAP_REJECT,basis_premium_cap
a7ls15_e0e4e08f8cd38462,"SafeDiv(Mean(funding_rate_update_age_hours,96),Abs(TSRank(premium_close_bps,720)))",funding_state_like|basis_premium_like,skel_3afee12eb6a9078f,L5_vol_adjusted_return,188.8841043409256,CAP_REJECT,skeleton_cap;basis_premium_cap
a7ls15_66e737b19e30f80c,"Sub(CSRank(TSRank(premium_close_bps,48)),CSRank(Abs(ZScore(Mean(top_long_short_account_ratio_last,240)))))",basis_premium_like|positioning_like,skel_f5b37d2264eba0bd,L5_vol_adjusted_return,188.1312344473026,CAP_REJECT,basis_premium_cap
a7ls15_b9ade4b9d5b37a0c,"Mul(Abs(ZScore(Mean(premium_abs_168h,2))),TSRank(mark_trade_basis_bps,8))",basis_premium_like,skel_977fab637a7d4823,L5_vol_adjusted_return,187.75416666643957,CAP_REJECT,basis_premium_cap
a7ls15_af78356d404caade,"Mul(Delta(mark_index_basis_bps,72),Abs(ZScore(Mean(realized_vol_24h,72))))",basis_premium_like|volatility_like,skel_156d0fafafecde17,L5_vol_adjusted_return,187.60613165564746,CAP_REJECT,basis_premium_cap
a7ls15_3cfcaa72f7543bef,"SafeDiv(Delta(premium_close_bps,6),Abs(Abs(ZScore(Mean(realized_vol_24h,24)))))",basis_premium_like|volatility_like,skel_437d739eeb4ca960,L5_vol_adjusted_return,187.52738235006348,CAP_REJECT,basis_premium_cap
a7ls15_45cf3055b30a6841,"Mul(Decay(global_long_short_account_ratio_mean,240),Sign(Delta(mark_index_basis_bps,96)))",positioning_like|basis_premium_like,skel_3afee12eb6a9078f,L5_vol_adjusted_return,187.4569758459546,CAP_REJECT,skeleton_cap;basis_premium_cap
a7ls15_1728b166403a7d7f,"Mean(Mul(Delta(mark_trade_basis_bps,96),TSRank(global_long_short_account_ratio_last,6)),4)",basis_premium_like|positioning_like,skel_8a80c8785bbf365b,L5_vol_adjusted_return,185.7748141531825,CAP_REJECT,basis_premium_cap
a7ls15_09834e834732e84d,"SafeDiv(ZScore(Mean(mark_index_basis_bps,2)),Abs(Decay(index_close,24)))",basis_premium_like|price_like,skel_bcb165b7818f5d85,L5_vol_adjusted_return,185.12427449741085,CAP_REJECT,skeleton_cap;basis_premium_cap
a7ls15_d7b0a0a689e0a9ab,"SafeDiv(ZScore(Mean(mark_index_basis_bps,3)),Abs(Decay(trade_quote_volume,168)))",basis_premium_like|liquidity_like,skel_bcb165b7818f5d85,L5_vol_adjusted_return,184.48897849987995,CAP_REJECT,skeleton_cap;basis_premium_cap
a7ls15_a84e23edfca91d60,"Mul(Delta(Mean(premium_close_bps,24),4),ZScore(age_percentile_active_universe))",basis_premium_like|listing_age_like,skel_7d94a0d0fbd53a81,L5_vol_adjusted_return,183.42711597987793,CAP_REJECT,basis_premium_cap
a7ls15_bec02ac8de4eea1d,"Mul(Sub(CSRank(CSRank(age_x_liquidity)),CSRank(TSRank(premium_abs_state,16))),Sign(TSRank(premium_abs_state,16)))",listing_age_like|basis_premium_like,skel_14ac1a5dd729b2c6,L5_vol_adjusted_return,183.1929105476827,CAP_REJECT,basis_premium_cap
a7ls15_31be38a2d68f8461,"Mul(Delta(premium_close_bps,6),Sign(Mean(Mean(volume_volatility_ratio_168h,6),24)))",basis_premium_like|liquidity_like,skel_c614d64ff6a8da31,L5_vol_adjusted_return,181.52534803959603,CAP_REJECT,basis_premium_cap
a7ls15_b609d0392e599ef3,"Mul(Sub(CSRank(ZScore(Mean(age_x_liquidity,168))),CSRank(TSRank(premium_abs_state,36))),Sign(TSRank(premium_abs_state,36)))",listing_age_like|basis_premium_like,skel_de24d62b59cd8e14,L5_vol_adjusted_return,180.2775460624609,CAP_REJECT,basis_premium_cap
a7ls15_b7147a0816a1b6da,"Mean(Mul(Delta(mark_trade_basis_bps,96),TSRank(trade_close,6)),4)",basis_premium_like|price_like,skel_8a80c8785bbf365b,L5_vol_adjusted_return,180.2676102560082,CAP_REJECT,basis_premium_cap
a7ls15_1b2f226316c3560b,"Mul(TSRank(premium_close_bps,16),Sign(TSRank(global_long_short_account_ratio_last,8)))",basis_premium_like|positioning_like,skel_3afee12eb6a9078f,L5_vol_adjusted_return,179.02307169082894,CAP_REJECT,skeleton_cap;basis_premium_cap
a7ls15_187d5cdb4635eac8,"Mul(Sub(CSRank(ZScore(Mean(funding_rate_update_age_hours,240))),CSRank(TSRank(premium_close_bps,72))),Sign(TSRank(premium_close_bps,72)))",funding_state_like|basis_premium_like,skel_de24d62b59cd8e14,L5_vol_adjusted_return,178.04750923289743,CAP_REJECT,basis_premium_cap
a7ls15_fab764e225634a29,"Mul(Sub(CSRank(TSRank(premium_abs_state,24)),CSRank(CSRank(age_x_liquidity))),Sign(CSRank(age_x_liquidity)))",basis_premium_like|listing_age_like,skel_50fabfec06d9bf09,L5_vol_adjusted_return,177.88764519311417,CAP_REJECT,basis_premium_cap
a7ls15_3915c0e574fa75e0,"Sub(CSRank(Delta(funding_rate_abs_state_168h_z,1)),CSRank(CSRank(premium_close_bps)))",funding_state_like|basis_premium_like,skel_9505754fb4b5368b,L5_vol_adjusted_return,177.2345911386932,CAP_REJECT,basis_premium_cap
