blueprint_id,expression,semantic_pair,motif,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,robust_median_tstat_floor,robust_min_tstat_floor,robust_ok,cost2_recent_oriented,cost5_recent_oriented,cost10_recent_oriented,avg_n_obs_recent,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,non_l7_bonus,score_no_may,skeleton_key,finite_share,nonzero_share,shard_id,lag_ok_bool,robust_ok_bool,premay_all_positive_bool,is_l7,is_placebo,is_low_prior,contains_basis_premium,contains_basis_premium_like,contains_price_like,contains_liquidity_like,contains_volatility_like,contains_positioning_like,contains_open_interest_like,contains_taker_flow_like,contains_funding_state_like,contains_listing_age_like,contains_regime_state,strict_non_l7,strong_non_l7,arbitration_score,a7ls19_reject_reason
a7ls15_defc4a5a369f820f,"Mul(TSRank(mark_index_basis_bps,240),Sign(Decay(mark_trade_basis_bps,504)))",basis_premium_like,gated_sign,L5_vol_adjusted_return,8,-1.0,3,True,0.7949533457967767,0.3479932293620381,True,0.6258198923298731,1.6058293851289498,True,0.4299996127109011,0.4293996127109011,0.4283996127109011,94.93333333333334,A7LS18a7ls18_s000_NUMERIC_CLUE,688,-0.0649908987754365,-2.310955598835647,-0.8535789064491859,-1.9494861420509555,0.4738372093023256,712,-0.0468419497715485,-1.50408107434144,-0.6258198923298731,-1.6058293851289498,0.4859550561797753,712,-0.2217462936678761,-5.658357004103145,-1.9649080663110248,-2.928084095763619,0.375,712,-0.4303996127109011,-6.475050825170055,-2.200255178793588,-2.8391883104076334,0.4157303370786517,1.0,435.60465936510434,skel_3afee12eb6a9078f,0.993105429474289,1.0,a7ls18_s000,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,537.9074586172977,strict_non_l7_eligible
a7ls15_81466e21c9ddb4ba,"Mul(Neg(ZScore(TSRank(mark_trade_basis_bps,336))),Sign(Mean(premium_abs_state,6)))",basis_premium_like,mean_reversion_gate,L5_vol_adjusted_return,4,-1.0,3,True,0.7253066192406546,0.0544625685412627,True,1.865996568398138,2.563772599359759,True,0.204548598142826,0.203948598142826,0.202948598142826,95.46666666666668,A7LS18a7ls18_s001_NUMERIC_CLUE,689,-0.002713885493133,-0.1315995485966812,-0.0179656629803733,-0.5885048142224797,0.4847605224963715,716,-0.0795598818514052,-3.7637283301327455,-1.865996568398138,-2.563772599359759,0.4120111731843575,715,-0.1659877875351531,-6.157790567999838,-3.317756836205896,-3.748206826923164,0.3944055944055944,715,-0.204948598142826,-5.260596231204141,-2.584994133784752,-2.970934342572686,0.4265734265734265,1.0,210.2232915235853,skel_2674b9b28339672e,0.993105429474289,0.9508153746022564,a7ls18_s001,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,316.704894369146,strict_non_l7_eligible
a7ls15_aca5584888391c64,"Mul(Clip(ZScore(mark_index_basis_bps),-3,3),CSRank(premium_close_bps))",basis_premium_like,mul,L5_vol_adjusted_return,4,-1.0,3,True,0.5353558654306417,0.0775048682572474,True,1.70527312125212,2.397085036404329,True,0.196570379823514,0.195970379823514,0.194970379823514,95.46666666666668,A7LS18a7ls18_s001_NUMERIC_CLUE,716,-0.0132441724391431,-0.744178062911801,-0.2247364156156806,-1.1965314691922595,0.4776536312849162,716,-0.0673308617866792,-3.3069862415154336,-1.70527312125212,-2.397085036404329,0.4259776536312849,716,-0.1140970206922965,-4.130870124446546,-2.175412874056025,-2.7517375345731097,0.4231843575418994,716,-0.196970379823514,-5.276872872050149,-2.616890777790541,-3.6907569808451615,0.4273743016759777,1.0,202.43502395808332,skel_3363cfb4025bd87d,0.9997127262280954,1.0,a7ls18_s001,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,320.3136720322448,strict_non_l7_eligible
a7ls15_f2572f4f4a2a5d62,"Mul(mark_index_basis_bps,mark_trade_basis_bps)",basis_premium_like,mul,L5_vol_adjusted_return,4,-1.0,3,True,0.6462820823667268,0.0382303001488081,True,1.269207893903441,2.1901608473703944,True,0.1340494277061102,0.1334494277061102,0.1324494277061102,95.46666666666668,A7LS18a7ls18_s001_NUMERIC_CLUE,716,-0.0012811364936839,-0.0683408080300473,0.1947065904010415,-0.9171251869708344,0.5041899441340782,714,-0.0904663350607345,-4.323188328747079,-2.236729731204937,-2.6483574085443653,0.4271708683473389,716,-0.0689556354555561,-2.3475037557196217,-1.269207893903441,-2.1901608473703944,0.4497206703910614,715,-0.1344494277061102,-3.104869443529596,-1.4430416788882197,-2.3832816708377216,0.4531468531468531,1.0,139.80314562374352,skel_337820bc5afcf6cc,0.9997127262280954,0.6745120929118774,a7ls18_s001,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,251.0262206817399,strict_non_l7_eligible
a7ls15_b9ade4b9d5b37a0c,"Mul(Abs(ZScore(Mean(premium_abs_168h,2))),TSRank(mark_trade_basis_bps,8))",basis_premium_like,mul,L5_vol_adjusted_return,1,1.0,3,True,0.6431075840662442,0.0232810210101497,True,3.550001534177255,3.550001534177255,True,0.0705837292944804,0.0699837292944804,0.0689837292944804,95.86666666666666,A7LS18a7ls18_s001_NUMERIC_CLUE,712,0.0119280623695093,1.1896261378876631,1.1896261378876631,1.1896261378876631,0.5294943820224719,719,0.0430567543008652,3.7865832109980704,3.7865832109980704,3.7865832109980704,0.5730180806675939,719,0.0499617030265721,3.6674140215134345,3.6674140215134345,3.6674140215134345,0.588317107093185,719,0.0709837292944804,3.550001534177255,3.550001534177255,3.550001534177255,0.5479833101529903,1.0,76.3406217104142,skel_977fab637a7d4823,0.8253375466819879,1.0,a7ls18_s001,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,187.75416666643957,strict_non_l7_eligible
a7ls15_7355ef8aa37d5217,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,2)),CSRank(TSRank(mark_index_basis_bps,336))),Sign(TSRank(mark_index_basis_bps,336)))",basis_premium_like,signed_spread,L5_vol_adjusted_return,8,1.0,3,True,0.6588377127854667,0.1269169699281949,True,1.20219623887439,-0.5447100661914761,True,0.3410456006806238,0.3404456006806238,0.3394456006806238,94.93333333333334,A7LS18a7ls18_s002_NUMERIC_CLUE,689,0.0163706067324084,0.601684507142243,-0.0086308287249581,-1.0171750123379788,0.5283018867924528,712,0.0933000413395157,3.3226195774667047,1.20219623887439,-0.5447100661914761,0.5758426966292135,712,0.265005622282811,6.4256664548325775,2.4212554389240224,0.591624304136533,0.6306179775280899,712,0.3414456006806238,5.4432420426006445,2.1937132786992306,-0.0196559176751108,0.5926966292134831,1.0,346.78676296783834,skel_d2c2cd29eb5fbfcd,0.993105429474289,0.9928376000385692,a7ls18_s002,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,457.2565002007103,strict_non_l7_eligible
a7ls15_665c8ac000ca3e50,"SafeDiv(Delta(mark_trade_basis_bps,6),Abs(Mean(mark_index_basis_bps,720)))",basis_premium_like,safe_div_abs,L5_vol_adjusted_return,8,1.0,3,True,0.2831843934240869,0.0796994398082796,True,1.2996127865927245,-1.0569204193146196,True,0.2319421626005759,0.2313421626005759,0.2303421626005759,94.93333333333334,A7LS18a7ls18_s002_NUMERIC_CLUE,689,0.010812570127241,0.4104888995557426,0.1123352439266187,-1.1052984915120738,0.5355587808417998,712,0.1243384503804669,4.72337288401777,1.2996127865927245,0.9184547059701658,0.5955056179775281,712,0.1815611239212953,4.7162554624003725,2.0615655716697368,-1.0569204193146196,0.5997191011235955,712,0.2323421626005759,3.887079814940347,1.761708708181425,0.006201935891262,0.5730337078651685,1.0,238.05897820715185,skel_3afee12eb6a9078f,0.993105429474289,0.88663701668113,a7ls18_s002,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,371.06791460170666,strict_non_l7_eligible
a7ls15_da3b11b2e7badd04,"SafeDiv(Delta(mark_trade_basis_bps,168),Abs(Abs(ZScore(Mean(premium_close_bps,24)))))",basis_premium_like,safe_div_abs,L5_vol_adjusted_return,8,1.0,3,True,0.7173247730270591,0.0917299177775832,True,1.1791939164014404,-0.4479832170532377,True,0.1568154219580593,0.1562154219580593,0.1552154219580593,94.93333333333334,A7LS18a7ls18_s002_NUMERIC_CLUE,544,0.0089423666955526,0.3724453214197228,0.2528836463759654,-1.0391291306344428,0.4963235294117647,712,0.1023751614243315,4.470063836559257,1.7973483037096012,0.2605347641398335,0.5435393258426966,712,0.1471387918511794,4.3420212901935455,1.1791939164014404,0.7384020852114365,0.577247191011236,712,0.1572154219580593,3.32137819746325,1.336215891410771,-0.4479832170532377,0.5716292134831461,1.0,162.4980971850323,skel_437d739eeb4ca960,0.9514507325481184,0.8895902526167472,a7ls18_s002,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,269.45861080340876,strict_non_l7_eligible
a7ls15_ba709eb90404e6b6,"Mul(Sub(CSRank(Decay(premium_abs_state,12)),CSRank(CSRank(mark_index_basis_bps))),Sign(CSRank(mark_index_basis_bps)))",basis_premium_like,signed_spread,L5_vol_adjusted_return,1,1.0,3,True,0.6815822571247017,0.0364514720955207,True,5.771893736771474,5.771893736771474,True,0.1124716702169047,0.1118716702169047,0.1108716702169047,95.86666666666666,A7LS18a7ls18_s002_NUMERIC_CLUE,708,0.0086556494613119,0.8024774850623916,0.8024774850623916,0.8024774850623916,0.5112994350282486,719,0.0594075368058889,5.901092627257845,5.901092627257845,5.901092627257845,0.6119610570236439,719,0.0867351845900436,6.428831061018169,6.428831061018169,6.428831061018169,0.6147426981919333,719,0.1128716702169047,5.771893736771474,5.771893736771474,5.771893736771474,0.5980528511821975,1.0,118.19008795978,skel_50fabfec06d9bf09,0.9965527147371444,0.9895503026808878,a7ls18_s002,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,227.2951525322979,strict_non_l7_eligible
a7ls15_922a13ac27080176,"Mul(Sub(CSRank(TSRank(mark_index_basis_bps,36)),CSRank(Abs(ZScore(Mean(premium_close_bps,36))))),Sign(Abs(ZScore(Mean(premium_close_bps,36)))))",basis_premium_like,signed_spread,L5_vol_adjusted_return,1,-1.0,3,True,0.4696698262625891,0.031371708596946,True,4.862954120042093,4.862954120042093,True,0.1049523611015059,0.1043523611015058,0.1033523611015058,95.86666666666666,A7LS18a7ls18_s002_NUMERIC_CLUE,696,-0.0203438439231687,-1.9551683219586908,-1.9551683219586908,-1.9551683219586908,0.4540229885057471,719,-0.0630530024926566,-6.078141612627752,-6.078141612627752,-6.078141612627752,0.4102920723226704,719,-0.0885034118537988,-6.855329135795943,-6.855329135795943,-6.855329135795943,0.3824756606397774,719,-0.1053523611015058,-4.862954120042093,-4.862954120042093,-4.862954120042093,0.4144645340751043,1.0,110.8826912752433,skel_2e8b8619337ca522,0.993105429474289,0.9942025841288208,a7ls18_s002,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,232.70250169948795,strict_non_l7_eligible
