label_horizon_h,objective_family,candidate_count,pre_may_positive_count,lag_ok_count,may_stress_clean_count,median_control_ratio
1,M1_price_range_smoothed_reversal,16,6,5,3,36.896200514147424
1,M2_taker_liquidity_control_resistant,16,2,8,8,9.096121005260205
1,M3_latent_meme_major_neutral,16,0,2,4,13.606960454879145
1,M4_regime_relative_value,16,0,5,0,35.69460598196072
1,M5_trend_breadth_interaction,16,4,8,0,12.953465119323715
1,M6_low_turnover_funding_premium,2,0,1,0,7.303432734948348
4,M1_price_range_smoothed_reversal,16,0,5,3,20.00068341188937
4,M2_taker_liquidity_control_resistant,16,1,8,7,13.94826198873912
4,M3_latent_meme_major_neutral,16,1,3,11,13.18473995008431
4,M4_regime_relative_value,16,0,5,0,34.84068864624233
4,M5_trend_breadth_interaction,16,1,9,0,9.161702700493077
4,M6_low_turnover_funding_premium,2,0,1,0,3.850520058867585
8,M1_price_range_smoothed_reversal,16,2,9,5,15.6154815075625
8,M2_taker_liquidity_control_resistant,16,3,11,10,16.807409567161827
8,M3_latent_meme_major_neutral,16,0,3,13,20.82036169327222
8,M4_regime_relative_value,16,0,3,0,27.66059633686224
8,M5_trend_breadth_interaction,16,1,12,0,10.279402228924024
8,M6_low_turnover_funding_premium,2,0,1,0,3.504640020858905
24,M1_price_range_smoothed_reversal,16,9,16,5,28.15518986132848
24,M2_taker_liquidity_control_resistant,16,2,9,7,24.664297633668788
24,M3_latent_meme_major_neutral,16,5,8,11,29.96355131980586
24,M4_regime_relative_value,16,5,8,0,42.49045735635532
24,M5_trend_breadth_interaction,16,0,11,0,14.143869628402737
24,M6_low_turnover_funding_premium,2,0,1,0,7.687510246292161
