candidate_id,objective_family,label_horizon_h,orientation_from_train,oriented_validation_spread,oriented_test_spread,oriented_recent_spread,oriented_may_stress_spread,may_stress_n_dates,one_bar_lag_recent_oriented,cost10_recent_proxy,control_dominance_ratio_premay_max,pre_may_positive,lag_ok,may_stress_clean,decision
a7al2z7_01cba4970c25369f,M1_price_range_smoothed_reversal,1,1.0,8.596588007783193e-05,-3.182325418493511e-06,7.721934656876368e-05,-3.254780737199806e-05,599,-0.0001748235533603364,-0.0019227806534312364,107.4679152828757,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_01cba4970c25369f,M1_price_range_smoothed_reversal,4,1.0,0.0005184772801086883,-0.0001537017814626544,-0.0007712479705695408,-0.0002475593026965158,596,-0.0009838180065253471,-0.0027712479705695407,10.517667521440742,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_01cba4970c25369f,M1_price_range_smoothed_reversal,8,-1.0,-0.0007487427122007821,0.0002449913552972841,0.0014359785951672925,0.00042091734234903674,592,0.001611763809547061,-0.0005640214048327076,14.719842611548822,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_01cba4970c25369f,M1_price_range_smoothed_reversal,24,-1.0,-0.000741805690569254,-0.000830214334426779,0.004619496761561374,8.69175971583044e-05,576,0.004721277893945055,0.0026194967615613737,12.516423482460421,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_05688909c97d394a,M1_price_range_smoothed_reversal,1,1.0,-4.865530738296037e-05,-0.00013680245418217662,0.00012955969860822957,-0.0002905346462230188,599,-7.798079347384194e-05,-0.0018704403013917704,7.408080538967011,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_05688909c97d394a,M1_price_range_smoothed_reversal,4,1.0,3.498674339939091e-05,-7.140380964485075e-05,-0.0007662675262576769,-0.0010103017513986333,596,-0.0011152684150289886,-0.002766267526257677,40.76509334064912,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_05688909c97d394a,M1_price_range_smoothed_reversal,8,-1.0,-0.00037668082613255245,-0.0003277351771161497,0.001035308970791345,0.0013385747002231177,592,0.0014336712593528672,-0.000964691029208655,8.223884111157712,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_05688909c97d394a,M1_price_range_smoothed_reversal,24,-1.0,-0.000933500366479772,3.383697341862601e-05,0.004246356064483088,0.002606713848831134,576,0.004463932960340199,0.002246356064483088,126.01607873176722,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00db615b9305fec8,M1_price_range_smoothed_reversal,1,1.0,0.0003130786433218309,0.0003666242956159933,9.82130909736201e-05,0.00028627976265764164,599,-9.262675119567443e-05,-0.00190178690902638,42.103187182588655,True,False,True,HOLD_A7AL2Z9_ONE_BAR_LAG_FRAGILE
a7al2z7_00db615b9305fec8,M1_price_range_smoothed_reversal,4,1.0,0.0007519869390852391,0.001462689651254574,-0.0005312163850320566,0.0011294266171257346,596,-0.0006922362487597208,-0.0025312163850320568,29.544602063080585,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00db615b9305fec8,M1_price_range_smoothed_reversal,8,1.0,0.001126996517588343,0.0024312534929942582,-0.0006631549135447494,0.0019741320489892952,592,-0.0008346705273690792,-0.0026631549135447494,46.397078367867174,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00db615b9305fec8,M1_price_range_smoothed_reversal,24,1.0,0.0011926666649112374,0.0021046426415143706,0.0024754996717739285,0.004537786705559147,576,0.0025836282375061585,0.00047549967177392847,32.425586643679125,True,True,True,HOLD_A7AL2Z9_CONTROL_DOMINATED
a7al2z7_06ea7f699ed8f206,M1_price_range_smoothed_reversal,1,1.0,0.00017904385269938388,0.00042174902976776845,0.00027401841667469215,0.0003929828441279167,599,-0.00022282290789386622,-0.0017259815833253079,3.1779656884178165,True,False,True,HOLD_A7AL2Z9_ONE_BAR_LAG_FRAGILE
a7al2z7_06ea7f699ed8f206,M1_price_range_smoothed_reversal,4,1.0,0.0005692321663389214,0.0009494190858362231,-8.992377969885717e-05,0.0007163546896465948,596,-0.00020034133986270662,-0.002089923779698857,30.129195609587743,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_06ea7f699ed8f206,M1_price_range_smoothed_reversal,8,1.0,0.0013915777079275904,0.0014002324717808092,0.0003422188509811101,0.0014148484362645284,592,0.0002230502581877891,-0.00165778114901889,16.51112040357618,True,True,True,HOLD_A7AL2Z9_CONTROL_DOMINATED
a7al2z7_06ea7f699ed8f206,M1_price_range_smoothed_reversal,24,1.0,0.0022966622983792567,0.002950412440552705,0.001736124338257612,0.004093665983403268,576,0.0013645035240089439,-0.0002638756617423881,30.042211005073913,True,True,True,HOLD_A7AL2Z9_CONTROL_DOMINATED
a7al2z7_0788b9564003a690,M1_price_range_smoothed_reversal,1,1.0,0.00026318323373089234,0.00019805773706452456,0.00016373768459693557,0.00030595513227352455,599,-0.00014350589250999914,-0.0018362623154030645,2.391867805133141,True,False,True,HOLD_A7AL2Z9_ONE_BAR_LAG_FRAGILE
a7al2z7_0788b9564003a690,M1_price_range_smoothed_reversal,4,1.0,0.0009155518322844517,0.001061437666763572,-8.792309851946554e-05,0.0009781476723929323,596,-0.0003579102914797021,-0.0020879230985194654,16.15491427255175,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_0788b9564003a690,M1_price_range_smoothed_reversal,8,1.0,0.001416400915512465,0.0015884592682822488,2.8743205794197776e-05,0.0020489513862234645,592,3.536837269718589e-06,-0.0019712567942058025,105.38106099306346,True,False,True,HOLD_A7AL2Z9_ONE_BAR_LAG_FRAGILE
a7al2z7_0788b9564003a690,M1_price_range_smoothed_reversal,24,1.0,0.0022862433326469706,0.004025947340230896,0.001984109259521271,0.0046238274714597285,576,0.0018973652122192283,-1.5890740478728856e-05,28.792244777085816,True,True,True,HOLD_A7AL2Z9_CONTROL_DOMINATED
a7al2z7_009122ab58cd2a9c,M1_price_range_smoothed_reversal,1,-1.0,-7.040700572761973e-05,0.00013212644033224068,-2.020546590559856e-05,,0,0.00023995502253269818,-0.0020202054659055986,116.40785269003737,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_009122ab58cd2a9c,M1_price_range_smoothed_reversal,4,-1.0,-0.00031642089164981153,0.00021009973806223597,0.0010034281666965817,,0,0.0012048971858198644,-0.0009965718333034184,23.84645255122699,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
