label_horizon_h,decision,count
1,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE,70
1,HOLD_A7AL2Z9_ONE_BAR_LAG_FRAGILE,11
1,HOLD_A7AL2Z9_CONTROL_DOMINATED,1
4,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE,79
4,HOLD_A7AL2Z9_CONTROL_DOMINATED,3
8,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE,76
8,HOLD_A7AL2Z9_CONTROL_DOMINATED,4
8,HOLD_A7AL2Z9_ONE_BAR_LAG_FRAGILE,2
24,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE,61
24,HOLD_A7AL2Z9_CONTROL_DOMINATED,21
