panel_id,lane_id,proposals,legal_rate,exact_identities,strict,behaviour_clusters,n_eff,top_cluster_share,near_miss,survivors,positive_net_lcb,failure_rate
bbo_micro,bbo_typed_temporal,2048,0.97607421875,1963,96,91,82.28571428571429,0.041666666666666664,0,0,0,0.02392578125
main,cem,2560,0.77578125,1924,120,100,77.41935483870968,0.05,7,0,0,0.22421875000000002
main,cem_matched_control,2560,0.7390625,1869,32,30,28.444444444444443,0.0625,2,0,0,0.26093750000000004
main,evolutionary,2560,0.8875,1438,108,101,91.125,0.037037037037037035,6,0,0,0.11250000000000004
main,evolutionary_matched_control,2560,0.7390625,1869,31,31,31.0,0.03225806451612903,1,0,0,0.26093750000000004
main,llm_proposal_repair,2560,0.74453125,1871,31,29,27.457142857142856,0.06451612903225806,1,0,0,0.25546875
main,orthogonal_exile,2560,0.67578125,1689,120,106,96.0,0.025,5,0,0,0.32421875
main,surrogate,2560,0.88828125,2226,120,108,94.73684210526316,0.03333333333333333,2,0,0,0.11171874999999998
main,surrogate_matched_control,2560,0.7390625,1869,31,31,31.0,0.03225806451612903,0,0,0,0.26093750000000004
main,typed_ast,2560,0.7390625,1869,32,31,30.11764705882353,0.0625,1,0,0,0.26093750000000004
main,typed_random,2560,0.7390625,1869,32,31,30.11764705882353,0.0625,0,0,0,0.26093750000000004
main,uct_matched_control,2560,0.7390625,1869,32,31,30.11764705882353,0.0625,2,0,0,0.26093750000000004
main,uct_mcts,2560,0.874609375,2086,120,114,109.0909090909091,0.016666666666666666,2,0,0,0.12539062499999998
