arm,proposal_id,panel_id,lane_id,exact_identity,activation_identity,behaviour_cluster,economic_hypothesis,mechanism_id,algorithm,coordinate_coverage,observations,ic_mean,ic_lcb,gross_mean,net_mean,net_lcb,return_risk,worst_horizon_net_mean,time_block_positive_fraction,time_block_stability,turnover_mean,cost_drag_mean,max_weight_mean,concentration_hhi_mean,complexity,behaviour_novelty,benchmark_incremental_mean,benchmark_incremental_lcb,placebo_ic_abs,wrong_lag_ic_abs,hard_gate_pass,hard_gate_reasons,lane_scalar,development_scalar,feedback_stability_lcb,feedback_positive_block_fraction,survivor_near_miss,development_survivor,candidate_promotion,feedback_persisted
STRATIFIED_ADMISSION,epoch-candidate:3764de66e8f57aa9b213bcd4,main,uct_mcts,exact-signal:5442d6ac813fce1254c5d774,activation:7423a4bbd4c20ccc0b5c3849,behaviour-cluster:1f1eb2d3c6e5ad893bfa2df7,relative_strength,cross_asset_confirmation,uct_mcts,0.9718806921675774,8537,-0.010785846929945976,-0.017353610613582267,-2.4407790671620914e-05,-0.00026253796889986916,-0.00031070915902539674,-10.682202737836302,-0.00028825920132877913,0.0,0.8396702382750053,0.47626035645649656,0.0002381301782282483,0.1620456220543215,0.1145126038018053,1,6.697034247666484,-0.00017978558935191166,-0.0002468695510739489,0.0008727830615209404,0.009145633935141272,True,,5.288716962531751,-5.616752519130782,-0.0003388202008818848,0.0,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:e7f83531eb748f292b850a29,main,uct_mcts,exact-signal:866b4d7a95375fd0bf65870f,activation:1c29a6e70814ae1dd089ddc1,behaviour-cluster:8de46cb23ea9be05cf5bee77,funding_change_repricing,funding_dynamics,uct_mcts,0.7810792349726776,6861,-0.003546455385339558,-0.010727430551235635,-6.550506061095061e-06,-0.0005496656030404246,-0.0006182943988535104,-15.698141999947653,-0.0006132326460118556,0.0,0.696123311594256,1.0862301939586592,0.0005431150969793296,0.21864148175910308,0.11959369398023695,2,6.697034247666484,-0.0004899780796920905,-0.0005773044303454877,0.0006147982928132998,0.001174017882264689,False,COVERAGE,4.452694385423356,-9.261773456512124,-0.0006266009356062591,0.0,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:d82874e43bf08326cfac4db6,main,uct_mcts,exact-signal:ea68cd7647b5c1419e7311d8,activation:3237d536af8167c352f1a4e2,behaviour-cluster:70f767682100d5c1651d2d15,mark_index_dislocation,mark_index_deviation,uct_mcts,0.9891848816029144,8689,0.0003491223559373028,-0.006113812453931108,-2.8830600709109158e-05,-6.527914953580215e-05,-0.0001105940197745434,-2.823513173845212,-0.00012510574181131298,0.0,0.6887844095682707,0.07289709765338596,3.6448548826692975e-05,0.15541286641524182,0.10985293173470076,3,6.697034247666484,1.4848551830018198e-05,-5.2050560476772515e-05,0.00016140651818305542,0.0002115868699130114,True,,6.334532265106797,-0.845041409333761,-0.00017920133963578475,0.4166666666666667,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:0bc87d02dd4e29c83d6c0b42,main,uct_mcts,exact-signal:31bcf677642e61db6c7cea0d,activation:97b2a860cd28f5369430fe08,behaviour-cluster:fb82ee3a4776ad15c9862d77,oi_price_divergence,oi_inventory,uct_mcts,0.9938524590163934,8730,-0.0005069410295364164,-0.006961064365756407,1.205088314329541e-05,-4.0770093553163627e-05,-8.450521447520676e-05,-1.8271215828267027,-0.0001079727593682151,0.0,0.7166480262412237,0.1056419533929181,5.282097669645905e-05,0.15289963520531868,0.1104453327353497,4,4.758504205908793,3.745323448052084e-05,-3.311865379638482e-05,0.000272377373112288,0.00031058607675459623,True,,4.509547038697066,-3.184779824367804,-0.00010082706910609509,0.16666666666666666,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:b66c271667970f4edffaf932,main,uct_mcts,exact-signal:e5db3f0175c4eaf13ad76f1d,activation:c5e10c8f71bd5d292a3658f7,behaviour-cluster:daccb6c58966da057201e4c5,orthogonal_volatility,orthogonal_exile,uct_mcts,0.9643670309653917,8471,0.0017484371630328882,-0.004904970414127739,-2.6390260066413323e-05,-6.769729457367956e-05,-0.00011251751504459239,-2.9604204524277646,-0.000159318424045649,0.25,0.6195030450989584,0.08261406901453248,4.1307034507266235e-05,0.15537627972716958,0.11165927026954213,3,6.697034247666484,1.8223723110295585e-05,-4.3271718179011506e-05,0.0035576993431517944,0.0013073587909804144,True,,6.5839698991374584,-0.9471476839665508,-0.00015013098411474526,0.25,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:098b29b793983251fc78e6d6,main,uct_mcts,exact-signal:639cf6450a4fe5d58e551924,activation:81a259092e3bb3cdbfdd9f40,behaviour-cluster:6fee7d4f9099964afab3f299,session_transition,session_time,uct_mcts,0.9971539162112932,8759,-0.0009819172395757708,-0.007382861359040512,1.8275376674742965e-05,-0.0004267378150738666,-0.0004709511280575937,-18.917517396912125,-0.00045824225623405213,0.0,0.7644705581084902,0.8900263834972191,0.00044501319174860963,0.15531304088650277,0.11112021296449266,3,6.697034247666484,-0.0003476523350848184,-0.0004132230907612891,0.0022812503781979884,0.00323511757205514,True,,4.31802665260296,-7.222639872051551,-0.0005032537345443131,0.0,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:8147478f186b0738b39927a5,main,uct_mcts,exact-signal:c879cc7ca97822d11396e8d2,activation:36b44616f8c6e6f9599505ae,behaviour-cluster:7bb5a6cfe0baa6072c0b59de,aggressive_flow_exhaustion,taker_imbalance,uct_mcts,0.004553734061930784,40,0.04457598521534698,-0.019766379035876476,0.0003568288277216603,-0.00012519650075103656,-0.0013375208788273564,-0.20240881558564502,-0.000984542534354288,0.25,0.14541967115584628,0.9640506569453937,0.0004820253284726969,0.22969810890863523,0.1894851381735133,4,6.697034247666484,-0.0006812520133204802,-0.0019905645197903638,0.0007601224195794898,0.019559973036837156,False,COVERAGE|OBSERVATIONS,4.8089607973267805,-19.620430298357885,-0.00185562555052116,0.3333333333333333,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:8abeef11ca2ecb8543dd4b44,main,uct_mcts,exact-signal:b0eab139b40039f01aed98be,activation:b1eda1f685f63bb1a44f31f7,behaviour-cluster:a043a76c4148d662c50ecd01,state_persistence,temporal_state_path,uct_mcts,0.9890710382513661,8688,0.0015454753174028045,-0.004930998237125688,-1.4315515258486264e-05,-8.459378178121624e-05,-0.00013002388548321298,-3.6496463529731376,-0.00010790642780640106,0.0,0.8442356557648313,0.14055653304545995,7.027826652272997e-05,0.1547610108427447,0.10953521712141079,3,6.697034247666484,-5.603916364869479e-06,-7.289370074030032e-05,0.0025623332219882164,0.0016133875118071732,True,,6.232424092028094,-3.949698399942278,-0.000170743411880009,0.08333333333333333,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:7b822e5750009a7417e42234,main,uct_mcts,exact-signal:cfa24d4b62d3e7d40c0b21bf,activation:e1a7ad76cef28cf359d4c1c2,behaviour-cluster:dd4b3ff3683a46fe7273f110,volatility_burst_continuation,volatility_regime,uct_mcts,0.9943078324225865,8734,-0.005400786098352577,-0.012254210715772266,3.4508511241205904e-06,-5.896486777774446e-05,-0.0001086932218556485,-2.3240491865732436,-0.00013581250515205465,0.0,0.6790770519221312,0.12483143780373009,6.241571890186506e-05,0.1527777777777778,0.11033950617283952,1,6.697034247666484,1.9608975906388906e-05,-6.460598894501199e-05,0.000748815105177436,0.005192888212685273,True,,6.344764925310872,-0.8777053898648106,-0.00013118709219649136,0.25,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:aba6abf96b42122bb1e69ac4,main,uct_mcts,exact-signal:d1e537b818634313610b5bd1,activation:2c8928ba13ace1de8d57e503,behaviour-cluster:0d122c42bc5e1a6d14fd87da,basis_funding_divergence,basis_dislocation_convergence,uct_mcts,0.995787795992714,8747,0.002642507398210485,-0.003755713669448174,8.278612287309695e-06,-0.00045282979966129337,-0.0004948979769938253,-21.097809879435466,-0.0004913853558683061,0.0,0.7832325317942593,0.9222168238972063,0.00046110841194860305,0.15369580436151514,0.11059154216800118,3,6.697034247666484,-0.0003743727342974863,-0.0004390216382490353,0.006738893101781612,0.0009562673645563679,True,,4.087097925601249,-7.471843238402803,-0.0005124734563626359,0.0,False,False,False,False
