adaptive_lane,control_lane,verdict,adaptive_near_miss_per_strict,adaptive_survivor_per_strict,adaptive_cluster_yield,adaptive_top_concentration,adaptive_runtime_per_proposal,adaptive_benchmark_increment_median,control_near_miss_per_strict,control_survivor_per_strict,control_cluster_yield,control_top_concentration,control_runtime_per_proposal,control_benchmark_increment_median,adaptive_mechanism_entropy,adaptive_primitive_entropy,adaptive_behaviour_cluster_entropy,adaptive_top_decile_mechanism_share,adaptive_top_decile_primitive_share,adaptive_top_decile_behaviour_share,control_mechanism_entropy,control_primitive_entropy,control_behaviour_cluster_entropy,control_top_decile_mechanism_share,control_top_decile_primitive_share,control_top_decile_behaviour_share
cem,cem_matched_control,ADAPTIVE_FAILURE_NO_SURVIVOR_GAIN,0.058333333333333334,0.0,0.8333333333333334,0.37373737373737376,1.0,-4.060476417589954e-05,0.0625,0.0,0.9375,0.1693121693121693,1.0,-3.940735013930148e-05,0.9019552069735884,0.8445814336686152,0.9927091422364211,0.37373737373737376,0.19696969696969696,0.020202020202020204,0.97787858126034,0.9076277505336572,0.9894084810742677,0.1693121693121693,0.15343915343915343,0.010582010582010581
uct_mcts,uct_matched_control,ADAPTIVE_FAILURE_NO_SURVIVOR_GAIN,0.016666666666666666,0.0,0.95,0.5426008968609866,1.0,-0.00010367057836047959,0.0625,0.0,0.96875,0.1693121693121693,1.0,-5.041486137660117e-05,0.7226372075402482,0.7108421777974006,0.9837943772172184,0.5426008968609866,0.5291479820627802,0.026905829596412557,0.97787858126034,0.9076277505336572,0.9894084810742677,0.1693121693121693,0.15343915343915343,0.010582010582010581
evolutionary,evolutionary_matched_control,ADAPTIVE_FAILURE_NO_SURVIVOR_GAIN,0.05555555555555555,0.0,0.9351851851851852,0.3524229074889868,1.0,-3.682085143133333e-05,0.03225806451612903,0.0,1.0,0.1693121693121693,1.0,-5.343669377240126e-05,0.9476019094349624,0.8822456298348565,0.9413950896775674,0.3524229074889868,0.1894273127753304,0.07488986784140969,0.97787858126034,0.9076277505336572,0.9894084810742677,0.1693121693121693,0.15343915343915343,0.010582010582010581
surrogate,surrogate_matched_control,ADAPTIVE_FAILURE_NO_SURVIVOR_GAIN,0.016666666666666666,0.0,0.9,0.20704845814977973,1.0,-5.871478986712146e-05,0.0,0.0,1.0,0.1693121693121693,1.0,-4.268332344108532e-05,0.8568784692848979,0.8807416628333772,0.9850055231632779,0.20704845814977973,0.2026431718061674,0.00881057268722467,0.97787858126034,0.9076277505336572,0.9894084810742677,0.1693121693121693,0.15343915343915343,0.010582010582010581
