cost_tier,split,month,month_return_sum
normal_5bp,train_2024,2024-01,-0.17260531253347663
normal_5bp,train_2024,2024-02,0.00017668069748279675
normal_5bp,train_2024,2024-03,0.03005181121798185
normal_5bp,train_2024,2024-04,0.1796120941461156
normal_5bp,train_2024,2024-05,-0.07105826251440658
normal_5bp,train_2024,2024-06,0.008131963277468901
normal_5bp,train_2024,2024-07,-0.04386919414409421
normal_5bp,train_2024,2024-08,0.08595120200797579
normal_5bp,train_2024,2024-09,0.004851503202329467
normal_5bp,train_2024,2024-10,0.03980255238241083
normal_5bp,train_2024,2024-11,-0.1353218511720344
normal_5bp,train_2024,2024-12,0.22210621738330827
normal_5bp,validation_2025H1,2025-01,-0.11498987198298083
normal_5bp,validation_2025H1,2025-02,-0.04069478710075894
normal_5bp,validation_2025H1,2025-03,-0.01964544972526852
normal_5bp,validation_2025H1,2025-04,0.0960092342021239
normal_5bp,validation_2025H1,2025-05,0.17287064614859646
normal_5bp,validation_2025H1,2025-06,0.11621075351416953
normal_5bp,recent_oos_2025H2_2026,2025-07,-0.20070914990692165
normal_5bp,recent_oos_2025H2_2026,2025-08,0.06066768834236243
normal_5bp,recent_oos_2025H2_2026,2025-09,0.021273598822071436
normal_5bp,recent_oos_2025H2_2026,2025-10,0.19535501053887488
normal_5bp,recent_oos_2025H2_2026,2025-11,0.13399098014607488
normal_5bp,recent_oos_2025H2_2026,2025-12,-0.001957198603727769
normal_5bp,recent_oos_2025H2_2026,2026-01,0.03499496398887341
normal_5bp,recent_oos_2025H2_2026,2026-02,0.028316316661349997
normal_5bp,recent_oos_2025H2_2026,2026-03,0.009227808058866869
normal_5bp,recent_oos_2025H2_2026,2026-04,0.054395464453302934
stress_10bp,train_2024,2024-01,-0.1916469792001433
stress_10bp,train_2024,2024-02,-0.014245541524739428
stress_10bp,train_2024,2024-03,0.015971255662426288
stress_10bp,train_2024,2024-04,0.16652042747944892
stress_10bp,train_2024,2024-05,-0.08481381806996215
stress_10bp,train_2024,2024-06,-0.007088870055864429
stress_10bp,train_2024,2024-07,-0.05770808303298311
stress_10bp,train_2024,2024-08,0.07408036867464246
stress_10bp,train_2024,2024-09,-0.0078401634643372
stress_10bp,train_2024,2024-10,0.025506719049077493
stress_10bp,train_2024,2024-11,-0.15123851783870107
stress_10bp,train_2024,2024-12,0.2061506618277527
stress_10bp,validation_2025H1,2025-01,-0.13048987198298084
stress_10bp,validation_2025H1,2025-02,-0.05219478710075894
stress_10bp,validation_2025H1,2025-03,-0.032395449725268526
stress_10bp,validation_2025H1,2025-04,0.08353840086879057
stress_10bp,validation_2025H1,2025-05,0.1594164794819298
stress_10bp,validation_2025H1,2025-06,0.10306075351416952
stress_10bp,recent_oos_2025H2_2026,2025-07,-0.2173063721291439
stress_10bp,recent_oos_2025H2_2026,2025-08,0.044819077231251316
stress_10bp,recent_oos_2025H2_2026,2025-09,0.007781932155404772
stress_10bp,recent_oos_2025H2_2026,2025-10,0.1814300105388749
stress_10bp,recent_oos_2025H2_2026,2025-11,0.1210034801460749
stress_10bp,recent_oos_2025H2_2026,2025-12,-0.01540719860372777
stress_10bp,recent_oos_2025H2_2026,2026-01,0.02154913065554008
stress_10bp,recent_oos_2025H2_2026,2026-02,0.01627048332801666
stress_10bp,recent_oos_2025H2_2026,2026-03,-0.004668025274466465
stress_10bp,recent_oos_2025H2_2026,2026-04,0.040999631119969605
severe_20bp,train_2024,2024-01,-0.22973031253347662
severe_20bp,train_2024,2024-02,-0.04308998596918387
severe_20bp,train_2024,2024-03,-0.012189855448684818
severe_20bp,train_2024,2024-04,0.1403370941461156
severe_20bp,train_2024,2024-05,-0.11232492918107324
severe_20bp,train_2024,2024-06,-0.0375305367225311
severe_20bp,train_2024,2024-07,-0.08538586081076088
severe_20bp,train_2024,2024-08,0.05033870200797581
severe_20bp,train_2024,2024-09,-0.03322349679767053
severe_20bp,train_2024,2024-10,-0.0030849476175891745
severe_20bp,train_2024,2024-11,-0.18307185117203442
severe_20bp,train_2024,2024-12,0.1742395507166416
severe_20bp,validation_2025H1,2025-01,-0.16148987198298084
severe_20bp,validation_2025H1,2025-02,-0.07519478710075894
severe_20bp,validation_2025H1,2025-03,-0.05789544972526852
severe_20bp,validation_2025H1,2025-04,0.058596734202123905
severe_20bp,validation_2025H1,2025-05,0.13250814614859646
severe_20bp,validation_2025H1,2025-06,0.07676075351416953
severe_20bp,recent_oos_2025H2_2026,2025-07,-0.2505008165735883
severe_20bp,recent_oos_2025H2_2026,2025-08,0.013121855009029097
severe_20bp,recent_oos_2025H2_2026,2025-09,-0.01920140117792856
severe_20bp,recent_oos_2025H2_2026,2025-10,0.15358001053887488
severe_20bp,recent_oos_2025H2_2026,2025-11,0.0950284801460749
severe_20bp,recent_oos_2025H2_2026,2025-12,-0.042307198603727766
severe_20bp,recent_oos_2025H2_2026,2026-01,-0.005342536011126583
severe_20bp,recent_oos_2025H2_2026,2026-02,-0.007821183338650001
severe_20bp,recent_oos_2025H2_2026,2026-03,-0.03245969194113313
severe_20bp,recent_oos_2025H2_2026,2026-04,0.01420796445330294
