object,symbol,rows,net_sum,net_mean,worst_hour_symbol,best_hour_symbol,gross_sum,funding_drag_sum,fee_drag_sum,turnover_sum,abs_position_sum,long_position_share,short_position_share,mean_funding_rate,mean_abs_funding_rate
FundingCore,BCHUSDT,1760,-0.3182425309087571,-0.00018502472727253318,-0.010388452309892732,0.005911775692263283,-0.32588515577239346,-0.011021412742424243,0.0035454545454545456,3.5454545454545454,457.33333333333337,0.5840909090909091,0.19545454545454546,-5.042513636363636e-05,8.817195454545454e-05
Core4,BCHUSDT,1760,-0.27860825460758215,-0.00016198154337650124,-0.010388452309892734,0.00541912771790801,-0.27384816205047086,-0.0069204629984442375,0.011844177881174043,11.844177881174042,265.0,0.39488636363636365,0.056818181818181816,-5.042513636363636e-05,8.817195454545454e-05
Core4,DOGEUSDT,1760,-0.1782482267985141,-0.0001036326899991361,-0.003739427467305156,0.005371722440626118,-0.16772807102240864,-0.0019937331127834338,0.01251388888888889,12.51388888888889,367.0,0.2721590909090909,0.3534090909090909,2.4555954545454548e-05,4.9309999999999994e-05
Core4,LINKUSDT,1760,-0.1599848421775522,-9.301444312648384e-05,-0.0053542631755622745,0.004983026565760366,-0.146108880488895,-0.0036502939185965185,0.017608066770062932,17.608066770062933,324.0,0.09318181818181819,0.4590909090909091,5.052131818181818e-05,7.082900000000001e-05
FundingCore,ADAUSDT,1760,-0.14236619814257898,-8.277104543173197e-05,-0.004612820281486829,0.005310141866110076,-0.14157961262742744,-0.004958869030303031,0.005745454545454546,5.745454545454546,423.99999999999994,0.18977272727272726,0.5329545454545455,3.7741e-05,6.309959090909093e-05
FundingCore,LINKUSDT,1760,-0.1317797064505937,-7.661610840150796e-05,-0.005354263175562274,0.004983026565760366,-0.1289009610869573,-0.002416709181818182,0.00537878787878788,5.378787878787879,239.33333333333331,0.06477272727272727,0.3431818181818182,5.052131818181818e-05,7.082900000000001e-05
FundingCore,DOGEUSDT,1760,-0.12512713927542307,-7.274833678803667e-05,-0.004134362409480776,0.005371722440626117,-0.12156420859360488,-0.0014173723484848487,0.004980303030303031,4.9803030303030305,277.3333333333333,0.22954545454545455,0.2431818181818182,2.4555954545454548e-05,4.9309999999999994e-05
FundingCore,SOLUSDT,1760,-0.10349133452124043,-6.01693805356049e-05,-0.004862811238815264,0.003138840646696521,-0.09982620812730103,-0.0012318433030303032,0.004896969696969697,4.896969696969697,215.33333333333331,0.21136363636363636,0.15568181818181817,1.8630522727272728e-05,5.9672295454545446e-05
FundingCore,BNBUSDT,1760,-0.08814908135385828,-5.1249465903405974e-05,-0.0037844284404166526,0.002541977271732628,-0.08575520185385828,-0.0018333932272727273,0.004227272727272728,4.2272727272727275,197.33333333333331,0.02727272727272727,0.3090909090909091,3.6978545454545454e-05,3.6978545454545454e-05
Core4,SOLUSDT,1760,-0.08140010845132356,-4.732564444844393e-05,-0.004862811238815265,0.004482915855667227,-0.06927846312414428,-0.0014894657839318313,0.013611111111111112,13.611111111111112,290.3333333333333,0.2676136363636364,0.22727272727272727,1.8630522727272728e-05,5.9672295454545446e-05
Core4,ADAUSDT,1760,-0.07904497620087736,-4.5956381512138e-05,-0.004612820281486829,0.005310141866110077,-0.0655632611209538,-0.0032682849200764536,0.01675,16.75,356.66666666666663,0.19772727272727272,0.4102272727272727,3.7741e-05,6.309959090909093e-05
FundingCore,AVAXUSDT,1760,-0.05281616678166303,-3.07070737102692e-05,-0.0046541906757464595,0.004098895981558007,-0.04581820011499635,-0.0011141545454545455,0.008195454545454546,8.195454545454545,457.33333333333337,0.2863636363636364,0.49318181818181817,2.3983568181818185e-05,7.088475e-05
Core4,ETHUSDT,1760,-0.027651185168422132,-1.6076270446757054e-05,-0.0026292442928724682,0.0030044143596126543,-0.018337892427417894,-0.0028339069421910576,0.012310822008813782,12.310822008813782,262.3333333333333,0.2755681818181818,0.1715909090909091,1.6671454545454546e-05,4.4191090909090915e-05
Core4,AVAXUSDT,1760,-0.013488915748056225,-7.842392876776875e-06,-0.00465419067574646,0.00407470499293298,0.0064965164016089995,7.122585990810118e-05,0.019914206289757118,19.914206289757114,325.0,0.2852272727272727,0.26875,2.3983568181818185e-05,7.088475e-05
FundingCore,ETHUSDT,1760,0.0021685514368384026,1.2607857190920945e-06,-0.00286826650131542,0.0030044143596126543,0.002105943330777798,-0.00362624446969697,0.003730303030303031,3.7303030303030305,339.33333333333337,0.31477272727272726,0.2636363636363636,1.6671454545454546e-05,4.4191090909090915e-05
Core4,BNBUSDT,1760,0.008357205440281195,4.858840372256508e-06,-0.0036305573378508293,0.003682992567829151,0.020099183269757105,-0.0011731666666666668,0.012915144496142578,12.915144496142577,292.66666666666663,0.11704545454545455,0.38181818181818183,3.6978545454545454e-05,3.6978545454545454e-05
Core4,XRPUSDT,1760,0.038267076546469256,2.2248300317714684e-05,-0.005095150028459878,0.0058780223723179275,0.05193878104629976,-0.0001854240638469756,0.014020750889295957,14.020750889295957,237.0,0.2818181818181818,0.12215909090909091,1.3409272727272728e-05,4.237499999999999e-05
FundingCore,XRPUSDT,1760,0.041832261433834075,2.43210822289733e-05,-0.005040252832274124,0.005878022372317926,0.04514723249444014,0.0001255771212121212,0.003272727272727273,3.272727272727273,115.33333333333333,0.15795454545454546,0.038636363636363635,1.3409272727272728e-05,4.237499999999999e-05
Core4,BTCUSDT,1760,0.061973003216192146,3.6030815823367526e-05,-0.0025919543522040017,0.0018757306565751507,0.07043186037725142,-0.0013272314110249145,0.009867899734893429,9.867899734893427,226.66666666666666,0.3164772727272727,0.06988636363636364,2.867590909090909e-06,3.529054545454546e-05
FundingCore,BTCUSDT,1760,0.07272927295140595,4.228446101825928e-05,-0.0025502876855373344,0.0024847181927786545,0.07623421202716353,-0.0020314245606060607,0.0057030303030303035,5.703030303030303,264.0,0.33295454545454545,0.11704545454545455,2.867590909090909e-06,3.529054545454546e-05
Core4,LTCUSDT,1760,0.08870468936554249,5.1572493817175865e-05,-0.002902958140597345,0.003040737587985254,0.10140784055180754,0.0001491178012335932,0.012717655710649953,12.717655710649954,158.66666666666663,0.1784090909090909,0.09204545454545454,2.1705590909090908e-05,4.244109090909091e-05
