object,may_hours,may_total_return_sum,may_negative_return_sum,top1_loss,top3_loss,top5_loss,top10_loss,top3_loss_share_of_negative_loss,top10_loss_share_of_negative_loss,positive_hour_rate
FundingCore,440,-0.09899151398168637,-0.4202325010562511,-0.008057718175704848,-0.02208714281074091,-0.03486256130240193,-0.06192477963478942,0.052559339782679945,0.14735837775312946,0.38181818181818183
Core4,440,-0.11559289716312426,-0.4029798569543693,-0.007225925630558828,-0.019574522747089082,-0.030895360732835712,-0.05570998460807489,0.04857444462616296,0.13824508507476868,0.375
