object,symbol,component_id,rows,net_sum,net_mean,worst_hour_symbol,best_hour_symbol,gross_sum,funding_drag_sum,fee_drag_sum,turnover_sum,abs_position_sum,long_position_share,short_position_share,mean_funding_rate,mean_abs_funding_rate
Core4,BCHUSDT,crypto_a4_1h_002,440,-0.1409772945391443,-0.0003301575984523285,-0.010388452309892734,0.00541912771790801,-0.1390099131502554,-0.0022548408333333335,0.0043040333850314656,4.304033385031466,68.66666666666666,0.4,0.06818181818181818,-5.042513636363636e-05,8.817195454545454e-05
FundingCore,BCHUSDT,funding_rate_h12,440,-0.12729767386764013,-0.00029812101608346636,-0.010388452309892732,0.005911775692263283,-0.12969526947370075,-0.0031339592424242425,0.0008196969696969698,0.8196969696969697,92.33333333333333,0.5545454545454546,0.075,-5.042513636363636e-05,8.817195454545454e-05
Core4,BCHUSDT,crypto_a4_1h_004,440,-0.11395041385974311,-0.0002668627959244569,-0.010388452309892734,0.00541912771790801,-0.11312575552640977,-0.0026336750000000003,0.003540144496142577,3.540144496142577,66.0,0.3840909090909091,0.0659090909090909,-5.042513636363636e-05,8.817195454545454e-05
FundingCore,BCHUSDT,funding_persistence_h12,440,-0.10703465443024344,-0.0002506666380099378,-0.010388452309892732,0.005911775692263283,-0.10977530759691012,-0.00369368346969697,0.0010363636363636365,1.0363636363636364,134.33333333333334,0.6,0.3159090909090909,-5.042513636363636e-05,8.817195454545454e-05
Core4,DOGEUSDT,crypto_a4_1h_002,440,-0.06383851642970907,-0.00014950472231781985,-0.00359195535185022,0.005371722440626118,-0.059833245040820174,-0.0005780619444444446,0.004583333333333334,4.583333333333334,73.0,0.24772727272727274,0.25,2.4555954545454548e-05,4.9309999999999994e-05
Core4,ADAUSDT,crypto_a4_1h_003,440,-0.054349985488489225,-0.00012551959697110676,-0.0043020114942528736,0.003199020499005713,-0.052266904297454564,-0.0008613632534097868,0.002944444444444445,2.9444444444444446,128.33333333333331,0.3,0.575,3.7741e-05,6.309959090909093e-05
FundingCore,SOLUSDT,funding_rate_h12,440,-0.05427727984053943,-0.0001271130675422469,-0.004862811238815264,0.003138840646696521,-0.05376141562841822,-0.0007954994242424244,0.0013113636363636366,1.3113636363636365,77.0,0.2681818181818182,0.25681818181818183,1.8630522727272728e-05,5.9672295454545446e-05
Core4,DOGEUSDT,crypto_a4_1h_004,440,-0.05421723932719156,-0.00012697245744072965,-0.00359195535185022,0.005371722440626118,-0.05152117849385822,-0.0004150502777777779,0.0031111111111111114,3.111111111111111,90.0,0.3068181818181818,0.3068181818181818,2.4555954545454548e-05,4.9309999999999994e-05
FundingCore,ADAUSDT,funding_persistence_h6,440,-0.05209849129680449,-0.00012031984133211198,-0.0043020114942528736,0.003199020499005713,-0.05155743753922872,-0.0011036432121212124,0.0016446969696969698,1.6446969696969698,130.33333333333331,0.2590909090909091,0.6295454545454545,3.7741e-05,6.309959090909093e-05
FundingCore,ADAUSDT,funding_persistence_h12,440,-0.051607297983073765,-0.00012086018263014933,-0.004277889352027292,0.005310141866110076,-0.05179498072549799,-0.001749046378787879,0.0015613636363636366,1.5613636363636365,128.33333333333331,0.24545454545454545,0.6295454545454545,3.7741e-05,6.309959090909093e-05
FundingCore,LINKUSDT,funding_persistence_h6,440,-0.05143586873862051,-0.00011878953519311895,-0.003768101711983902,0.002075566103743284,-0.050465727905287174,-0.00025485916666666665,0.0012250000000000002,1.225,40.666666666666664,0.06363636363636363,0.21363636363636362,5.052131818181818e-05,7.082900000000001e-05
FundingCore,BCHUSDT,funding_rate_h6,440,-0.04917869817998672,-0.00011357667016163215,-0.006469279833349855,0.0049578017551108,-0.05035238627089581,-0.0019100517272727274,0.0007363636363636365,0.7363636363636364,94.33333333333333,0.5681818181818182,0.075,-5.042513636363636e-05,8.817195454545454e-05
Core4,LINKUSDT,crypto_a4_1h_001,440,-0.0472351057156357,-0.00010908800396220717,-0.0038082690617983056,0.004983026565760366,-0.04480826595656916,-0.0006827491815204811,0.0031095889405870214,3.109588940587021,94.0,0.09090909090909091,0.55,5.052131818181818e-05,7.082900000000001e-05
Core4,SOLUSDT,crypto_a4_1h_002,440,-0.04705354770579551,-0.00011019566207446257,-0.004862811238815265,0.003742003417085425,-0.04285256770579551,-0.0006740200000000001,0.004875000000000001,4.875,81.0,0.2863636363636364,0.26590909090909093,1.8630522727272728e-05,5.9672295454545446e-05
FundingCore,DOGEUSDT,funding_persistence_h12,440,-0.04547416245586913,-0.00010649686757814785,-0.003403205790567617,0.005371722440626117,-0.04503094041041458,-0.0006855658333333334,0.0011287878787878789,1.128787878787879,64.0,0.2,0.23636363636363636,2.4555954545454548e-05,4.9309999999999994e-05
Core4,LINKUSDT,crypto_a4_1h_002,440,-0.043246734178431424,-0.00010128040791201739,-0.0053542631755622745,0.004297348437541211,-0.03822189528954253,-0.0012946055555555559,0.006319444444444445,6.319444444444445,85.66666666666666,0.09545454545454546,0.48863636363636365,5.052131818181818e-05,7.082900000000001e-05
FundingCore,AVAXUSDT,funding_rate_h12,440,-0.04239057515047794,-9.927535164046356e-05,-0.0046541906757464595,0.003683306193130239,-0.040654119862599154,-0.00013324168181818178,0.00186969696969697,1.8696969696969699,99.66666666666667,0.2727272727272727,0.4068181818181818,2.3983568181818185e-05,7.088475e-05
Core4,LINKUSDT,crypto_a4_1h_003,440,-0.03841764755849272,-8.872435925748895e-05,-0.003171607116926789,0.0020755661037432844,-0.035120542017790975,-0.00024456112596492547,0.003541666666666667,3.541666666666667,42.33333333333333,0.07727272727272727,0.21136363636363636,5.052131818181818e-05,7.082900000000001e-05
FundingCore,DOGEUSDT,funding_rate_h12,440,-0.035586157969770944,-8.333994840695771e-05,-0.004134362409480776,0.005371722440626117,-0.03446275995461943,-0.0002379656212121213,0.0013613636363636365,1.3613636363636363,74.66666666666666,0.2590909090909091,0.25,2.4555954545454548e-05,4.9309999999999994e-05
Core4,AVAXUSDT,crypto_a4_1h_002,440,-0.03547827042507928,-8.308728436786716e-05,-0.00465419067574646,0.004057229314891341,-0.027821129869523717,-9.526111111111084e-06,0.007666666666666667,7.666666666666667,84.33333333333333,0.27954545454545454,0.29545454545454547,2.3983568181818185e-05,7.088475e-05
FundingCore,BCHUSDT,funding_persistence_h6,440,-0.034731504430886795,-8.021132663022354e-05,-0.006469279833349855,0.0049578017551108,-0.0360621924308868,-0.0022837183030303032,0.0009530303030303031,0.9530303030303031,136.33333333333334,0.6136363636363636,0.3159090909090909,-5.042513636363636e-05,8.817195454545454e-05
Core4,DOGEUSDT,crypto_a4_1h_001,440,-0.034157836744974066,-7.888645899532117e-05,-0.0029062252461586734,0.0034819828415497173,-0.0322507500783074,-0.0003845800000000001,0.002291666666666667,2.291666666666667,70.66666666666666,0.21136363636363636,0.27045454545454545,2.4555954545454548e-05,4.9309999999999994e-05
FundingCore,LINKUSDT,funding_persistence_h12,440,-0.033275493125024515,-7.792855532792627e-05,-0.005354263175562274,0.004339015104207877,-0.03255948386744875,-0.0005089907424242424,0.0013083333333333334,1.3083333333333333,38.666666666666664,0.06363636363636363,0.2,5.052131818181818e-05,7.082900000000001e-05
FundingCore,DOGEUSDT,funding_persistence_h6,440,-0.03215342098145382,-7.425732328280328e-05,-0.0026032177530055604,0.0034819828415497164,-0.03137797772387806,-0.00035334462121212125,0.0011287878787878789,1.128787878787879,64.0,0.2,0.23636363636363636,2.4555954545454548e-05,4.9309999999999994e-05
