seed_id,lane_id,field_primary,field_partner,semantic_type_primary,semantic_type_partner,semantic_pair,operator,operator_origin,window_h,expression,compiler_role,non_l7_evidence,operator_null_margin,role_gate_status,reject_reason,candidate_status,family_cap_status,motif_cap_status
a7ffcore48se_0016,N2_regime_conditioned_seed,mark_trade_basis_bps,source_market_funding,basis_premium_like,funding_like,basis_premium_like|funding_like,Delta,native,4,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(source_market_funding,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0017,N2_regime_conditioned_seed,index_close,source_market_funding,basis_premium_like,funding_like,basis_premium_like|funding_like,Identity,native,4,"Mul(ZScore(index_close),Sign(Delta(source_market_funding,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0018,N2_regime_conditioned_seed,index_close,source_market_funding,basis_premium_like,funding_like,basis_premium_like|funding_like,SignedRankDelta,repaired_native_proxy,4,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(source_market_funding,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0019,N2_regime_conditioned_seed,index_close,source_market_funding,basis_premium_like,funding_like,basis_premium_like|funding_like,SpreadShortLong,repaired_native_proxy,4,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(source_market_funding,16)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0020,N2_regime_conditioned_seed,index_close,source_market_funding,basis_premium_like,funding_like,basis_premium_like|funding_like,WinsorZ,repaired_native_proxy,4,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(source_market_funding,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0021,N2_regime_conditioned_seed,index_close,is_forward_only,basis_premium_like,generic_numeric,basis_premium_like|generic_numeric,AbsDelta,repaired_native_proxy,4,"Mul(Abs(Delta(index_close,4)),Sign(Delta(is_forward_only,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0022,N2_regime_conditioned_seed,mark_trade_basis_bps,source_metrics,basis_premium_like,generic_numeric,basis_premium_like|generic_numeric,CSRank,native,4,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(source_metrics,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0023,N2_regime_conditioned_seed,mark_trade_basis_bps,source_metrics,basis_premium_like,generic_numeric,basis_premium_like|generic_numeric,Delta,native,4,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(source_metrics,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0024,N2_regime_conditioned_seed,index_close,is_forward_only,basis_premium_like,generic_numeric,basis_premium_like|generic_numeric,Identity,native,4,"Mul(ZScore(index_close),Sign(Delta(is_forward_only,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0025,N2_regime_conditioned_seed,index_close,is_forward_only,basis_premium_like,generic_numeric,basis_premium_like|generic_numeric,SignedRankDelta,repaired_native_proxy,4,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(is_forward_only,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
