selector_rank,candidate_id,selector_tier,field_name,field_family,feature_role,source_family,feature_class,transform,label_family,label_horizon_h,orientation_from_train,control_ratio_premay_max,control_margin,premay_positive_split_count,premay_score,one_bar_lag_recent_oriented,lag_score,validation_oriented_tstat,test_oriented_tstat,recent_oriented_tstat,robust_tstat_floor,robust_score,role_priority,selector_score,eligible,reject_reasons,blueprint,allowed_next_use
1,a7af1_queue_031,T0_raw_relative_alpha,mark_index_basis_bps,basis_premium,raw_relative_signal_candidate,mark_index_premium,raw_source,delta_24h,L1_cross_sectional_relative_return,1,-1.0,0.7857862638470471,0.21421373615295292,3,1.0,0.0004787305924585,0.35973442203796047,5.662058569087588,7.286762963771389,4.098221868779841,4.098221868779841,0.8196443737559681,1.0,0.6894780347195291,True,,role_response::mark_index_basis_bps::delta_24h::L1_cross_sectional_relative_return::1h::short_high,ordinary_alpha_candidate_contract_only
2,a7af1_queue_030,T0_raw_relative_alpha,mark_index_basis_bps,basis_premium,raw_relative_signal_candidate,mark_index_premium,raw_source,delta_24h,L0_raw_forward_return,1,-1.0,0.7857862638470475,0.21421373615295247,3,1.0,0.0004787305924585,0.35973442203796047,5.662058569087587,7.286762963771391,4.098221868779841,4.098221868779841,0.8196443737559681,1.0,0.689478034719529,True,,role_response::mark_index_basis_bps::delta_24h::L0_raw_forward_return::1h::short_high,ordinary_alpha_candidate_contract_only
3,a7af1_queue_034,T0_raw_relative_alpha,mark_index_basis_bps,basis_premium,raw_relative_signal_candidate,mark_index_premium,raw_source,delta_24h,L5_vol_adjusted_return,1,-1.0,0.8310629993440081,0.16893700065599193,3,1.0,0.0494657496492833,0.3045179649886882,7.950471701452413,9.024633538457891,7.332632447466704,7.332632447466704,1.0,1.0,0.6879119449123011,True,,role_response::mark_index_basis_bps::delta_24h::L5_vol_adjusted_return::1h::short_high,ordinary_alpha_candidate_contract_only
4,a7af1_queue_000,T1_beta_neutral_alpha_diagnostic,trade_return_1h,price_return,beta_or_neutralized_signal_candidate,derived_replay_base,derived_rolling,level,L2_BTC_ETH_beta_residual_return,1,-1.0,0.7446772813697266,0.25532271863027345,3,1.0,0.0008426025591654,0.9634872330464278,2.050822695000313,3.3953936859146223,2.3502078868281644,2.050822695000313,0.4101645390000626,0.85,0.7118702185145389,True,,role_response::trade_return_1h::level::L2_BTC_ETH_beta_residual_return::1h::short_high,neutralized_alpha_diagnostic_contract_only
5,a7af1_queue_006,T1_beta_neutral_alpha_diagnostic,trade_return_1h,price_return,beta_or_neutralized_signal_candidate,derived_replay_base,derived_rolling,cs_rank,L2_BTC_ETH_beta_residual_return,1,-1.0,0.7446772813697266,0.25532271863027345,3,1.0,0.0008426025591654,0.9634872330464278,2.050822695000313,3.3953936859146223,2.3502078868281644,2.050822695000313,0.4101645390000626,0.85,0.7118702185145389,True,,role_response::trade_return_1h::cs_rank::L2_BTC_ETH_beta_residual_return::1h::short_high,neutralized_alpha_diagnostic_contract_only
6,a7af1_queue_001,T1_beta_neutral_alpha_diagnostic,trade_return_1h,price_return,beta_or_neutralized_signal_candidate,derived_replay_base,derived_rolling,level,L3_liquidity_tier_relative_return,1,-1.0,0.8400746591294805,0.15992534087051946,3,1.0,0.0007834855702813,0.9394619680545634,1.753779184798708,3.727809922431488,2.1193857346587506,1.753779184798708,0.3507558369597416,0.85,0.6784762141217885,True,,role_response::trade_return_1h::level::L3_liquidity_tier_relative_return::1h::short_high,neutralized_alpha_diagnostic_contract_only
7,a7af1_queue_023,T1_beta_neutral_alpha_diagnostic,liquidity_rank_active_universe,liquidity,beta_or_neutralized_signal_candidate,trade_ohlcv,derived_cross_section,level,L2_BTC_ETH_beta_residual_return,4,-1.0,0.986634721522299,0.01336527847770097,3,1.0,0.0011960355482528,0.9751689688203066,2.161478233675296,2.4201326340702107,3.719234762407528,1.1818188186115688,0.23636376372231377,0.85,0.6357530413147026,True,,role_response::liquidity_rank_active_universe::level::L2_BTC_ETH_beta_residual_return::4h::short_high,neutralized_alpha_diagnostic_contract_only
8,a7af1_queue_024,T1_beta_neutral_alpha_diagnostic,liquidity_rank_active_universe,liquidity,beta_or_neutralized_signal_candidate,trade_ohlcv,derived_cross_section,cs_rank,L2_BTC_ETH_beta_residual_return,4,-1.0,0.986634721522299,0.01336527847770097,3,1.0,0.0011960355482528,0.9751689688203066,2.161478233675296,2.4201326340702107,3.719234762407528,1.1818188186115688,0.23636376372231377,0.85,0.6357530413147026,True,,role_response::liquidity_rank_active_universe::cs_rank::L2_BTC_ETH_beta_residual_return::4h::short_high,neutralized_alpha_diagnostic_contract_only
9,a7af1_queue_027,T1_beta_neutral_alpha_diagnostic,premium_close_bps,basis_premium,beta_or_neutralized_signal_candidate,derived_replay_base,derived_rolling,delta_24h,L5_vol_adjusted_return,1,-1.0,0.8578286912670068,0.14217130873299322,3,1.0,0.0471641596947673,0.5431188247283768,2.390736894903998,4.012118472128077,4.318800277797495,2.390736894903998,0.4781473789807996,0.85,0.6273253887905849,True,,role_response::premium_close_bps::delta_24h::L5_vol_adjusted_return::1h::short_high,neutralized_alpha_diagnostic_contract_only
10,a7af1_queue_019,T2_downside_risk_defense,trade_count,liquidity,downside_avoidance_signal_candidate,trade_ohlcv,raw_source,level,L6_downside_avoidance,1,-1.0,0.4318372919802808,0.5681627080197191,3,1.0,0.0023996110818994,0.8259050900259411,4.674677449475993,9.26146196003964,14.964563161235102,4.674677449475993,0.9349354898951987,0.7,0.7844199894983408,True,,role_response::trade_count::level::L6_downside_avoidance::1h::short_high,risk_defense_downside_contract_only
11,a7af1_queue_021,T2_downside_risk_defense,trade_count,liquidity,downside_avoidance_signal_candidate,trade_ohlcv,raw_source,cs_rank,L6_downside_avoidance,1,-1.0,0.4318372919802808,0.5681627080197191,3,1.0,0.0023996110818994,0.8259050900259411,4.674677449475993,9.26146196003964,14.964563161235102,4.674677449475993,0.9349354898951987,0.7,0.7844199894983408,True,,role_response::trade_count::cs_rank::L6_downside_avoidance::1h::short_high,risk_defense_downside_contract_only
