candidate_id,expression,objective_family,source_stage,field_families,fields,operator_signature,window_signature,skeleton_key,production_key,historical_source_ok,field_lineage_ok,pit_policy_ok,negative_control_attached,selected_for_family_balanced_preflight,preflight_decision,shared_pool_stage,control_modes
a7al2x3_c6d040e141ee4a7a,"Mul(Winsor(ZScore(Delta(open_interest_last,12))),Winsor(ZScore(Delta(index_close,12))))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mul|Winsor|ZScore,12,skeleton-0f95d494e3163e7b,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mul|Winsor|ZScore::12,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_a685d04007266d3e,"Mul(Sign(Delta(open_interest_last,12)),Rank(Delta(index_close,12)))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mul|Rank|Sign,12,skeleton-57a021ebecabcc57,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mul|Rank|Sign::12,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_8943bb8dd3c5f640,"Add(ZScore(Delta(open_interest_last,168)),Neg(Rank(Mean(mark_index_basis_bps,168))))",F1_OI_basis_premium_interaction,a7al2x3_family_balanced_dry_generation,basis|open_interest,open_interest_last|mark_index_basis_bps,Add|Delta|Mean|Neg|Rank|ZScore,168,skeleton-0f63c80be98e501f,a7al2x3::F1_OI_basis_premium_interaction::open_interest_last|mark_index_basis_bps::Add|Delta|Mean|Neg|Rank|ZScore::168,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_8133b78c17250336,"Mul(Clip(ZScore(Mean(mark_index_basis_bps,168))),Sign(Delta(open_interest_last,168)))",F1_OI_basis_premium_interaction,a7al2x3_family_balanced_dry_generation,basis|open_interest,open_interest_last|mark_index_basis_bps,Clip|Delta|Mean|Mul|Sign|ZScore,168,skeleton-2f4edf4dd2dd7cdd,a7al2x3::F1_OI_basis_premium_interaction::open_interest_last|mark_index_basis_bps::Clip|Delta|Mean|Mul|Sign|ZScore::168,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_dcf6359c32accfb4,"Mul(Clip(ZScore(Mean(funding_rate_abs_168h,168))),Sign(Delta(open_interest_last,168)))",F2_OI_funding_crowding_interaction,a7al2x3_family_balanced_dry_generation,funding|open_interest,open_interest_last|funding_rate_abs_168h,Clip|Delta|Mean|Mul|Sign|ZScore,168,skeleton-2f4edf4dd2dd7cdd,a7al2x3::F2_OI_funding_crowding_interaction::open_interest_last|funding_rate_abs_168h::Clip|Delta|Mean|Mul|Sign|ZScore::168,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_0bd3d497403b3991,"Add(ZScore(Delta(open_interest_last,168)),Neg(ZScore(Mean(funding_rate_abs_168h,168))))",F2_OI_funding_crowding_interaction,a7al2x3_family_balanced_dry_generation,funding|open_interest,open_interest_last|funding_rate_abs_168h,Add|Delta|Mean|Neg|ZScore,168,skeleton-35edb41b49f7651a,a7al2x3::F2_OI_funding_crowding_interaction::open_interest_last|funding_rate_abs_168h::Add|Delta|Mean|Neg|ZScore::168,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_93725c2d40077dd9,"Mul(Sign(Delta(top_long_short_account_ratio_last,168)),Rank(Delta(index_close,12)))",F3_positioning_divergence,a7al2x3_family_balanced_dry_generation,positioning|price,top_long_short_account_ratio_last|index_close,Delta|Mul|Rank|Sign,12|168,skeleton-57a021ebecabcc57,a7al2x3::F3_positioning_divergence::top_long_short_account_ratio_last|index_close::Delta|Mul|Rank|Sign::12|168,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_afebb1f45f8929ea,"Sub(Rank(Mean(top_long_short_account_ratio_last,168)),Rank(Mean(global_long_short_account_ratio_last,168)))",F3_positioning_divergence,a7al2x3_family_balanced_dry_generation,positioning,top_long_short_account_ratio_last|global_long_short_account_ratio_last,Mean|Rank|Sub,168,skeleton-612ffe194eccb811,a7al2x3::F3_positioning_divergence::top_long_short_account_ratio_last|global_long_short_account_ratio_last::Mean|Rank|Sub::168,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_1fd71f89fcb97240,"Mul(Clip(ZScore(Mean(kline_taker_buy_quote_share,12))),Sign(Delta(open_interest_last,12)))",F4_OI_taker_flow_interaction,a7al2x3_family_balanced_dry_generation,open_interest|taker_flow,open_interest_last|kline_taker_buy_quote_share,Clip|Delta|Mean|Mul|Sign|ZScore,12,skeleton-2f4edf4dd2dd7cdd,a7al2x3::F4_OI_taker_flow_interaction::open_interest_last|kline_taker_buy_quote_share::Clip|Delta|Mean|Mul|Sign|ZScore::12,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_a551e0d946a6abf3,"Sub(ZScore(Delta(open_interest_last,12)),ZScore(Mean(kline_taker_buy_quote_share,12)))",F4_OI_taker_flow_interaction,a7al2x3_family_balanced_dry_generation,open_interest|taker_flow,open_interest_last|kline_taker_buy_quote_share,Delta|Mean|Sub|ZScore,12,skeleton-30d3ba252910d42c,a7al2x3::F4_OI_taker_flow_interaction::open_interest_last|kline_taker_buy_quote_share::Delta|Mean|Sub|ZScore::12,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
