shard_id,blueprint_id,expression,semantic_pair,motif,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,robust_median_tstat_floor,robust_min_tstat_floor,robust_ok,cost2_recent_oriented,cost5_recent_oriented,cost10_recent_oriented,avg_n_obs_recent,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,non_l7_bonus,score_no_may,skeleton_key,finite_share,nonzero_share
s000,a7ls15_6b338a109f660b8c,"Mul(Sub(CSRank(Decay(premium_abs_state,240)),CSRank(ZScore(Mean(trade_volume,12)))),Sign(ZScore(Mean(trade_volume,12))))",basis_premium_like|liquidity_like,signed_spread,L5_vol_adjusted_return,24,-1.0,3,True,0.6678077210487531,0.3536971237166459,True,1.6429718476931514,2.006329039851168,True,0.3577387925878742,0.3571387925878742,0.3561387925878742,94.93333333333334,A7LS21s000_NUMERIC_CLUE,2113,-0.0676016778059864,-1.7309074332009684,-0.39737950099522,-0.937872929093486,0.4675816374822527,2136,-0.2618120255874152,-7.999845342504877,-1.7379580667283792,-2.2507385041901355,0.4012172284644195,2136,-0.4501303608285155,-8.247891878114824,-1.6429718476931514,-2.006329039851168,0.4489700374531835,2136,-0.3581387925878742,-9.243165169637226,-1.905424252395344,-2.687685561191264,0.4344569288389513,1.0,363.4709848668255,skel_7ced7a1852c7e2ed,0.9968358853659416,0.99122837767392
s000,a7ls15_54ad1703758fd224,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,336)),CSRank(Delta(age_percentile_active_universe,8))),Sign(Delta(age_percentile_active_universe,8)))",basis_premium_like|listing_age_like,signed_spread,L5_vol_adjusted_return,1,1.0,3,True,0.6582502605705914,0.0956878566870509,True,1.6200527544603218,1.6200527544603218,True,0.1691129703918549,0.1685129703918549,0.1675129703918549,95.95555555555556,A7LS21s000_NUMERIC_CLUE,218,0.0112166202150049,0.4550810214346235,0.4550810214346235,0.4550810214346235,0.536697247706422,354,0.056194027958292,3.812085441381537,3.812085441381537,3.812085441381537,0.6242937853107344,308,0.0510422183043007,1.6200527544603218,1.6200527544603218,1.6200527544603218,0.6168831168831169,8,0.1695129703918549,1.6887782417329626,1.6887782417329626,1.6887782417329626,0.75,1.0,174.85472013128438,skel_d2c2cd29eb5fbfcd,0.898604047181041,0.1067168934649967
s000,a7ls15_6dde8445b9dc0331,"Mul(Delta(mark_index_basis_bps,2),Sign(Mean(Delta(age_percentile_active_universe,24),24)))",basis_premium_like|listing_age_like,state_gate,L3_liquidity_tier_relative_return,1,-1.0,3,True,0.7136356048782919,0.0008787699654946,True,1.860723290470081,1.860723290470081,True,0.0014562921119594,0.0008562921119594,-0.0001437078880405,95.95555555555556,A7LS21s000_NUMERIC_CLUE,990,-0.0001842248058311,-1.400534117025302,-1.400534117025302,-1.400534117025302,0.4828282828282828,1376,-0.000623207558814,-6.0610699186293004,-6.0610699186293004,-6.0610699186293004,0.3997093023255814,1249,-0.000547331345431,-3.6911770707306015,-3.6911770707306015,-3.6911770707306015,0.4115292233787029,47,-0.0018562921119594,-1.860723290470081,-1.860723290470081,-1.860723290470081,0.2978723404255319,1.0,7.142656507081118,skel_c614d64ff6a8da31,0.9290909172888936,0.4257804253667059
s001,a7ls15_7355ef8aa37d5217,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,2)),CSRank(TSRank(mark_index_basis_bps,336))),Sign(TSRank(mark_index_basis_bps,336)))",basis_premium_like,signed_spread,L5_vol_adjusted_return,8,1.0,3,True,0.704647431811402,0.0812296731006051,True,1.5677693004329103,0.0930324882781997,True,0.2802943074110803,0.2796943074110803,0.2786943074110803,95.64444444444445,A7LS21s001_NUMERIC_CLUE,2129,0.010634964484459,0.5923684549575969,0.2125243891760926,-1.132885646899006,0.5082198215124472,2152,0.0786081934802012,4.453275132266043,1.5677693004329103,0.0930324882781997,0.5683085501858736,2152,0.1840329233736101,8.474299266778235,3.1242956369821737,1.9205247101881024,0.5994423791821561,2152,0.2806943074110803,10.295059214731957,4.095762863506104,1.5964873193311908,0.6161710037174721,1.0,285.989659979269,skel_d2c2cd29eb5fbfcd,0.9965924052231,0.9933164652029774
s001,a7ls15_42dc6539d51aca8b,"Mul(CSRank(mark_trade_basis_bps),Abs(ZScore(Mean(global_long_short_account_ratio_mean,120))))",basis_premium_like|positioning_like,mul,L5_vol_adjusted_return,8,1.0,3,True,0.8968254973927643,0.074204946295067,True,1.0386718607317762,0.0453651603439867,True,0.2535583662703907,0.2529583662703907,0.2519583662703907,95.64444444444445,A7LS21s001_NUMERIC_CLUE,2129,0.0205938540911032,1.098136349622225,0.350740566861298,-0.7924675173526613,0.5166744950681071,2152,0.0469360727813859,2.75196808246506,1.0386718607317762,0.0453651603439867,0.5455390334572491,2152,0.1472642816231492,6.817115746169739,2.219422958152698,1.6050637101994687,0.5636617100371747,2152,0.2539583662703907,10.014063544762587,3.667787000146604,1.9702635958923336,0.578996282527881,1.0,259.061540772998,skel_a923757a8885923c,0.9974028784763552,1.0
s001,a7ls15_83b2ec53c58ee01a,"Mul(ZScore(Mean(listing_age_days,336)),Delta(mark_index_basis_bps,3))",listing_age_like|basis_premium_like,mul,L5_vol_adjusted_return,24,-1.0,3,True,0.8941119031940247,0.0403776306979354,True,0.3907548217304548,2.221907367151027,True,0.143373970634782,0.142773970634782,0.141773970634782,94.93333333333334,A7LS21s001_NUMERIC_CLUE,2113,-0.0329741708291274,-1.0783186395511468,-0.0607605781698637,-2.5151293265924872,0.4983435873166114,2136,-0.076190027853999,-2.4816485395178427,-0.5553030970141815,-2.221907367151027,0.4634831460674157,2136,-0.0753259243307241,-1.9436962368233783,-0.3907548217304548,-3.071792377548034,0.476123595505618,2136,-0.143773970634782,-2.988865934527773,-0.506737774155875,-2.762826384778245,0.4611423220973782,1.0,148.87985873158806,skel_eaa129218e1e1a2f,0.965449491397035,0.9986222759301095
s001,a7ls15_6843b56cd44c4d9e,"Mul(Sub(CSRank(TSRank(mark_trade_basis_bps,96)),CSRank(CSRank(trade_return_1h))),Sign(CSRank(trade_return_1h)))",basis_premium_like|price_like,signed_spread,L7_ranked_future_return,8,1.0,3,True,0.1715079733682944,0.0157400831228956,True,3.77413604271675,2.324089253583737,True,0.0593561861059479,0.0587561861059479,0.0577561861059479,95.64444444444445,A7LS21s001_RANK_LABEL_DIAGNOSTIC_CLUE,2128,0.0323902450649983,8.755768285618585,2.83060324526938,1.5313895331099503,0.5798872180451128,2152,0.035225103077319,9.993566092315923,3.77413604271675,2.324089253583737,0.587360594795539,2152,0.0443743158574202,12.993476024229212,4.662410059904586,3.618673894965839,0.6115241635687733,2152,0.0597561861059479,18.69138880808089,6.238557714859756,4.64662146271398,0.6589219330855018,0.0,64.58467813257965,skel_50fabfec06d9bf09,0.9972946650795368,0.993560791015625
s002,a7ls15_982c459fa90224ed,"Sub(CSRank(top_long_short_account_ratio_last),CSRank(mark_index_basis_bps))",positioning_like|basis_premium_like,spread_rank,L5_vol_adjusted_return,4,1.0,3,True,0.7410211446473306,0.0620203057187454,True,1.679158361676849,1.0060891714340998,True,0.1676736498347924,0.1670736498347924,0.1660736498347924,95.82222222222222,A7LS21s002_NUMERIC_CLUE,2156,0.020218460201408,1.3543614004557845,0.6777183504610802,0.0592063531203901,0.5120593692022264,2156,0.0522388570025942,3.1777369573699605,1.679158361676849,1.0060891714340998,0.5208719851576994,2156,0.0598749375391026,3.679531768663364,1.8480277313518976,1.267722923569035,0.5473098330241187,2156,0.1680736498347924,8.636888959028177,4.305108723611932,3.7127829798742407,0.5630797773654916,1.0,173.33262869014513,skel_293cae94cfd91548,0.9991072394762472,0.9883984096468188
s002,a7ls15_04d0fe57519a6e45,"Mean(Mul(Decay(open_interest_mean,16),Delta(top_long_short_position_ratio_mean,4)),4)",open_interest_like|positioning_like,smooth_mul,L5_vol_adjusted_return,4,-1.0,3,True,0.6466220440763166,0.0498861742525123,True,1.3462417254580783,2.169284760906279,True,0.0577183789149708,0.0571183789149708,0.0561183789149708,95.82222222222222,A7LS21s002_NUMERIC_CLUE,2138,-0.0257165491868727,-1.8993526156102856,-0.6784500071865347,-2.014258657950881,0.480355472404116,2156,-0.0445726021829715,-3.594535290207997,-1.8602694521336167,-2.385363015455894,0.4638218923933209,2156,-0.0351968419695176,-2.521797549105427,-1.3462417254580783,-2.169284760906279,0.4730983302411873,2156,-0.0581183789149708,-3.4965919976755164,-1.7887230099801172,-2.4806149850942685,0.4851576994434137,1.0,63.47175687089457,skel_8a80c8785bbf365b,0.9980521588572664,1.0
s002,a7ls15_15e77eac9947540d,"Mul(Decay(funding_state_x_basis_delta,96),Mean(median_quote_volume_168h,96))",funding_state_like|liquidity_like,mul,L7_ranked_future_return,4,-1.0,3,True,0.7200861691615081,0.0299220883902803,True,1.2421612501082162,1.3437737650465305,True,0.0299639203471792,0.0293639203471792,0.0283639203471792,95.82222222222222,A7LS21s002_RANK_LABEL_DIAGNOSTIC_CLUE,2133,-0.0077865376013157,-2.1119273156038143,-1.0552398929329243,-1.4287429257631812,0.4838255977496484,2156,-0.0082178874138449,-2.3362595612591157,-1.2421612501082162,-1.3437737650465305,0.4795918367346938,2156,-0.0191452340766754,-5.75710591621214,-2.883843188274882,-3.020616487022871,0.4666048237476808,2156,-0.0303639203471792,-9.180638929239972,-4.531650712099239,-4.858753161821946,0.4230055658627087,0.0,34.64383417801776,skel_8727d93aac220fc6,0.9395098384013274,0.9227353495554144
