shard_id,decision,label_family,count
s000,A7LS21s000_NUMERIC_CLUE,L0_raw_forward_return,1
s000,A7LS21s000_NUMERIC_CLUE,L1_cross_sectional_relative_return,1
s000,A7LS21s000_NUMERIC_CLUE,L3_liquidity_tier_relative_return,1
s000,A7LS21s000_NUMERIC_CLUE,L5_vol_adjusted_return,3
s000,A7LS21s000_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,2
s000,HOLD_A7LS21s000_CONTROL_DOMINATED,L0_raw_forward_return,8
s000,HOLD_A7LS21s000_CONTROL_DOMINATED,L1_cross_sectional_relative_return,8
s000,HOLD_A7LS21s000_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,7
s000,HOLD_A7LS21s000_CONTROL_DOMINATED,L5_vol_adjusted_return,11
s000,HOLD_A7LS21s000_CONTROL_DOMINATED,L7_ranked_future_return,12
s000,HOLD_A7LS21s000_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,4
s000,HOLD_A7LS21s000_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,4
s000,HOLD_A7LS21s000_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,4
s000,HOLD_A7LS21s000_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,5
s000,HOLD_A7LS21s000_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,9
s000,HOLD_A7LS21s000_PRE_MAY_UNSTABLE,L0_raw_forward_return,35
s000,HOLD_A7LS21s000_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,35
s000,HOLD_A7LS21s000_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,36
s000,HOLD_A7LS21s000_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,29
s000,HOLD_A7LS21s000_PRE_MAY_UNSTABLE,L7_ranked_future_return,25
s001,A7LS21s001_NUMERIC_CLUE,L5_vol_adjusted_return,3
s001,A7LS21s001_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,1
s001,HOLD_A7LS21s001_CONTROL_DOMINATED,L0_raw_forward_return,12
s001,HOLD_A7LS21s001_CONTROL_DOMINATED,L1_cross_sectional_relative_return,12
s001,HOLD_A7LS21s001_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,11
s001,HOLD_A7LS21s001_CONTROL_DOMINATED,L5_vol_adjusted_return,7
s001,HOLD_A7LS21s001_CONTROL_DOMINATED,L7_ranked_future_return,6
