field,canonical_field,route,dependencies,dependency_status,in_a7aif3_field_matrix,in_extension_registry,contract_status,formula_usage_count,is_system_required,example_expression
account_position_divergence,account_position_divergence,derived_dep_generated,top_long_short_account_ratio_last;top_long_short_position_ratio_last,deps_resolved,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,1103,False,"Mul(Neg(SafeDiv(TSRank(mark_index_basis_bps,8),Abs(Decay(account_position_divergence,168)))),Sign(Decay(top_global_account_divergence,24)))"
age_percentile_active_universe,age_percentile_active_universe,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,439,False,"SafeDiv(ZScore(Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),CSRank(age_percentile_active_universe))),Abs(ZScore(Mean(open_interest_last,168))))"
age_x_volatility,age_x_volatility,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,1096,False,"Mul(Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,36)),Decay(age_x_volatility,96)),Sign(Decay(liquidity_cycle_state,24)))"
basis_abs_168h,basis_abs_168h,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,586,False,"Neg(SafeDiv(TSRank(basis_abs_168h,8),Abs(Decay(account_position_divergence,168))))"
basis_dislocation_state,R5_basis_premium_dislocation_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,275,False,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)),Sign(TSRank(basis_dislocation_state,240)))"
global_long_short_account_ratio_last,global_long_short_account_ratio_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,451,False,"Neg(SafeDiv(TSRank(mark_index_basis_bps,8),Abs(Decay(global_long_short_account_ratio_last,168))))"
global_long_short_account_ratio_mean,global_long_short_account_ratio_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1552,False,"Neg(SafeDiv(TSRank(mark_index_basis_bps,8),Abs(Decay(global_long_short_account_ratio_mean,168))))"
leverage_crowding_state,R4_leverage_crowding_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,576,False,"Mul(Neg(SafeDiv(TSRank(mark_index_basis_bps,8),Abs(Decay(account_position_divergence,168)))),Sign(Decay(leverage_crowding_state,24)))"
liquidity_cycle_state,R3_liquidity_cycle_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,566,False,"Mul(Neg(SafeDiv(TSRank(mark_index_basis_bps,8),Abs(Decay(account_position_divergence,168)))),Sign(Decay(liquidity_cycle_state,24)))"
listing_age_days,listing_age_days,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,86,False,"ZScore(Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),CSRank(listing_age_days)))"
log1p_listing_age_days,log1p_listing_age_days,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,86,False,"ZScore(Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),CSRank(log1p_listing_age_days)))"
mark_index_basis_bps,mark_index_basis_bps,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,2575,False,"Mul(Neg(SafeDiv(TSRank(mark_index_basis_bps,8),Abs(Decay(account_position_divergence,168)))),Sign(Decay(top_global_account_divergence,24)))"
mark_trade_basis_bps,mark_trade_basis_bps,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,72,False,"Neg(SafeDiv(TSRank(mark_trade_basis_bps,8),Abs(Decay(account_position_divergence,168))))"
market_breadth_state,R2_market_breadth_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,518,False,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)),Sign(TSRank(market_breadth_state,24)))"
open_interest_change_24h,open_interest_change_24h,latent_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,65,False,"ZScore(SafeDiv(Abs(ZScore(Mean(open_interest_change_24h,8))),Abs(Decay(account_position_divergence,120))))"
open_interest_last,open_interest_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,763,False,"Sub(CSRank(Mul(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)),Sign(TSRank(leverage_crowding_state,240)))),CSRank(Delta(open_interest_last,24)))"
open_interest_mean,open_interest_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,761,False,"ZScore(SafeDiv(Abs(ZScore(Mean(open_interest_mean,8))),Abs(Decay(account_position_divergence,120))))"
