candidate_id,decision,reasons,warnings,label_t1_positive_premay_splits,label_t2_positive_premay_splits,one_bar_lag_positive_premay_splits,latent_positive_premay_splits,net_10bps_positive_premay_splits,control_ratio_premay_max,top_symbol_abs_contribution_share,top_month_abs_contribution_share,top_latent_abs_contribution_share,pre_may_control_ratio_max,pre_may_control_gates,may_control_ratio_max,may_gate_max,premay_positive_split_count,min_split_mean_spread,max_split_mean_spread,a7al2s_tier,allowed_as_seed_for_large_search,allowed_as_seed_for_company_full_qr_comparison,allowed_for_may_stress_failure_attribution,allowed_for_local_expansion_before_full_pool
a7al2q_69d146749c30da3c,A7AL2R_LOCAL_FORENSIC_PASS,,,3,3,3,3,3,0.6386744001375635,0.0449619372406618,0.2969904166274211,0.2029412537152442,1.049028058407117,ELIGIBLE_DIAGNOSTIC;HOLD_CONTROL_DOMINATED,2.047495730206119,HOLD_CONTROL_DOMINATED,4,0.0013587131600953,0.0020830231620469,primary_clean_premay__may_control_dominated,False,False,True,False
a7al2q_3abec814a5c6d0df,HOLD_A7AL2R_LATENT_FRAGILE,timevarying_latent_fragile,control_close,3,3,3,2,3,0.8201729427179055,0.0430687699726312,0.3139296443559934,0.2019342594007362,0.8385505712891709,ELIGIBLE_DIAGNOSTIC;WARN_CONTROL_CLOSE,1.5194960112890334,HOLD_CONTROL_DOMINATED,4,0.0015646138420975,0.0024237290525547,hold_timevarying_latent_fragile__may_control_dominated,False,False,True,False
a7al2q_1378ff7d2322adee,A7AL2R_LOCAL_FORENSIC_PASS,,,3,3,3,3,3,0.5977895485931952,0.0445498272264011,0.2897293591915247,0.2035102347394666,0.8716560101906301,ELIGIBLE_DIAGNOSTIC;WARN_CONTROL_CLOSE,1.1844655797854338,HOLD_CONTROL_DOMINATED,4,0.0013906428607702,0.0020241938879875,primary_clean_premay__may_control_dominated,False,False,True,False
a7al2q_a4993fe3273bf0c8,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3,3,3,3,3,0.9553990254446422,0.0445405875831374,0.296252764575212,0.2029201015411791,1.0468969756315754,ELIGIBLE_DIAGNOSTIC;HOLD_CONTROL_DOMINATED;WARN_CONTROL_CLOSE,1.6344406631131283,HOLD_CONTROL_DOMINATED,4,0.0013505004532579,0.002068724876724,watchlist_control_close__may_control_dominated,False,False,True,False
a7al2q_0de0d41346741bd1,A7AL2R_LOCAL_FORENSIC_PASS,,,3,3,3,3,3,0.6438314312964573,0.0445558048280246,0.2892728857383039,0.2036129071849568,0.864621324308874,ELIGIBLE_DIAGNOSTIC;WARN_CONTROL_CLOSE,1.215722607865385,HOLD_CONTROL_DOMINATED,4,0.0013845499852167,0.0019944981182763,primary_clean_premay__may_control_dominated,False,False,True,False
a7al2q_5da100b2822dc1a6,A7AL2R_LOCAL_FORENSIC_PASS,,,3,3,3,3,3,0.7821360461711647,0.0444900371846226,0.2865330406113265,0.2028933167484852,0.8357258792210284,ELIGIBLE_DIAGNOSTIC;WARN_CONTROL_CLOSE,2.04793252723278,HOLD_CONTROL_DOMINATED,4,0.0013989795265435,0.001976159559404,primary_clean_premay__may_control_dominated,False,False,True,False
a7al2q_132c2a7c6c4a9142,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3,3,3,3,3,0.8147654685480294,0.0447030778873562,0.2818882560000429,0.2072343562073227,0.9812118076400712,ELIGIBLE_DIAGNOSTIC;WARN_CONTROL_CLOSE,1.2192282763605269,HOLD_CONTROL_DOMINATED,4,0.0011913457209027,0.0019205383643471,watchlist_control_close__may_control_dominated,False,False,True,False
a7al2q_f00f22bbcc48dc2c,A7AL2R_LOCAL_FORENSIC_PASS,,,3,3,3,3,3,0.7371290356519459,0.0450271148930863,0.2852357571105751,0.2046259429881021,0.7625024999687683,ELIGIBLE_DIAGNOSTIC,2.7761562178053643,HOLD_CONTROL_DOMINATED,4,0.0012416904062501,0.0019676917927021,primary_clean_premay__may_control_dominated,False,False,True,False
a7al2q_d6f7ebc0dbbdda7a,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3,3,3,3,3,0.8138625769990896,0.0450585090983562,0.2865316235260094,0.2046041151414527,0.829293498674171,ELIGIBLE_DIAGNOSTIC;WARN_CONTROL_CLOSE,1.9656091495260264,HOLD_CONTROL_DOMINATED,4,0.0012726986952293,0.0019598947667496,watchlist_control_close__may_control_dominated,False,False,True,False
a7al2q_6671d1fac5e57efe,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3,3,3,3,3,0.8901761602600439,0.0449654771741479,0.2787882254441636,0.2069863582303616,0.979673889287454,ELIGIBLE_DIAGNOSTIC;WARN_CONTROL_CLOSE,1.1301620202730456,HOLD_CONTROL_DOMINATED,4,0.0012287183664675,0.0018786088374806,watchlist_control_close__may_control_dominated,False,False,True,False
