field_name,canonical_field,route,dependencies,dependency_status,already_in_a7aif3_matrix,already_in_ontology_v3,formula_usage_count,source_field_names,pit_lag_required,feature_available_time_primary,same_bar_execution_allowed,timing_ok,allowed_for_search,allowed_for_label,selector_primary_allowed,selector_diagnostic_allowed,must_attach_controls,enforcement_status,enforcement_reason,backfill_decision,semantic_type_v3,data_behavior_v3,compiler_role_v3,allowed_roles_v3,semantic_role,source_family,feature_class,ordinary_alpha_allowed,diagnostic_allowed,risk_defense_allowed
account_position_divergence,account_position_divergence,derived_dep_generated,top_long_short_account_ratio_last;top_long_short_position_ratio_last,deps_resolved,False,False,362,top_long_short_account_ratio_last;top_long_short_position_ratio_last,+1h primary,timestamp + 1h,False,True,True,False,False,True,True,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,resolved_by_schema_or_runner_extension_but_not_in_shared_field_contract,PASS_BACKFILL_ROW_READY,positioning_like,slow_moving,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,risk_exposure_or_control_like,derived_positioning,derived_cross_positioning_spread,False,True,True
open_interest_value_change_24h,open_interest_value_change_24h,derived_dep_generated,open_interest_value_last,deps_resolved,False,False,5,open_interest_value_last,+1h primary,timestamp + 1h,False,True,True,False,False,True,True,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,resolved_by_schema_or_runner_extension_but_not_in_shared_field_contract,PASS_BACKFILL_ROW_READY,open_interest_like,slow_moving,exploratory_interaction_seed,diagnostic|interaction_modifier,regime_state_or_interaction_input,derived_open_interest,derived_delta,False,True,False
premium_abs_state,premium_abs_state,derived_dep_generated,premium_close_bps,deps_resolved,False,False,58,premium_close_bps,+1h primary,timestamp + 1h,False,True,True,False,False,True,True,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,resolved_by_schema_or_runner_extension_but_not_in_shared_field_contract,PASS_BACKFILL_ROW_READY,basis_premium_like,continuous_panel,regime_neutralizer_interaction_seed,regime|diagnostic|interaction_modifier,regime_state_or_interaction_input,derived_basis_premium,derived_abs_state,False,True,False
top_global_account_divergence,top_global_account_divergence,derived_dep_generated,global_long_short_account_ratio_last;top_long_short_account_ratio_last,deps_resolved,False,False,104,global_long_short_account_ratio_last;top_long_short_account_ratio_last,+1h primary,timestamp + 1h,False,True,True,False,False,True,True,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,resolved_by_schema_or_runner_extension_but_not_in_shared_field_contract,PASS_BACKFILL_ROW_READY,positioning_like,slow_moving,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,risk_exposure_or_control_like,derived_positioning,derived_cross_positioning_spread,False,True,True
age_percentile_active_universe,age_percentile_active_universe,latent_schema,,not_applicable,False,True,18,age_percentile_active_universe,+1h primary,timestamp + 1h,False,True,True,False,False,True,True,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,resolved_by_schema_or_runner_extension_but_not_in_shared_field_contract,PASS_BACKFILL_ROW_READY,listing_age_like,listing_age_sensitive,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,risk_exposure_or_control_like,latent_state_features,latent_numeric_state,False,True,True
age_x_volatility,age_x_volatility,latent_schema,,not_applicable,False,True,303,age_x_volatility,+1h primary,timestamp + 1h,False,True,True,False,False,True,True,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,resolved_by_schema_or_runner_extension_but_not_in_shared_field_contract,PASS_BACKFILL_ROW_READY,age_x_volatility,listing_age_sensitive,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,regime_state_or_interaction_input,latent_state_features,latent_numeric_state,False,True,False
basis_abs_168h,basis_abs_168h,latent_schema,,not_applicable,False,True,212,basis_abs_168h,+1h primary,timestamp + 1h,False,True,True,False,False,True,True,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,resolved_by_schema_or_runner_extension_but_not_in_shared_field_contract,PASS_BACKFILL_ROW_READY,basis_premium_like,slow_moving,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,regime_state_or_interaction_input,latent_state_features,latent_numeric_state,False,True,False
listing_age_days,listing_age_days,latent_schema,,not_applicable,False,True,28,listing_age_days,+1h primary,timestamp + 1h,False,True,True,False,False,True,True,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,resolved_by_schema_or_runner_extension_but_not_in_shared_field_contract,PASS_BACKFILL_ROW_READY,listing_age_like,listing_age_sensitive,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,risk_exposure_or_control_like,latent_state_features,latent_numeric_state,False,True,True
log1p_listing_age_days,log1p_listing_age_days,latent_schema,,not_applicable,False,True,18,log1p_listing_age_days,+1h primary,timestamp + 1h,False,True,True,False,False,True,True,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,resolved_by_schema_or_runner_extension_but_not_in_shared_field_contract,PASS_BACKFILL_ROW_READY,listing_age_like,listing_age_sensitive,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,risk_exposure_or_control_like,latent_state_features,latent_numeric_state,False,True,True
premium_abs_168h,premium_abs_168h,latent_schema,,not_applicable,False,True,68,premium_abs_168h,+1h primary,timestamp + 1h,False,True,True,False,False,True,True,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,resolved_by_schema_or_runner_extension_but_not_in_shared_field_contract,PASS_BACKFILL_ROW_READY,basis_premium_like,slow_moving,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,regime_state_or_interaction_input,latent_state_features,latent_numeric_state,False,True,False
