field_name,source_field_names,source_family,feature_class,feature_role,semantic_role,contract_present,uses_future,uses_label,allowed_for_rank,allowed_for_regime,allowed_for_search,allowed_for_label,allowed_for_neutralization,pit_lag_required,feature_available_time_primary,same_bar_execution_allowed,timing_ok,ordinary_alpha_allowed,diagnostic_allowed,risk_defense_allowed,generator_allowed_any_mode,selector_primary_allowed,selector_diagnostic_allowed,must_attach_controls,semantic_type_v3,data_behavior_v3,compiler_role_v3,allowed_roles_v3,enforcement_status,enforcement_reason
account_position_divergence,top_long_short_account_ratio_last;top_long_short_position_ratio_last,derived_positioning,derived_cross_positioning_spread,contract_backfill_interaction_only,risk_exposure_or_control_like,True,False,False,True,True,True,False,True,+1h primary,timestamp + 1h,False,True,False,True,True,True,False,True,True,positioning_like,slow_moving,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
open_interest_value_change_24h,open_interest_value_last,derived_open_interest,derived_delta,contract_backfill_interaction_only,regime_state_or_interaction_input,True,False,False,True,True,True,False,False,+1h primary,timestamp + 1h,False,True,False,True,False,True,False,True,True,open_interest_like,slow_moving,exploratory_interaction_seed,diagnostic|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
premium_abs_state,premium_close_bps,derived_basis_premium,derived_abs_state,contract_backfill_interaction_only,regime_state_or_interaction_input,True,False,False,True,True,True,False,False,+1h primary,timestamp + 1h,False,True,False,True,False,True,False,True,True,basis_premium_like,continuous_panel,regime_neutralizer_interaction_seed,regime|diagnostic|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
top_global_account_divergence,global_long_short_account_ratio_last;top_long_short_account_ratio_last,derived_positioning,derived_cross_positioning_spread,contract_backfill_interaction_only,risk_exposure_or_control_like,True,False,False,True,True,True,False,True,+1h primary,timestamp + 1h,False,True,False,True,True,True,False,True,True,positioning_like,slow_moving,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
age_percentile_active_universe,nan,latent_state_features,latent_numeric_state,contract_backfill_interaction_only,risk_exposure_or_control_like,True,False,False,True,True,True,False,True,+1h primary,timestamp + 1h,False,True,False,True,True,True,False,True,True,listing_age_like,listing_age_sensitive,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
age_x_volatility,nan,latent_state_features,latent_numeric_state,contract_backfill_interaction_only,regime_state_or_interaction_input,True,False,False,True,True,True,False,False,+1h primary,timestamp + 1h,False,True,False,True,False,True,False,True,True,age_x_volatility,listing_age_sensitive,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
basis_abs_168h,nan,latent_state_features,latent_numeric_state,contract_backfill_interaction_only,regime_state_or_interaction_input,True,False,False,True,True,True,False,False,+1h primary,timestamp + 1h,False,True,False,True,False,True,False,True,True,basis_premium_like,slow_moving,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
listing_age_days,nan,latent_state_features,latent_numeric_state,contract_backfill_interaction_only,risk_exposure_or_control_like,True,False,False,True,True,True,False,True,+1h primary,timestamp + 1h,False,True,False,True,True,True,False,True,True,listing_age_like,listing_age_sensitive,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
log1p_listing_age_days,nan,latent_state_features,latent_numeric_state,contract_backfill_interaction_only,risk_exposure_or_control_like,True,False,False,True,True,True,False,True,+1h primary,timestamp + 1h,False,True,False,True,True,True,False,True,True,listing_age_like,listing_age_sensitive,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
premium_abs_168h,nan,latent_state_features,latent_numeric_state,contract_backfill_interaction_only,regime_state_or_interaction_input,True,False,False,True,True,True,False,False,+1h primary,timestamp + 1h,False,True,False,True,False,True,False,True,True,basis_premium_like,slow_moving,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
rolling_coverage_168h,nan,latent_state_features,latent_numeric_state,contract_backfill_interaction_only,risk_exposure_or_control_like,True,False,False,True,True,True,False,True,+1h primary,timestamp + 1h,False,True,False,True,True,True,False,True,True,coverage_like,missingness_sensitive,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
sqrt_listing_age_days,nan,latent_state_features,latent_numeric_state,contract_backfill_interaction_only,risk_exposure_or_control_like,True,False,False,True,True,True,False,True,+1h primary,timestamp + 1h,False,True,False,True,True,True,False,True,True,listing_age_like,listing_age_sensitive,regime_neutralizer_interaction_seed,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
basis_dislocation_state,nan,upper_regime_state,upper_regime_alias,contract_backfill_interaction_only,regime_state_or_interaction_input,True,False,False,True,True,True,False,True,+1h primary,timestamp + 1h,False,True,False,True,True,True,False,True,True,basis_dislocation_regime,categorical_state,state_conditioning_only,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
leverage_crowding_state,nan,upper_regime_state,upper_regime_alias,contract_backfill_interaction_only,regime_state_or_interaction_input,True,False,False,True,True,True,False,True,+1h primary,timestamp + 1h,False,True,False,True,True,True,False,True,True,leverage_crowding_regime,categorical_state,state_conditioning_only,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
liquidity_cycle_state,nan,upper_regime_state,upper_regime_alias,contract_backfill_interaction_only,regime_state_or_interaction_input,True,False,False,True,True,True,False,True,+1h primary,timestamp + 1h,False,True,False,True,True,True,False,True,True,liquidity_regime,categorical_state,state_conditioning_only,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
market_breadth_state,nan,upper_regime_state,upper_regime_alias,contract_backfill_interaction_only,regime_state_or_interaction_input,True,False,False,True,True,True,False,True,+1h primary,timestamp + 1h,False,True,False,True,True,True,False,True,True,market_breadth_regime,categorical_state,state_conditioning_only,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
stress_proxy_state,nan,upper_regime_state,upper_regime_alias,contract_backfill_interaction_only,regime_state_or_interaction_input,True,False,False,True,True,True,False,True,+1h primary,timestamp + 1h,False,True,False,True,True,True,False,True,True,stress_regime,categorical_state,state_conditioning_only,regime|neutralizer|interaction_modifier,OK_CONTRACT_BACKFILL_INTERACTION_ONLY,backfilled_from_a7ls_field_gate0_contract_drift
