family,reason,candidate_count
F0_low_turnover_price_basis,cost20_recent_nonpositive,41
F0_low_turnover_price_basis,lag1_recent_nonpositive,31
F0_low_turnover_price_basis,negative_control_not_dominated,22
F0_low_turnover_price_basis,raw_recent_nonpositive,32
F0_low_turnover_price_basis,raw_validation_nonpositive,37
F0_low_turnover_price_basis,residual_core4_recent_nonpositive,39
F0_low_turnover_price_basis,residual_funding_recent_nonpositive,38
F1_funding_residual_controls,cost20_recent_nonpositive,10
F1_funding_residual_controls,lag1_recent_nonpositive,9
F1_funding_residual_controls,negative_control_not_dominated,8
F1_funding_residual_controls,raw_recent_nonpositive,9
F1_funding_residual_controls,raw_validation_nonpositive,7
F1_funding_residual_controls,residual_core4_recent_nonpositive,11
F1_funding_residual_controls,residual_funding_recent_nonpositive,8
F2_metrics_crowding_oi_interaction,cost20_recent_nonpositive,45
F2_metrics_crowding_oi_interaction,lag1_recent_nonpositive,40
F2_metrics_crowding_oi_interaction,negative_control_not_dominated,64
F2_metrics_crowding_oi_interaction,raw_recent_nonpositive,40
F2_metrics_crowding_oi_interaction,raw_validation_nonpositive,28
F2_metrics_crowding_oi_interaction,residual_core4_recent_nonpositive,42
F2_metrics_crowding_oi_interaction,residual_funding_recent_nonpositive,41
F3_cross_symbol_relative_strength,cost20_recent_nonpositive,6
F3_cross_symbol_relative_strength,lag1_recent_nonpositive,4
F3_cross_symbol_relative_strength,negative_control_not_dominated,10
F3_cross_symbol_relative_strength,raw_recent_nonpositive,3
F3_cross_symbol_relative_strength,raw_validation_nonpositive,5
F3_cross_symbol_relative_strength,residual_core4_recent_nonpositive,4
F3_cross_symbol_relative_strength,residual_funding_recent_nonpositive,4
F4_volatility_liquidity_capped,cost20_recent_nonpositive,10
F4_volatility_liquidity_capped,lag1_recent_nonpositive,8
F4_volatility_liquidity_capped,negative_control_not_dominated,16
F4_volatility_liquidity_capped,raw_recent_nonpositive,8
F4_volatility_liquidity_capped,raw_validation_nonpositive,9
F4_volatility_liquidity_capped,residual_core4_recent_nonpositive,8
F4_volatility_liquidity_capped,residual_funding_recent_nonpositive,8
