variant,split,finite_ratio_count,dominance_count,median_control_abs_ratio,max_control_abs_ratio
wrong_lag_future_24h,validation_2025H1,40,37,4.358372984611475,140.094652177364
wrong_lag_future_24h,recent_oos_2026JanApr,40,27,3.2426933075912365,47.075190844549496
wrong_lag_stale_168h,validation_2025H1,40,24,1.3755418277742506,11.937559038259195
wrong_lag_future_24h,test_2025H2,41,20,0.9170571425703595,102.38988656421587
symbol_shuffle,validation_2025H1,40,17,0.7560983941680521,17.446544401158732
wrong_lag_stale_168h,test_2025H2,40,16,0.7209641265415729,19.878782551951655
symbol_shuffle,test_2025H2,41,14,0.6039514823695001,20.86756122739921
wrong_lag_stale_168h,recent_oos_2026JanApr,40,13,0.5412266227437629,11.67829689375178
symbol_shuffle,recent_oos_2026JanApr,40,13,0.797568301956266,5.983453865412224
time_shuffle,validation_2025H1,40,11,0.5227472181716656,5.9389230664011015
time_shuffle,test_2025H2,41,8,0.4938748225879858,19.255829302717217
same_family_random,test_2025H2,41,8,0.1644374938984856,5.1769140531689635
same_family_random,validation_2025H1,40,7,0.2850359099073184,4.500173770354691
same_family_random,recent_oos_2026JanApr,40,6,0.22686403364364965,6.084706992090679
time_shuffle,recent_oos_2026JanApr,40,4,0.2775498229137725,4.173153848095526
