candidate_id,objective_family,expression,fields,operator_signature,skeleton_key,orientation_from_train,train_oriented_spread,pre_may_sign_pattern,pre_may_positive_splits,pre_may_negative_splits,pre_may_missing_splits,validation_oriented_spread,test_oriented_spread,recent_oriented_spread,validation_oriented_tstat,test_oriented_tstat,recent_oriented_tstat,validation_oriented_nonoverlap_min_tstat,test_oriented_nonoverlap_min_tstat,recent_oriented_nonoverlap_min_tstat,one_bar_recent_oriented_spread,one_bar_recent_retention,cost10_recent_proxy,max_control_ratio_premay,max_control_variant,max_control_split,may_oriented_spread,may_stress_clean,x7_decision,failure_root
a7al2x3_c6d040e141ee4a7a,F0_OI_delta_price_interaction,"Mul(Winsor(ZScore(Delta(open_interest_last,12))),Winsor(ZScore(Delta(index_close,12))))",open_interest_last|index_close,Delta|Mul|Winsor|ZScore,skeleton-0f95d494e3163e7b,-1.0,0.0011829763856955,-/-/+,1,2,0,-0.0001009197133353,-0.0024605195746768,0.0034155072491653,-0.1988089548023782,-3.838783927790715,3.641260567598674,1.7394432985441328,1.1785864467163,2.2673500415676244,0.0039249992624968,1.149170233339722,0.0014155072491653,19.252186224094217,wrong_lag_future_24h,validation_2025H1,-0.0003462106873,False,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_a685d04007266d3e,F0_OI_delta_price_interaction,"Mul(Sign(Delta(open_interest_last,12)),Rank(Delta(index_close,12)))",open_interest_last|index_close,Delta|Mul|Rank|Sign,skeleton-57a021ebecabcc57,1.0,0.0001700258728893,+/-/-,1,2,0,0.0016278157953877,-0.0009016825953666,-0.0044701094546829,3.479385230109098,-1.4661475217721889,-4.487062935482648,-0.7095677391132313,-1.2183423141168457,-2.02049271611374,-0.0047270540643699,1.057480608090664,-0.0064701094546829,8.897420616594141,wrong_lag_future_24h,test_2025H2,-0.001799727044944,False,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_7ea2d37cbc880c31,F0_OI_delta_price_interaction,"Sub(ZScore(Delta(open_interest_last,12)),ZScore(Delta(index_close,12)))",open_interest_last|index_close,Delta|Sub|ZScore,skeleton-7bb80280bed53044,-1.0,0.0003511517984476,-/-/+,1,2,0,-0.0017344978770374,-0.0021764089855339,0.0028684737499387,-3.3052428949609185,-3.347956127351634,3.12781048569189,1.0698406739871376,0.3596427171507096,1.6327993736402833,0.0032888599066995,1.1465539493850287,0.0008684737499387,7.145069553152193,wrong_lag_future_24h,recent_oos_2026JanApr,0.0055033891077305,True,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_e2d80967eacd522d,F0_OI_delta_price_interaction,"Sub(Rank(Mean(Delta(open_interest_last,12),12)),Rank(Mean(Delta(index_close,12),12)))",open_interest_last|index_close,Delta|Mean|Rank|Sub,skeleton-97885bc9cf5b75ae,-1.0,0.0013512230066385,-/+/+,2,1,0,-0.0004869276971416,0.0022729453118022,0.0053360113821703,-1.0578425142133685,4.387651327905761,6.50309205822817,1.074745039991548,3.209778022714637,3.803523153421213,0.0050722705824315,0.9505734188236441,0.0033360113821703,28.676020436528535,wrong_lag_future_24h,validation_2025H1,-0.0005683390733682,False,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_66e1442493b16731,F0_OI_delta_price_interaction,"Mul(Winsor(ZScore(Delta(open_interest_last,168))),Winsor(ZScore(Delta(index_close,12))))",open_interest_last|index_close,Delta|Mul|Winsor|ZScore,skeleton-0f95d494e3163e7b,1.0,0.0004839691342546,-/+/-,1,2,0,-0.0021725180452066,0.0036331291385403,-0.0010701579740818,-4.154409889316035,5.391884986664757,-1.1217291539181615,-2.724226441276893,-0.802924237133368,-1.8677998355019323,-0.0010568018492943,0.9875194830006667,-0.0030701579740818,2.5710928857881727,wrong_lag_future_24h,recent_oos_2026JanApr,-0.0018124697027221,False,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_93c3678f22a08669,F0_OI_delta_price_interaction,"Mul(Winsor(ZScore(Delta(open_interest_last,24))),Winsor(ZScore(Delta(index_close,12))))",open_interest_last|index_close,Delta|Mul|Winsor|ZScore,skeleton-0f95d494e3163e7b,1.0,0.0004620438617485,-/+/-,1,2,0,-0.0005999617818396,0.0043347400259069,-0.0038854319867594,-1.1424578889189965,6.777218949031874,-4.534389451664567,-1.558027633414214,-0.2939008318886156,-3.074688675673217,-0.0042259932317244,1.0876508059143872,-0.0058854319867594,4.049637767986298,symbol_shuffle,validation_2025H1,5.714627523024804e-05,True,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_4cd7689ef5bcda11,F0_OI_delta_price_interaction,"Mul(Winsor(ZScore(Delta(open_interest_last,12))),Winsor(ZScore(Delta(index_close,336))))",open_interest_last|index_close,Delta|Mul|Winsor|ZScore,skeleton-0f95d494e3163e7b,1.0,0.001133881843848,+/+/+,3,0,0,0.0004076415739012,0.0038277740697969,0.0014215489382877,0.7775078580309488,6.0138383339603925,1.532031548261907,-1.2985624312524473,0.018772775487505,-1.276379969950236,0.0013550782236713,0.9532406427762761,-0.0005784510617122,6.73361833328335,wrong_lag_future_24h,validation_2025H1,0.0002721806997548,True,HOLD_A7AL2X7_CONTROL_DOMINATED,matched_control_dominated
a7al2x3_035db391f91d7640,F0_OI_delta_price_interaction,"Mul(Winsor(ZScore(Delta(open_interest_last,12))),Winsor(ZScore(Delta(index_close,48))))",open_interest_last|index_close,Delta|Mul|Winsor|ZScore,skeleton-0f95d494e3163e7b,-1.0,0.0034344073195447,-/-/-,0,3,0,-0.0001384466561787,-0.0009245385332138,-0.0006359097568003,-0.2517366097123613,-1.4538567371857392,-0.6786574566380603,2.0300952158605043,1.137570441600278,1.4337829608292814,-0.000785773573268,1.2356683709678684,-0.0026359097568003,13.325585746036495,wrong_lag_future_24h,validation_2025H1,-0.0009845614058514,False,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_8943bb8dd3c5f640,F1_OI_basis_premium_interaction,"Add(ZScore(Delta(open_interest_last,168)),Neg(Rank(Mean(mark_index_basis_bps,168))))",open_interest_last|mark_index_basis_bps,Add|Delta|Mean|Neg|Rank|ZScore,skeleton-0f63c80be98e501f,1.0,0.0027477371541343,+/-/-,1,2,0,0.0023740179465029,-0.0063279147451901,-0.0067837558825163,4.939663004562824,-8.44157209088346,-4.487154501074546,0.2675688832505061,-2.330033215978658,-1.2890694395182565,-0.0064809032522435,0.9553562015618311,-0.0087837558825163,1.561684326935551,wrong_lag_future_24h,validation_2025H1,-0.0057955266106968,False,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_8133b78c17250336,F1_OI_basis_premium_interaction,"Mul(Clip(ZScore(Mean(mark_index_basis_bps,168))),Sign(Delta(open_interest_last,168)))",open_interest_last|mark_index_basis_bps,Clip|Delta|Mean|Mul|Sign|ZScore,skeleton-2f4edf4dd2dd7cdd,-1.0,0.0021293688236716,+/-/-,1,2,0,0.0037830713164988,-0.004230468284588,-0.0055815389464446,6.654857974880413,-7.748497299003844,-4.102585899242124,2.110132515016321,-1.050616157117296,-0.2244129304030592,-0.0055513578721639,0.9945926966432931,-0.0075815389464446,1.6828397211175385,wrong_lag_future_24h,validation_2025H1,-0.002617229924299,False,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
