candidate_id,family,expression,horizon,source_fields
a7af1_G0_basis_premium_dynamic_24_bf4d24fd0a63,G0_basis_premium_dynamic,Rank(mark_index_basis_change_24h),24,mark_index_basis_change_24h
a7af1_G0_basis_premium_dynamic_24_6ba3f6312d83,G0_basis_premium_dynamic,Neg(Rank(mark_index_basis_change_24h)),24,mark_index_basis_change_24h
a7af1_G0_basis_premium_dynamic_24_45b5ca565883,G0_basis_premium_dynamic,Rank(mark_index_basis_zscore_168h),24,mark_index_basis_zscore_168h
a7af1_G0_basis_premium_dynamic_24_d4a745b6fa68,G0_basis_premium_dynamic,Neg(Rank(mark_index_basis_zscore_168h)),24,mark_index_basis_zscore_168h
a7af1_G0_basis_premium_dynamic_24_9ff1f2f4d951,G0_basis_premium_dynamic,Rank(premium_index_change_24h),24,premium_index_change_24h
a7af1_G0_basis_premium_dynamic_24_34f0c66594e8,G0_basis_premium_dynamic,Neg(Rank(premium_index_change_24h)),24,premium_index_change_24h
a7af1_G0_basis_premium_dynamic_24_98a5afb82379,G0_basis_premium_dynamic,Rank(premium_index_bps),24,premium_index_bps
a7af1_G0_basis_premium_dynamic_24_1da5d3dcb336,G0_basis_premium_dynamic,Neg(Rank(premium_index_bps)),24,premium_index_bps
a7af1_G1_crowding_x_basis_dynamic_24_d1936e5cf8d5,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",24,global_long_short_account_ratio_zscore_168h;mark_index_basis_change_24h
a7af1_G1_crowding_x_basis_dynamic_24_2db9e7972b5e,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_basis_zscore_168h))",24,global_long_short_account_ratio_zscore_168h;mark_index_basis_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_24_030ccc9f4545,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(premium_index_change_24h))",24,global_long_short_account_ratio_zscore_168h;premium_index_change_24h
