control_id,base_candidate_id,family,control_mode,raw_validation_2025H1_ann_10bps_lag0,raw_validation_2025H1_sharpe_10bps_lag0,raw_validation_2025H1_sum_10bps_lag0,raw_validation_2025H1_active_hours_10bps_lag0,raw_recent_2025H2_2026Apr_ann_10bps_lag0,raw_recent_2025H2_2026Apr_sharpe_10bps_lag0,raw_recent_2025H2_2026Apr_sum_10bps_lag0,raw_recent_2025H2_2026Apr_active_hours_10bps_lag0,raw_may_2026_stress_ann_10bps_lag0,raw_may_2026_stress_sharpe_10bps_lag0,raw_may_2026_stress_sum_10bps_lag0,raw_may_2026_stress_active_hours_10bps_lag0,control_research_like
a7af1_G0_basis_premium_dynamic_24_bf4d24fd0a63__sign_flip,a7af1_G0_basis_premium_dynamic_24_bf4d24fd0a63,G0_basis_premium_dynamic,sign_flip,-7.81254151638972,-14.848279873381468,-3.874164423195998,4344,-9.153094489215901,-20.841926011279675,-7.623399245812696,7296,-9.479046775449426,-35.6538827123195,-0.5453698144779122,504,False
a7af1_G0_basis_premium_dynamic_24_bf4d24fd0a63__row_shuffle,a7af1_G0_basis_premium_dynamic_24_bf4d24fd0a63,G0_basis_premium_dynamic,row_shuffle,-12.326605351805178,-28.91434678097708,-6.112645393634897,4344,-11.401268966950932,-34.45063754362277,-9.495851413570092,7296,-11.932765993224802,-46.83638220955583,-0.6865427009800571,504,False
a7af1_G0_basis_premium_dynamic_24_bf4d24fd0a63__time_shuffle,a7af1_G0_basis_premium_dynamic_24_bf4d24fd0a63,G0_basis_premium_dynamic,time_shuffle,-10.72216860138225,-20.929631677422922,-5.309676643013265,4338,-11.171945232804385,-28.566109416210107,-9.293374989891046,7287,-12.351171339408777,-47.72872270262966,-0.7106153373358475,504,False
a7af1_G0_basis_premium_dynamic_24_bf4d24fd0a63__wrong_lag_stale_24h,a7af1_G0_basis_premium_dynamic_24_bf4d24fd0a63,G0_basis_premium_dynamic,wrong_lag_stale_24h,-9.720735368531473,-18.67115543206063,-4.820419456723826,4344,-8.72286419335545,-20.12390429735312,-7.265070451452211,7296,-11.151267007037855,-40.051422279381164,-0.6415797456103972,504,False
a7af1_G0_basis_premium_dynamic_24_6ba3f6312d83__sign_flip,a7af1_G0_basis_premium_dynamic_24_6ba3f6312d83,G0_basis_premium_dynamic,sign_flip,-12.30426407955225,-23.422445923682613,-6.101566570956048,4344,-10.372299093424912,-23.61275631325951,-8.638846368222392,7296,-10.946316633071875,-41.8180483315025,-0.6297880802589297,504,False
a7af1_G0_basis_premium_dynamic_24_6ba3f6312d83__row_shuffle,a7af1_G0_basis_premium_dynamic_24_6ba3f6312d83,G0_basis_premium_dynamic,row_shuffle,-11.698220510794762,-27.222276479988675,-5.8010353765858955,4344,-11.717604109300835,-36.89608023828314,-9.75931958692453,7296,-11.682107364948859,-50.454357715986625,-0.672121245654592,504,False
a7af1_G0_basis_premium_dynamic_24_6ba3f6312d83__time_shuffle,a7af1_G0_basis_premium_dynamic_24_6ba3f6312d83,G0_basis_premium_dynamic,time_shuffle,-12.542949354034196,-26.669850376244863,-6.20990540507378,4337,-11.567048302933001,-29.26471660216288,-9.622041208158993,7287,-11.404541108531117,-46.60314867269993,-0.6561516802168588,504,False
a7af1_G0_basis_premium_dynamic_24_6ba3f6312d83__wrong_lag_stale_24h,a7af1_G0_basis_premium_dynamic_24_6ba3f6312d83,G0_basis_premium_dynamic,wrong_lag_stale_24h,-10.395032458033096,-19.979630807590556,-5.154796917545179,4344,-10.805295817417095,-24.987102199506168,-8.999479256150128,7296,-9.123461480848526,-32.79369604074916,-0.5249114824597783,504,False
a7af1_G0_basis_premium_dynamic_24_45b5ca565883__sign_flip,a7af1_G0_basis_premium_dynamic_24_45b5ca565883,G0_basis_premium_dynamic,sign_flip,-8.045210468361132,-15.506733280833581,-3.989542725406479,4344,-8.74820244081873,-20.09832181168822,-7.286174087695599,7296,-7.79842452952912,-28.049951080354123,-0.44867647978112746,504,False
a7af1_G0_basis_premium_dynamic_24_45b5ca565883__row_shuffle,a7af1_G0_basis_premium_dynamic_24_45b5ca565883,G0_basis_premium_dynamic,row_shuffle,-11.93916263790742,-28.155277416665797,-5.9205162670171045,4344,-12.129353289587101,-36.84650266637131,-10.102255890505422,7296,-11.0707460181804,-50.57288866836821,-0.6369470311829819,504,False
