blueprint_id,source_candidate_id,track_id,selector_tier,blueprint_family,variant_name,seed_field,interaction_field,field_family,feature_role,label_family,label_horizon_h,expression,skeleton,skeleton_key,production_key,static_ok,blocked_terms,uses_may,authorizes_numeric_replay,authorizes_formula_search
a7ag1_c3b77a2f29996eac67,a7af1_queue_031,G0_ordinary_alpha_basis_premium,T0_raw_relative_alpha,single_seed_transform,rank,mark_index_basis_bps,,basis_premium,raw_relative_signal_candidate,L1_cross_sectional_relative_return,1,"CSRank(Delta(mark_index_basis_bps,24))","CSRank(Delta(FIELD,))",8b958b1792df,26e1b693862c,True,,False,False,False
a7ag1_a566d1ba1c3e151b65,a7af1_queue_031,G0_ordinary_alpha_basis_premium,T0_raw_relative_alpha,single_seed_transform,zscore_168h,mark_index_basis_bps,,basis_premium,raw_relative_signal_candidate,L1_cross_sectional_relative_return,1,"ZScore(Delta(mark_index_basis_bps,24),168)","ZScore(Delta(FIELD,),)",b936f4b28f1a,bd9fbe578c79,True,,False,False,False
a7ag1_a8e5cd5675e914043f,a7af1_queue_031,G0_ordinary_alpha_basis_premium,T0_raw_relative_alpha,single_seed_transform,tsrank_168h,mark_index_basis_bps,,basis_premium,raw_relative_signal_candidate,L1_cross_sectional_relative_return,1,"TSRank(Delta(mark_index_basis_bps,24),168)","TSRank(Delta(FIELD,),)",dcecd9c52ca6,fa2bdf3c2c11,True,,False,False,False
a7ag1_99a53c01976530e969,a7af1_queue_031,G0_ordinary_alpha_basis_premium,T0_raw_relative_alpha,single_seed_transform,winsor_rank,mark_index_basis_bps,,basis_premium,raw_relative_signal_candidate,L1_cross_sectional_relative_return,1,"Winsor(CSRank(Delta(mark_index_basis_bps,24)),0.01,0.99)","Winsor(CSRank(Delta(FIELD,)),,)",acbbefffa710,e1d8b09079b1,True,,False,False,False
a7ag1_9cb665f32085a084bc,a7af1_queue_031,G0_ordinary_alpha_basis_premium,T0_raw_relative_alpha,seed_interaction,mul_rank,mark_index_basis_bps,realized_vol_24h,basis_premium,raw_relative_signal_candidate,L1_cross_sectional_relative_return,1,"Mul(Delta(mark_index_basis_bps,24),CSRank(realized_vol_24h))","Mul(Delta(FIELD,),CSRank(FIELDFIELD))",2a637f242373,8549a9324a75,True,,False,False,False
a7ag1_ade6a49ff2e87a8d32,a7af1_queue_031,G0_ordinary_alpha_basis_premium,T0_raw_relative_alpha,seed_interaction,sub_rank,mark_index_basis_bps,realized_vol_24h,basis_premium,raw_relative_signal_candidate,L1_cross_sectional_relative_return,1,"Sub(Delta(mark_index_basis_bps,24),CSRank(realized_vol_24h))","Sub(Delta(FIELD,),CSRank(FIELDFIELD))",dfc506bdd709,e0a47f51b994,True,,False,False,False
a7ag1_fa67d0ebe7000a2f11,a7af1_queue_031,G0_ordinary_alpha_basis_premium,T0_raw_relative_alpha,seed_interaction,div_rank,mark_index_basis_bps,realized_vol_24h,basis_premium,raw_relative_signal_candidate,L1_cross_sectional_relative_return,1,"SafeDiv(Delta(mark_index_basis_bps,24),Add(Abs(CSRank(realized_vol_24h)),0.01))","SafeDiv(Delta(FIELD,),Add(Abs(CSRank(FIELDFIELD)),))",f848051eb175,054842e76531,True,,False,False,False
a7ag1_5740cf1771f80b25c0,a7af1_queue_031,G0_ordinary_alpha_basis_premium,T0_raw_relative_alpha,seed_interaction,mul_delta,mark_index_basis_bps,realized_vol_24h,basis_premium,raw_relative_signal_candidate,L1_cross_sectional_relative_return,1,"Mul(Delta(mark_index_basis_bps,24),ZScore(Delta(realized_vol_24h,24),168))","Mul(Delta(FIELD,),ZScore(Delta(FIELDFIELD,),))",f1b4ac3afa8e,e4ec739c9e58,True,,False,False,False
a7ag1_73a8624e96afeb8cde,a7af1_queue_031,G0_ordinary_alpha_basis_premium,T0_raw_relative_alpha,seed_interaction,mul_rank,mark_index_basis_bps,realized_vol_168h,basis_premium,raw_relative_signal_candidate,L1_cross_sectional_relative_return,1,"Mul(Delta(mark_index_basis_bps,24),CSRank(realized_vol_168h))","Mul(Delta(FIELD,),CSRank(FIELDFIELD))",2a637f242373,88bc21b3dfc9,True,,False,False,False
a7ag1_890f3ad00afd01d8c9,a7af1_queue_031,G0_ordinary_alpha_basis_premium,T0_raw_relative_alpha,seed_interaction,sub_rank,mark_index_basis_bps,realized_vol_168h,basis_premium,raw_relative_signal_candidate,L1_cross_sectional_relative_return,1,"Sub(Delta(mark_index_basis_bps,24),CSRank(realized_vol_168h))","Sub(Delta(FIELD,),CSRank(FIELDFIELD))",dfc506bdd709,13b899bb7cdd,True,,False,False,False
