track_id,skeleton_key,count
G0_ordinary_alpha_basis_premium,2a637f242373,6
G0_ordinary_alpha_basis_premium,991e7002320e,6
G0_ordinary_alpha_basis_premium,af6290dc5099,6
G0_ordinary_alpha_basis_premium,ce7aff9206dc,6
G0_ordinary_alpha_basis_premium,dfc506bdd709,6
G0_ordinary_alpha_basis_premium,f1b4ac3afa8e,6
G0_ordinary_alpha_basis_premium,f848051eb175,6
G0_ordinary_alpha_basis_premium,fd0e972f2ff5,6
G0_ordinary_alpha_basis_premium,8b958b1792df,3
G0_ordinary_alpha_basis_premium,acbbefffa710,3
G0_ordinary_alpha_basis_premium,b936f4b28f1a,3
G0_ordinary_alpha_basis_premium,dcecd9c52ca6,3
G1_neutralized_alpha_diagnostic,059364bfcd69,4
G1_neutralized_alpha_diagnostic,4b2285b6c7fe,4
G1_neutralized_alpha_diagnostic,9239eb89dc08,4
G1_neutralized_alpha_diagnostic,d8c4d4e4947f,4
G1_neutralized_alpha_diagnostic,115d8645925d,2
G1_neutralized_alpha_diagnostic,1871676b1ee3,2
G1_neutralized_alpha_diagnostic,1f8f40056065,2
G1_neutralized_alpha_diagnostic,29e4156b8e9c,2
G1_neutralized_alpha_diagnostic,2a131caa6993,2
G1_neutralized_alpha_diagnostic,2a637f242373,2
G1_neutralized_alpha_diagnostic,3ea464855ca6,2
G1_neutralized_alpha_diagnostic,414b09b8a011,2
G1_neutralized_alpha_diagnostic,763c8c8cd22e,2
G1_neutralized_alpha_diagnostic,7cec62405567,2
G1_neutralized_alpha_diagnostic,801934fedab6,2
G1_neutralized_alpha_diagnostic,942aae2eb94e,2
G1_neutralized_alpha_diagnostic,9b3b3d4cfdb9,2
G1_neutralized_alpha_diagnostic,b5c1ac518295,2
G1_neutralized_alpha_diagnostic,ca93f0caf936,2
G1_neutralized_alpha_diagnostic,cef27d4e4c98,2
G1_neutralized_alpha_diagnostic,d18a3ec4db05,2
G1_neutralized_alpha_diagnostic,d8d76d7e1e6e,2
G1_neutralized_alpha_diagnostic,df5093826312,2
G1_neutralized_alpha_diagnostic,dfc506bdd709,2
