field,canonical_field,route,dependencies,dependency_status,in_a7aif3_field_matrix,in_extension_registry,contract_status,formula_usage_count,is_system_required,example_expression
account_position_divergence,account_position_divergence,derived_dep_generated,top_long_short_account_ratio_last;top_long_short_position_ratio_last,deps_resolved,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,1271,False,"Sub(CSRank(Decay(liquidity_cycle_state,16)),CSRank(CSRank(Delta(account_position_divergence,6))))"
age_percentile_active_universe,age_percentile_active_universe,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,713,False,"SafeDiv(Abs(ZScore(Mean(top_long_short_account_ratio_last,4))),Abs(Decay(age_percentile_active_universe,48)))"
age_x_volatility,age_x_volatility,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,748,False,"SafeDiv(TSRank(top_long_short_account_ratio_mean,8),Abs(CSRank(age_x_volatility)))"
basis_abs_168h,basis_abs_168h,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,1194,False,"SafeDiv(TSRank(basis_abs_168h,336),Abs(ZScore(Mean(premium_abs_168h,96))))"
basis_dislocation_state,R5_basis_premium_dislocation_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,738,False,"Sub(CSRank(Decay(basis_dislocation_state,504)),CSRank(Sign(TSRank(log1p_listing_age_days,504))))"
global_long_short_account_ratio_last,global_long_short_account_ratio_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1175,False,"Mul(CSRank(Abs(ZScore(Mean(global_long_short_account_ratio_last,504)))),Sign(CSRank(Delta(account_position_divergence,6))))"
global_long_short_account_ratio_mean,global_long_short_account_ratio_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1209,False,"Mul(ZScore(Mean(global_long_short_account_ratio_mean,48)),Decay(top_long_short_position_ratio_last,8))"
leverage_crowding_state,R4_leverage_crowding_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,775,False,"Mul(CSRank(Delta(mark_index_basis_bps,8)),Decay(leverage_crowding_state,36))"
liquidity_cycle_state,R3_liquidity_cycle_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,751,False,"Mul(CSRank(Decay(listing_age_days,24)),Sign(CSRank(liquidity_cycle_state)))"
listing_age_days,listing_age_days,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,724,False,"Mul(CSRank(Decay(listing_age_days,24)),Sign(CSRank(liquidity_cycle_state)))"
log1p_listing_age_days,log1p_listing_age_days,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,728,False,"SafeDiv(Decay(open_interest_last,336),Abs(CSRank(log1p_listing_age_days)))"
mark_index_basis_bps,mark_index_basis_bps,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1291,False,"Mul(CSRank(Delta(mark_index_basis_bps,8)),Decay(leverage_crowding_state,36))"
mark_trade_basis_bps,mark_trade_basis_bps,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1216,False,"SafeDiv(CSRank(Delta(mark_trade_basis_bps,48)),Abs(TSRank(taker_buy_sell_volume_ratio_mean,336)))"
market_breadth_state,R2_market_breadth_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,719,False,"Sub(CSRank(Decay(market_breadth_state,96)),CSRank(ZScore(Mean(taker_buy_sell_volume_ratio_mean,336))))"
open_interest_change_24h,open_interest_change_24h,latent_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1224,False,"Mul(Abs(ZScore(Mean(open_interest_change_24h,24))),Abs(ZScore(Mean(premium_abs_168h,168))))"
open_interest_last,open_interest_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1201,False,"SafeDiv(ZScore(Mean(open_interest_mean,72)),Abs(Abs(ZScore(Mean(open_interest_last,36)))))"
open_interest_mean,open_interest_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1201,False,"Mul(CSRank(TSRank(taker_buy_sell_volume_ratio_last,16)),CSRank(ZScore(Mean(open_interest_mean,6))))"
open_interest_value_change_24h,open_interest_value_change_24h,derived_dep_generated,open_interest_value_last,deps_resolved,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,1262,False,"SafeDiv(Sub(CSRank(Abs(ZScore(Mean(premium_close_bps,24)))),CSRank(CSRank(Delta(open_interest_value_change_24h,120)))),Abs(CSRank(Delta(open_interest_value_change_24h,120))))"
open_interest_value_last,open_interest_value_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1217,False,"SafeDiv(CSRank(Delta(open_interest_value_last,3)),Abs(ZScore(Mean(premium_abs_168h,168))))"
premium_abs_168h,premium_abs_168h,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,1221,False,"SafeDiv(TSRank(basis_abs_168h,336),Abs(ZScore(Mean(premium_abs_168h,96))))"
premium_close_bps,premium_close_bps,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1261,False,"SafeDiv(Sub(CSRank(Abs(ZScore(Mean(premium_close_bps,24)))),CSRank(CSRank(Delta(open_interest_value_change_24h,120)))),Abs(CSRank(Delta(open_interest_value_change_24h,120))))"
realized_vol_168h,realized_vol_168h,latent_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,0,True,
rolling_coverage_168h,rolling_coverage_168h,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,689,False,"Sub(CSRank(Decay(top_long_short_position_ratio_last,120)),CSRank(CSRank(rolling_coverage_168h)))"
sqrt_listing_age_days,sqrt_listing_age_days,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,732,False,"Sub(CSRank(Sign(TSRank(stress_proxy_state,3))),CSRank(Decay(sqrt_listing_age_days,24)))"
stress_proxy_state,R10_stress_proxy_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,725,False,"Sub(CSRank(Sign(TSRank(stress_proxy_state,3))),CSRank(Decay(sqrt_listing_age_days,24)))"
taker_buy_sell_volume_ratio_last,taker_buy_sell_volume_ratio_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1162,False,"Mul(CSRank(TSRank(taker_buy_sell_volume_ratio_last,16)),CSRank(ZScore(Mean(open_interest_mean,6))))"
taker_buy_sell_volume_ratio_mean,taker_buy_sell_volume_ratio_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1219,False,"Sub(CSRank(Decay(market_breadth_state,96)),CSRank(ZScore(Mean(taker_buy_sell_volume_ratio_mean,336))))"
top_global_account_divergence,top_global_account_divergence,derived_dep_generated,global_long_short_account_ratio_last;top_long_short_account_ratio_last,deps_resolved,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,1191,False,"Mul(TSRank(top_global_account_divergence,3),TSRank(premium_abs_168h,96))"
top_long_short_account_ratio_last,top_long_short_account_ratio_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1243,False,"Mul(ZScore(Mean(open_interest_value_change_24h,36)),ZScore(Mean(top_long_short_account_ratio_last,8)))"
top_long_short_account_ratio_mean,top_long_short_account_ratio_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1196,False,"SafeDiv(TSRank(top_long_short_account_ratio_mean,8),Abs(CSRank(age_x_volatility)))"
top_long_short_position_ratio_last,top_long_short_position_ratio_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1165,False,"SafeDiv(Abs(ZScore(Mean(top_long_short_position_ratio_last,8))),Abs(Decay(top_long_short_position_ratio_last,240)))"
top_long_short_position_ratio_mean,top_long_short_position_ratio_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,1191,False,"Mul(Decay(liquidity_cycle_state,6),Decay(top_long_short_position_ratio_mean,16))"
trade_close,trade_close,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,0,True,
