route,contract_status,field_count,formula_usage_count
latent_schema,OK_BACKFILLED_BY_EXTENSION_REGISTRY,8,6749
derived_dep_generated,OK_BACKFILLED_BY_EXTENSION_REGISTRY,3,3724
upper_alias,OK_BACKFILLED_BY_EXTENSION_REGISTRY,5,3708
base_schema,OK_IN_A7AIF3_CONTRACT,15,16947
latent_schema,OK_IN_A7AIF3_CONTRACT,2,1224
