source_blueprint_id,blueprint_id,horizon_h,variant,split,formula,n_obs,net_mean,net_median,sharpe,sortino,nonoverlap_median_sortino,nonoverlap_floor_sortino,nonoverlap_median_sharpe,nonoverlap_floor_sharpe,max_drawdown,positive_rate,avg_cost,avg_turnover,ic_mean,rankic_mean,capacity_proxy_median_quote_volume,source_lag_hours,orientation,train_orientation_pos_net_mean_24h,train_orientation_neg_net_mean_24h
a7search6_84f74066182786e3,a7search6_84f74066182786e3,4,original,blind_june2026_20260601_20260611,"SafeDiv(ZScore(Mean(open_interest_value_mean,8)),Abs(global_long_short_account_ratio_last))",264,-0.00013729460964207412,-0.00020277089647049697,-3.537457224835929,-4.8265267126868645,-4.913938368190347,-4.984855992313402,-3.675660212557287,-3.696332442581499,-0.06063113726486902,0.4015151515151515,7.233280346125332e-06,0.014466560692250665,-0.013481448108612884,0.00019651803212850883,20053479.0686571,0,1.0,0.00022574598916077666,-0.000258568859443925
a7search6_84f74066182786e3,a7search6_84f74066182786e3,4,source_lag_1h,blind_june2026_20260601_20260611,"SafeDiv(ZScore(Mean(open_interest_value_mean,8)),Abs(global_long_short_account_ratio_last))",264,-0.00014461577584876605,-0.00022955722559698263,-3.6954239307525647,-5.0226249469987065,-4.853857325799059,-5.633034195996978,-3.5694986553818797,-4.1886904211958855,-0.0623977771695966,0.4053030303030303,7.237670295038221e-06,0.014475340590076442,-0.013941359736468165,-0.0004233761414354389,20062215.58734803,1,1.0,0.00022574598916077666,-0.000258568859443925
a7search6_84f74066182786e3,a7search6_84f74066182786e3,4,source_lag_2h,blind_june2026_20260601_20260611,"SafeDiv(ZScore(Mean(open_interest_value_mean,8)),Abs(global_long_short_account_ratio_last))",264,-0.0001514029621518726,-0.00023254882942775446,-3.864298456505573,-5.236946124867985,-5.2835337949126755,-5.415361727621049,-3.9211695138201206,-4.128787022608821,-0.06383299535981535,0.3977272727272727,7.24043368917462e-06,0.014480867378349239,-0.014424336780952523,-0.0010180066994900066,20061297.14830968,2,1.0,0.00022574598916077666,-0.000258568859443925
a7search6_84f74066182786e3,a7search6_84f74066182786e3,4,source_lag_4h,blind_june2026_20260601_20260611,"SafeDiv(ZScore(Mean(open_interest_value_mean,8)),Abs(global_long_short_account_ratio_last))",264,-0.00017239729205298599,-0.0002177606498077979,-4.355730597562575,-5.840055354890791,-5.898142560442695,-6.216279248705112,-4.409494384949736,-4.855748703147703,-0.0674443227907302,0.38636363636363635,7.263957519006629e-06,0.014527915038013258,-0.015855807211395786,-0.0022665234303960854,20064714.339226805,4,1.0,0.00022574598916077666,-0.000258568859443925
a7search6_84f74066182786e3,a7search6_84f74066182786e3,4,control_one_bar_lag,blind_june2026_20260601_20260611,"SafeDiv(ZScore(Mean(open_interest_value_mean,8)),Abs(global_long_short_account_ratio_last))",264,-0.00014461577584876605,-0.00022955722559698263,-3.6954239307525647,-5.0226249469987065,-4.853857325799059,-5.633034195996978,-3.5694986553818797,-4.1886904211958855,-0.0623977771695966,0.4053030303030303,7.237670295038221e-06,0.014475340590076442,-0.013941359736468165,-0.0004233761414354389,20062215.58734803,1,1.0,,
a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,4,original,blind_june2026_20260601_20260611,"SafeDiv(CSRank(Delta(open_interest_value_last,96)),Abs(Decay(account_position_divergence,48)))",264,-0.00019306392611414733,-4.6135903555120784e-05,-5.072367304682065,-6.236949967430667,-6.327535530525303,-6.944535605547646,-5.1476990069295265,-5.381565803429972,-0.07297653886409894,0.4734848484848485,2.558257595346196e-05,0.05116515190692392,-0.010806903992329439,-0.004280467951955941,17351465.371691793,0,-1.0,-0.0005492602986886945,0.0004978103611477505
a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,4,source_lag_1h,blind_june2026_20260601_20260611,"SafeDiv(CSRank(Delta(open_interest_value_last,96)),Abs(Decay(account_position_divergence,48)))",264,-0.00017811817746735156,-5.937933564544979e-05,-4.7092646764195285,-5.80995046331507,-5.804435417853094,-7.120484197485424,-4.74770337476368,-5.598121639909218,-0.06996873441451468,0.48863636363636365,2.5533621901640555e-05,0.05106724380328111,-0.010133142382639125,-0.003347679562194971,18231036.8349256,1,-1.0,-0.0005492602986886945,0.0004978103611477505
a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,4,source_lag_2h,blind_june2026_20260601_20260611,"SafeDiv(CSRank(Delta(open_interest_value_last,96)),Abs(Decay(account_position_divergence,48)))",264,-0.0001689735189561512,-3.109118043612852e-06,-4.476503345471684,-5.527319476649268,-5.150895272922341,-7.672978047734867,-4.174655051941572,-6.018223430227011,-0.06948434933882042,0.5,2.5370599137429294e-05,0.05074119827485859,-0.009841361361881035,-0.003057920120543024,16854476.690272428,2,-1.0,-0.0005492602986886945,0.0004978103611477505
a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,4,source_lag_4h,blind_june2026_20260601_20260611,"SafeDiv(CSRank(Delta(open_interest_value_last,96)),Abs(Decay(account_position_divergence,48)))",264,-0.00011555229037117492,4.887240090805958e-05,-3.028693155892965,-3.799722529576407,-3.80229887044249,-5.054853314818152,-3.0195003891056595,-3.8728950049648785,-0.06189570060546734,0.5265151515151515,2.533229639591844e-05,0.050664592791836875,-0.006650698334839387,-0.00017808125087399255,17941660.04017962,4,-1.0,-0.0005492602986886945,0.0004978103611477505
a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,4,control_one_bar_lag,blind_june2026_20260601_20260611,"SafeDiv(CSRank(Delta(open_interest_value_last,96)),Abs(Decay(account_position_divergence,48)))",264,-0.00017811817746735156,-5.937933564544979e-05,-4.7092646764195285,-5.80995046331507,-5.804435417853094,-7.120484197485424,-4.74770337476368,-5.598121639909218,-0.06996873441451468,0.48863636363636365,2.5533621901640555e-05,0.05106724380328111,-0.010133142382639125,-0.003347679562194971,18231036.8349256,1,-1.0,,
