candidate_id,engine,source_field_families,operator_signature,horizon,expression,a7m_rank_score,a7n_regime_invariant_score,a7n_min_non_may_raw,a7n_min_non_may_residual_funding,a7n_min_non_may_cost20,a7n_min_non_may_lag1,candidate_decision,reject_reasons
e4_cem_adaptive_grammar_crypto_s4_01658,E4_CEM_adaptive_grammar_crypto,liquidity,Mul;Rank;ZScore,24,"Mul(Mul(Rank(number_of_trades),ZScore(avg_trade_size_quote)),Rank(quote_volume_mean_24))",15.159681789547935,10.41185854232284,1.993340132978628,2.0,1.571455232226327,1.9771743182953812,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e2_typed_ast_sampler_crypto_adapter_s4_00146,E2_typed_AST_sampler_crypto_adapter,liquidity;volatility,Mul;Rank,24,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e2_typed_ast_sampler_crypto_adapter_s3_00927,E2_typed_AST_sampler_crypto_adapter,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e1_formulagenv2_crypto_adapter_s4_01870,E1_FormulaGenV2_crypto_adapter,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e5_surrogate_prioritized_sampler_s4_00162,E5_surrogate_prioritized_sampler,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e3_ast_failure_aware_repair_s2_00164,E3_AST_failure_aware_repair,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e3_ast_failure_aware_repair_s2_00668,E3_AST_failure_aware_repair,liquidity;volatility,Mul;Rank,24,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e3_ast_failure_aware_repair_s1_00417,E3_AST_failure_aware_repair,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e3_ast_failure_aware_repair_s1_00213,E3_AST_failure_aware_repair,liquidity;volatility,Mul;Rank,24,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e5_surrogate_prioritized_sampler_s3_04069,E5_surrogate_prioritized_sampler,liquidity;volatility,Mul;Rank,24,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e3_ast_failure_aware_repair_s3_00619,E3_AST_failure_aware_repair,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e1_formulagenv2_crypto_adapter_s2_01496,E1_FormulaGenV2_crypto_adapter,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e1_formulagenv2_crypto_adapter_s4_02210,E1_FormulaGenV2_crypto_adapter,liquidity;volatility,Mul;Rank,24,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e3_ast_failure_aware_repair_s4_00366,E3_AST_failure_aware_repair,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e5_surrogate_prioritized_sampler_s2_04073,E5_surrogate_prioritized_sampler,liquidity;volatility,Mul;Rank,24,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e5_surrogate_prioritized_sampler_s2_00158,E5_surrogate_prioritized_sampler,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e4_cem_adaptive_grammar_crypto_s2_00956,E4_CEM_adaptive_grammar_crypto,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e5_surrogate_prioritized_sampler_s4_04077,E5_surrogate_prioritized_sampler,liquidity;volatility,Mul;Rank,24,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e5_surrogate_prioritized_sampler_s1_04065,E5_surrogate_prioritized_sampler,liquidity;volatility,Mul;Rank,24,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e5_surrogate_prioritized_sampler_s1_00150,E5_surrogate_prioritized_sampler,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e0_current_a7l_manual_generator_s3_02215,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e3_ast_failure_aware_repair_s3_00415,E3_AST_failure_aware_repair,liquidity;volatility,Mul;Rank,24,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e3_ast_failure_aware_repair_s4_00162,E3_AST_failure_aware_repair,liquidity;volatility,Mul;Rank,24,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e0_current_a7l_manual_generator_s4_00554,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank,24,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",15.709206327695185,10.358921715900252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
