semantic_pair,blocker_family,rows
listing_age_like|regime_state,pre_may_unstable,3320
open_interest_like|positioning_like,pre_may_unstable,1046
listing_age_like|regime_state,control_dominated,1006
open_interest_like|mark_index_basis_bps,pre_may_unstable,872
open_interest_like|premium_close_bps,pre_may_unstable,855
volatility_like,pre_may_unstable,854
volatility_like,control_dominated,808
basis_premium_like|realized_vol_24h,pre_may_unstable,799
basis_premium_like|realized_vol_168h,pre_may_unstable,733
open_interest_like|realized_vol_168h,pre_may_unstable,689
basis_premium_like|volume_volatility_ratio_168h,pre_may_unstable,679
listing_age_like,pre_may_unstable,646
volatility_like|mark_index_basis_bps,pre_may_unstable,598
volatility_like|mark_trade_basis_bps,pre_may_unstable,578
open_interest_like|trade_return_24h,pre_may_unstable,546
volatility_like|liquidity_rank_active_universe,pre_may_unstable,429
volatility_like|premium_close_bps,pre_may_unstable,408
volatility_like|age_percentile_active_universe,pre_may_unstable,395
open_interest_like|positioning_like,control_dominated,383
volatility_like|premium_close_bps,control_dominated,375
volatility_like|liquidity_rank_active_universe,control_dominated,344
volatility_like|age_percentile_active_universe,control_dominated,338
basis_premium_like|realized_vol_168h,control_dominated,275
open_interest_like|realized_vol_168h,control_dominated,268
open_interest_like|trade_return_24h,control_dominated,250
basis_premium_like|volume_volatility_ratio_168h,control_dominated,247
volatility_like|mark_trade_basis_bps,control_dominated,221
basis_premium_like|realized_vol_24h,control_dominated,216
volatility_like|mark_index_basis_bps,control_dominated,196
volatility_like,rank_label_diagnostic_clue,151
open_interest_like|premium_close_bps,control_dominated,101
open_interest_like|mark_index_basis_bps,control_dominated,85
basis_premium_like|volume_volatility_ratio_168h,lag_fragile,80
listing_age_like,control_dominated,63
volatility_like|age_percentile_active_universe,rank_label_diagnostic_clue,56
listing_age_like|regime_state,rank_label_diagnostic_clue,39
listing_age_like|regime_state,numeric_clue,28
volatility_like,numeric_clue,20
volatility_like|liquidity_rank_active_universe,numeric_clue,20
basis_premium_like|volume_volatility_ratio_168h,rank_label_diagnostic_clue,13
volatility_like|premium_close_bps,rank_label_diagnostic_clue,11
listing_age_like,rank_label_diagnostic_clue,10
open_interest_like|positioning_like,rank_label_diagnostic_clue,9
volatility_like|age_percentile_active_universe,numeric_clue,9
basis_premium_like|realized_vol_168h,rank_label_diagnostic_clue,8
volatility_like,cost_fragile,7
listing_age_like|regime_state,cost_fragile,7
volatility_like|premium_close_bps,numeric_clue,6
volatility_like|mark_index_basis_bps,rank_label_diagnostic_clue,6
basis_premium_like|realized_vol_24h,rank_label_diagnostic_clue,5
open_interest_like|trade_return_24h,rank_label_diagnostic_clue,4
volatility_like|liquidity_rank_active_universe,rank_label_diagnostic_clue,4
basis_premium_like|realized_vol_168h,lag_fragile,3
volatility_like|liquidity_rank_active_universe,cost_fragile,3
open_interest_like|premium_close_bps,rank_label_diagnostic_clue,3
open_interest_like|realized_vol_168h,rank_label_diagnostic_clue,2
open_interest_like|positioning_like,numeric_clue,2
open_interest_like|mark_index_basis_bps,rank_label_diagnostic_clue,2
volatility_like|age_percentile_active_universe,cost_fragile,2
open_interest_like|premium_close_bps,numeric_clue,1
basis_premium_like|volume_volatility_ratio_168h,numeric_clue,1
listing_age_like,numeric_clue,1
basis_premium_like|realized_vol_168h,numeric_clue,1
open_interest_like|mark_index_basis_bps,numeric_clue,1
open_interest_like|realized_vol_168h,numeric_clue,1
volatility_like|mark_trade_basis_bps,rank_label_diagnostic_clue,1
