shard,manifest_path,decision,blockers,missing_numeric_fields,input_blueprint_count,hours_per_split,materialized_activity_ok_count,label_response_rows,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,portfolio_queue_count,selected_portfolio_queue_count,generated_at
s000,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_000\a7ls8_s000_manifest.json,PASS_A7LS8S000_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,60,1200,1,12,5,5,2026-06-05T13:35:38Z
s001,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_001\a7ls8_s001_manifest.json,HOLD_A7LS8S001_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,,64,2160,61,1220,0,6,3,3,2026-06-05T13:35:53Z
s002,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_002\a7ls8_s002_manifest.json,PASS_A7LS8S002_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,62,1240,2,13,7,7,2026-06-05T13:35:01Z
s003,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_003\a7ls8_s003_manifest.json,PASS_A7LS8S003_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,7,15,8,8,2026-06-05T13:35:10Z
s004,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_004\a7ls8_s004_manifest.json,PASS_A7LS8S004_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,12,2,4,4,2026-06-05T13:48:37Z
s005,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_005\a7ls8_s005_manifest.json,PASS_A7LS8S005_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,9,27,10,10,2026-06-05T13:48:40Z
s006,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_006\a7ls8_s006_manifest.json,HOLD_A7LS8S006_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,,64,2160,64,1280,1,0,1,1,2026-06-05T13:49:31Z
s007,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_007\a7ls8_s007_manifest.json,PASS_A7LS8S007_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,2,10,6,5,2026-06-05T13:50:24Z
s008,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_008\a7ls8_s008_manifest.json,HOLD_A7LS8S008_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,,64,2160,64,1280,1,2,3,3,2026-06-05T14:02:53Z
s009,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_009\a7ls8_s009_manifest.json,PASS_A7LS8S009_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,1,5,4,4,2026-06-05T14:02:51Z
s010,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_010\a7ls8_s010_manifest.json,PASS_A7LS8S010_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,8,53,19,12,2026-06-05T14:03:58Z
s011,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_011\a7ls8_s011_manifest.json,PASS_A7LS8S011_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,21,11,13,10,2026-06-05T14:04:36Z
s012,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_012\a7ls8_s012_manifest.json,HOLD_A7LS8S012_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,,64,2160,64,1280,0,6,4,4,2026-06-05T14:16:25Z
s013,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_013\a7ls8_s013_manifest.json,PASS_A7LS8S013_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,13,49,17,14,2026-06-05T14:16:28Z
s014,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_014\a7ls8_s014_manifest.json,PASS_A7LS8S014_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,12,107,34,18,2026-06-05T14:17:13Z
s015,G:\AlphaFactory_CryptoData\research_runtime\a7ls8_company_numeric\shard_015\a7ls8_s015_manifest.json,HOLD_A7LS8S015_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,,6,2160,6,120,1,6,3,3,2026-06-05T14:06:14Z
