next_wave_family,blocker_family,rows
oi_positioning_expansion,pre_may_unstable,4008
listing_lifecycle_expansion,pre_may_unstable,3966
volatility_context_interaction,pre_may_unstable,2408
basis_vol_hybrid_expansion,pre_may_unstable,2211
volatility_context_interaction,control_dominated,1474
oi_positioning_expansion,control_dominated,1087
listing_lifecycle_expansion,control_dominated,1069
volatility_core_expansion,pre_may_unstable,854
volatility_core_expansion,control_dominated,808
basis_vol_hybrid_expansion,control_dominated,738
volatility_core_expansion,rank_label_diagnostic_clue,151
basis_vol_hybrid_expansion,lag_fragile,83
volatility_context_interaction,rank_label_diagnostic_clue,78
listing_lifecycle_expansion,rank_label_diagnostic_clue,49
volatility_context_interaction,numeric_clue,35
listing_lifecycle_expansion,numeric_clue,29
basis_vol_hybrid_expansion,rank_label_diagnostic_clue,26
oi_positioning_expansion,rank_label_diagnostic_clue,20
volatility_core_expansion,numeric_clue,20
listing_lifecycle_expansion,cost_fragile,7
volatility_core_expansion,cost_fragile,7
volatility_context_interaction,cost_fragile,5
oi_positioning_expansion,numeric_clue,5
basis_vol_hybrid_expansion,numeric_clue,2
